"work_id","work_title","source_ref","anchor_id","translation","translator_notes","status"
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:1","shaarei-kedusha-introduction-introduction-1","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:2","shaarei-kedusha-introduction-introduction-2","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:3","shaarei-kedusha-introduction-introduction-3","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:4","shaarei-kedusha-introduction-introduction-4","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:5","shaarei-kedusha-introduction-introduction-5","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:6","shaarei-kedusha-introduction-introduction-6","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:7","shaarei-kedusha-introduction-introduction-7","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:8","shaarei-kedusha-introduction-introduction-8","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:9","shaarei-kedusha-introduction-introduction-9","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:10","shaarei-kedusha-introduction-introduction-10","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:11","shaarei-kedusha-introduction-introduction-11","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:12","shaarei-kedusha-introduction-introduction-12","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Introduction:13","shaarei-kedusha-introduction-introduction-13","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:1","shaarei-kedusha-part-1-part-1-1-1","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:2","shaarei-kedusha-part-1-part-1-1-2","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:3","shaarei-kedusha-part-1-part-1-1-3","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:4","shaarei-kedusha-part-1-part-1-1-4","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:5","shaarei-kedusha-part-1-part-1-1-5","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:6","shaarei-kedusha-part-1-part-1-1-6","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:7","shaarei-kedusha-part-1-part-1-1-7","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:8","shaarei-kedusha-part-1-part-1-1-8","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:9","shaarei-kedusha-part-1-part-1-1-9","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:10","shaarei-kedusha-part-1-part-1-1-10","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:11","shaarei-kedusha-part-1-part-1-1-11","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:12","shaarei-kedusha-part-1-part-1-1-12","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:13","shaarei-kedusha-part-1-part-1-1-13","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 1 1:14","shaarei-kedusha-part-1-part-1-1-14","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:1","shaarei-kedusha-part-2-part-2-1-1","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:2","shaarei-kedusha-part-2-part-2-1-2","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:3","shaarei-kedusha-part-2-part-2-1-3","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:4","shaarei-kedusha-part-2-part-2-1-4","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:5","shaarei-kedusha-part-2-part-2-1-5","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:6","shaarei-kedusha-part-2-part-2-1-6","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:7","shaarei-kedusha-part-2-part-2-1-7","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:8","shaarei-kedusha-part-2-part-2-1-8","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:9","shaarei-kedusha-part-2-part-2-1-9","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:10","shaarei-kedusha-part-2-part-2-1-10","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:11","shaarei-kedusha-part-2-part-2-1-11","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:12","shaarei-kedusha-part-2-part-2-1-12","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 2 1:13","shaarei-kedusha-part-2-part-2-1-13","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:1","shaarei-kedusha-part-3-part-3-1-1","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:2","shaarei-kedusha-part-3-part-3-1-2","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:4","shaarei-kedusha-part-3-part-3-1-4","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:5","shaarei-kedusha-part-3-part-3-1-5","","",""
"shaarei-kedusha","Sha'arei Kedusha","Sha'arei Kedusha, Part 3 1:6","shaarei-kedusha-part-3-part-3-1-6","","",""
