"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-7c69bc7ffbe4","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 2:2:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-6ea7c3bf7f3d","אבעיא","אבעיא","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 3:12:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-e4eb601dad0e","אח״ז","אח״ז","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 5:9:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-81a1d2eb2902","איברי","איברי","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 1:7:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-55e71764eba6","אלגזי","אלגזי","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 7:13:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-0aa53f98298a","אסור","אסור","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 7:13:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-265bb4c4ea41","אצבע","אצבע","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 5:9:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-510965a030be","אצבעות","אצבעות","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 5:9:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-20c066940334","ב״א","ב״א","Unresolved","","No lexical entry yet","true","2","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 4:9:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-daily-offerings-and-additional-offerings","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings","tok-1bff0235cbfd","בגמרא","בגמרא","Unresolved","","No lexical entry yet","true","2","Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 3:12:1; Annotations of Minchat Chinukh on Mishneh Torah, Daily Offerings and Additional Offerings 4:9:1"
