"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-3f297083ff87","אח״ז","אח״ז","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-38493612c66b","באב","באב","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 3:3:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-9c455673b7df","בגבולין","בגבולינ","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-54b56e2d1156","בהה״מ","בהה״מ","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-07b4cb02df88","בחצוצרות","בחצוצרות","Unresolved","","No lexical entry yet","true","2","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1; Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-0f5a7d935321","בט״ב","בט״ב","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 5:5:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-21debfbfe251","במ״ע","במ״ע","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-9c427daa2dd5","במס׳","במס׳","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 5:5:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-648a844b43bd","במשנה","במשנה","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-988ec3784bce","בס׳","בס׳","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-39e378e1b063","בפ״ג","בפ״ג","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-f590b4206de3","בפ״ד","בפ״ד","Unresolved","","No lexical entry yet","true","2","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-23f2594bfbf4","בר״ה","בר״ה","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-9f5918cb0dd6","בר״נ","בר״נ","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 5:5:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-80f149d5e181","ברש״י","ברש״י","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-ec200031274e","בתוס׳","בתוס׳","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:4:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-dce3d861dfa8","גבולין","גבולינ","Unresolved","","No lexical entry yet","true","2","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 1:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-fasts","Annotations of Minchat Chinukh on Mishneh Torah, Fasts","tok-97ac2d745c76","גזירה","גזירה","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Fasts 5:5:1"
