"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-81076a2e1920","א״ב","א״ב","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 5:5:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-96e9701a7213","א״צ","א״צ","Unresolved","","No lexical entry yet","true","3","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 1:4:1; Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 10:15:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-4a56d3a6b4f4","אהיכא","אהיכא","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 5:2:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-8f77ef48a906","אוכל","אוכל","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 2:11:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-53382483389a","אח״ז","אח״ז","Unresolved","","No lexical entry yet","true","3","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 1:4:1; Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 2:11:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-c6d94c185277","איתא","איתא","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 9:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-a77052dc56e5","אכלת","אכלת","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 10:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-aff2d8c89705","אמהותיו","אמהותיו","Unresolved","","No lexical entry yet","true","2","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 5:5:1; Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 9:9:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-a3b2f9460e23","אסור","אסור","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 9:1:1"
"annotations-of-minchat-chinukh-on-mishneh-torah-paschal-offering","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering","tok-0b736b23ec32","אעפ״כ","אעפ״כ","Unresolved","","No lexical entry yet","true","1","Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering 10:15:1"
