"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"baalei-hanefesh","Ba'alei HaNefesh","tok-e5e634794869","א׳","א׳","Unresolved","","No lexical entry yet","true","24","Ba'alei HaNefesh, Sha'ar HaPerishah 1:4; Ba'alei HaNefesh, Sha'ar HaPerishah 1:14; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 1:15; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 2:3; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 3:5"
"baalei-hanefesh","Ba'alei HaNefesh","tok-8e240fd43a1f","א״א","א״א","Unresolved","","No lexical entry yet","true","2","Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 1:6; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 1:15"
"baalei-hanefesh","Ba'alei HaNefesh","tok-0459a09ea8e7","א״ל","א״ל","Unresolved","","No lexical entry yet","true","2","Ba'alei HaNefesh, Sha'ar HaPerishah 1:3"
"baalei-hanefesh","Ba'alei HaNefesh","tok-8b45e4dbf1ad","א״נ","א״נ","Unresolved","","No lexical entry yet","true","8","Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 1:14; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 2:8; Ba'alei HaNefesh, Sha'ar HaSefirah VeHabedikah 3:12; Ba'alei HaNefesh, Sha'ar HaTevilah 1:8; Ba'alei HaNefesh, Sha'ar HaMayim 1:4"
"baalei-hanefesh","Ba'alei HaNefesh","tok-2c8f58420344","א״ע","א״ע","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaKedushah:23"
"baalei-hanefesh","Ba'alei HaNefesh","tok-de9ac95532d5","א״צ","א״צ","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaMayim 3:5"
"baalei-hanefesh","Ba'alei HaNefesh","tok-65b373d7c1b3","א״ר","א״ר","Unresolved","","No lexical entry yet","true","8","Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 2:8; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 4:13; Ba'alei HaNefesh, Sha'ar HaMayim 1:6; Ba'alei HaNefesh, Sha'ar HaMayim 1:7; Ba'alei HaNefesh, Sha'ar HaMayim 1:9"
"baalei-hanefesh","Ba'alei HaNefesh","tok-7eea87449d2f","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","6","Ba'alei HaNefesh, Sha'ar HaPerishah 1:14; Ba'alei HaNefesh, Sha'ar Tikkun HaVesatot 3:13; Ba'alei HaNefesh, Sha'ar HaKetamim 1:5; Ba'alei HaNefesh, Sha'ar HaKetamim 3:12; Ba'alei HaNefesh, Sha'ar HaSefirah VeHabedikah 3:10"
"baalei-hanefesh","Ba'alei HaNefesh","tok-255f18859948","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaTevilah 2:8"
"baalei-hanefesh","Ba'alei HaNefesh","tok-39e715cd3770","אבד","אבד","Unresolved","","No lexical entry yet","true","2","Ba'alei HaNefesh, Sha'ar HaKetamim 3:14; Ba'alei HaNefesh, Sha'ar HaSefirah VeHabedikah 2:2"
"baalei-hanefesh","Ba'alei HaNefesh","tok-ac92a482bece","אבדימי","אבדימי","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaMayim 3:16"
"baalei-hanefesh","Ba'alei HaNefesh","tok-96e6510eab82","אבדת","אבדת","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaKedushah:24"
"baalei-hanefesh","Ba'alei HaNefesh","tok-f2c07c93f46a","אבוה","אבוה","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaMayim 1:3"
"baalei-hanefesh","Ba'alei HaNefesh","tok-a2327a0aca1e","אבי","אבי","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaPerishah 1:5"
"baalei-hanefesh","Ba'alei HaNefesh","tok-dad4d4bd24ec","אביו","אביו","Unresolved","","No lexical entry yet","true","2","Ba'alei HaNefesh, Author's Introduction:4; Ba'alei HaNefesh, Sha'ar HaPerishah 2:3"
"baalei-hanefesh","Ba'alei HaNefesh","tok-b1e4c30b8711","אביי","אביי","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaPerishah 1:5"
"baalei-hanefesh","Ba'alei HaNefesh","tok-9b3b2fd1755a","אביך","אביכ","Unresolved","","No lexical entry yet","true","1","Ba'alei HaNefesh, Sha'ar HaKedushah:27"
