"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-459f8f689ca2","א׳","א׳","Unresolved","","No lexical entry yet","true","51","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 2:10; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 19:1; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 58:18; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 95:7; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 105:2"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-2f8509579bfd","א״א","א״א","Unresolved","","No lexical entry yet","true","3","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 124:29; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 198:27; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 254:4"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-5446176cb628","א״ב","א״ב","Unresolved","","No lexical entry yet","true","5","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 189:25; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 190:12; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 190:19; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 190:52; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 194:20"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-6a323b2f6ba1","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 276:3"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-5954f59197ee","א״ז","א״ז","Unresolved","","No lexical entry yet","true","14","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 25:3; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 47:3; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 69:20; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 69:41; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 89:15"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-907016f7def8","א״ח","א״ח","Unresolved","","No lexical entry yet","true","15","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 16:23; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 46:13; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 68:7; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 87:10; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 99:11"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-51ab0d8e48dd","א״ט","א״ט","Unresolved","","No lexical entry yet","true","1","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 101:13"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-ee3d10c6dc1e","א״י","א״י","Unresolved","","No lexical entry yet","true","2","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 1:3"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-a3beeced4fe2","א״ל","א״ל","Unresolved","","No lexical entry yet","true","4","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 201:165; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 228:37; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 243:23; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 271:5"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-4252af0d2fee","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 114:10"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-b1b7155e3826","א״נ","א״נ","Unresolved","","No lexical entry yet","true","11","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 37:10; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 90:2; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 192:9; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 201:40; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 216:3"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-4084cacc11cf","א״צ","א״צ","Unresolved","","No lexical entry yet","true","4","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 48:15; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 120:19; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 222:1; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 228:93"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-070a853c70cc","א״ר","א״ר","Unresolved","","No lexical entry yet","true","41","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 52:10; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 54:2; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 64:11; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 67:5; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 83:13"
"beer-hagolah-on-shulchan-arukh-yoreh-deah","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah","tok-0c43fbf513a7","א״ת","א״ת","Unresolved","","No lexical entry yet","true","2","Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 123:16; Be'er HaGolah on Shulchan Arukh, Yoreh De'ah 127:8"
