"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-171b1770aed5","א׳","א׳","Unresolved","","No lexical entry yet","true","19","Beur HaGra on Jerusalem Talmud Bikkurim 1:4:2:2; Beur HaGra on Jerusalem Talmud Bikkurim 1:5:3:1; Beur HaGra on Jerusalem Talmud Bikkurim 1:6:2:1; Beur HaGra on Jerusalem Talmud Bikkurim 1:7:2:1; Beur HaGra on Jerusalem Talmud Bikkurim 1:7:5:1"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-2ed0fa1d19a2","א״ל","א״ל","Unresolved","","No lexical entry yet","true","3","Beur HaGra on Jerusalem Talmud Bikkurim 1:5:3:1; Beur HaGra on Jerusalem Talmud Bikkurim 1:6:2:1; Beur HaGra on Jerusalem Talmud Bikkurim 1:6:4:4"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-aed8a7853e46","א״צ","א״צ","Unresolved","","No lexical entry yet","true","5","Beur HaGra on Jerusalem Talmud Bikkurim 1:4:2:2; Beur HaGra on Jerusalem Talmud Bikkurim 2:1:15:2; Beur HaGra on Jerusalem Talmud Bikkurim 2:2:1:1"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-1d8c6baf5f94","א״ק","א״ק","Unresolved","","No lexical entry yet","true","2","Beur HaGra on Jerusalem Talmud Bikkurim 1:5:7:2; Beur HaGra on Jerusalem Talmud Bikkurim 1:8:3:3"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-bc92405a85ec","א״ר","א״ר","Unresolved","","No lexical entry yet","true","8","Beur HaGra on Jerusalem Talmud Bikkurim 1:1:4:2; Beur HaGra on Jerusalem Talmud Bikkurim 1:5:5:2; Beur HaGra on Jerusalem Talmud Bikkurim 1:8:2:2; Beur HaGra on Jerusalem Talmud Bikkurim 2:2:1:2; Beur HaGra on Jerusalem Talmud Bikkurim 2:2:10:1"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-b126d73bc8ca","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Beur HaGra on Jerusalem Talmud Bikkurim 2:1:5:1"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-5dbe77ca061d","אבבא","אבבא","Unresolved","","No lexical entry yet","true","2","Beur HaGra on Jerusalem Talmud Bikkurim 1:1:7:1"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-b16fd19db018","אבהו","אבהו","Unresolved","","No lexical entry yet","true","1","Beur HaGra on Jerusalem Talmud Bikkurim 1:5:7:2"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-af580b704821","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","1","Beur HaGra on Jerusalem Talmud Bikkurim 1:9:3:1"
"beur-hagra-on-jerusalem-talmud-bikkurim","Beur HaGra on Jerusalem Talmud Bikkurim","tok-85c58225d550","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Beur HaGra on Jerusalem Talmud Bikkurim 1:5:7:2"
