"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"binat-adam","Binat Adam","tok-6bfe4037e19b","א׳","א׳","Unresolved","","No lexical entry yet","true","207","Binat Adam, Shaar Rov Vechazaka 1:1; Binat Adam, Shaar Rov Vechazaka 2:2; Binat Adam, Shaar Rov Vechazaka 3:2; Binat Adam, Shaar Rov Vechazaka 6:2; Binat Adam, Shaar Rov Vechazaka 8:4"
"binat-adam","Binat Adam","tok-883e98851acb","א״א","א״א","Unresolved","","No lexical entry yet","true","68","Binat Adam, Shaar Rov Vechazaka 4:2; Binat Adam, Shaar Rov Vechazaka 8:2; Binat Adam, Shaar Rov Vechazaka 8:3; Binat Adam, Shaar Rov Vechazaka 8:5; Binat Adam, Shaar Rov Vechazaka 9:2"
"binat-adam","Binat Adam","tok-0254741f1dff","א״ב","א״ב","Unresolved","","No lexical entry yet","true","10","Binat Adam, Shaar Rov Vechazaka 19:2; Binat Adam, Shaar Rov Vechazaka 46:2; Binat Adam, Shaar Beit haNashim 6:5; Binat Adam, Shaar Beit haNashim 6:10; Binat Adam, Shaar Beit haNashim 7:2"
"binat-adam","Binat Adam","tok-b9e465880e29","א״ו","א״ו","Unresolved","","No lexical entry yet","true","19","Binat Adam, Shaar Rov Vechazaka 9:2; Binat Adam, Shaar Rov Vechazaka 12:2; Binat Adam, Shaar Rov Vechazaka 19:4; Binat Adam, Shaar Isur Veheter 57:3; Binat Adam, Shaar Isur Veheter 94:7"
"binat-adam","Binat Adam","tok-ba420c6646f5","א״וה","א״וה","Unresolved","","No lexical entry yet","true","32","Binat Adam, Shaar Rov Vechazaka 5:2; Binat Adam, Shaar Rov Vechazaka 22:2; Binat Adam, Shaar Rov Vechazaka 27:2; Binat Adam, Shaar Rov Vechazaka 34:2; Binat Adam, Shaar Rov Vechazaka 34:3"
"binat-adam","Binat Adam","tok-fdb632502927","א״ז","א״ז","Unresolved","","No lexical entry yet","true","3","Binat Adam, Shaar Isur Veheter 10:2; Binat Adam, Shaar Isur Veheter 59:2"
"binat-adam","Binat Adam","tok-ef4d9839adf1","א״ח","א״ח","Unresolved","","No lexical entry yet","true","8","Binat Adam, Shaar Rov Vechazaka 19:4; Binat Adam, Shaar Rov Vechazaka 19:6; Binat Adam, Shaar Rov Vechazaka 26:1; Binat Adam, Shaar Isur Veheter 67:5; Binat Adam, Shaar Isur Veheter 75:3"
"binat-adam","Binat Adam","tok-498b192471c2","א״ט","א״ט","Unresolved","","No lexical entry yet","true","4","Binat Adam, Shaar Rov Vechazaka 19:4; Binat Adam, Shaar Isur Veheter 28:3; Binat Adam, Shaar Isur Veheter 48:2; Binat Adam, Shaar Isur Veheter 49:6"
"binat-adam","Binat Adam","tok-82b41ddff6af","א״י","א״י","Unresolved","","No lexical entry yet","true","5","Binat Adam, Shaar Isur Veheter 44:1; Binat Adam, Shaar Beit haNashim 30:3; Binat Adam, Shaar Beit haNashim 30:4"
"binat-adam","Binat Adam","tok-4c6d1455f869","א״ל","א״ל","Unresolved","","No lexical entry yet","true","13","Binat Adam, Shaar Rov Vechazaka 18:2; Binat Adam, Shaar Isur Veheter 10:5; Binat Adam, Shaar Isur Veheter 16:1; Binat Adam, Shaar Isur Veheter 49:2; Binat Adam, Shaar Isur Veheter 63:1"
"binat-adam","Binat Adam","tok-9daf5184f247","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Rov Vechazaka 18:5"
"binat-adam","Binat Adam","tok-e6eb80f7fab5","א״נ","א״נ","Unresolved","","No lexical entry yet","true","6","Binat Adam, Shaar Rov Vechazaka 13:2; Binat Adam, Shaar Isur Veheter 98:7; Binat Adam, Shaar Beit haNashim 2:1; Binat Adam, Shaar Mishpetei Tzedek 3:1; Binat Adam, Shaar Mishpetei Tzedek 10:3"
"binat-adam","Binat Adam","tok-9f219310fffd","א״ע","א״ע","Unresolved","","No lexical entry yet","true","13","Binat Adam, Shaar Rov Vechazaka 46:4; Binat Adam, Shaar Isur Veheter 10:5; Binat Adam, Shaar Isur Veheter 12:4; Binat Adam, Shaar Isur Veheter 59:3; Binat Adam, Shaar Isur Veheter 77:3"
"binat-adam","Binat Adam","tok-9fbf7560ad7f","א״צ","א״צ","Unresolved","","No lexical entry yet","true","60","Binat Adam, Shaar Rov Vechazaka 9:2; Binat Adam, Shaar Rov Vechazaka 9:3; Binat Adam, Shaar Rov Vechazaka 9:6; Binat Adam, Shaar Rov Vechazaka 9:7; Binat Adam, Shaar Rov Vechazaka 10:2"
"binat-adam","Binat Adam","tok-4ea33f8998ae","א״ק","א״ק","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 83:8"
"binat-adam","Binat Adam","tok-32ef8aa11dfb","א״ר","א״ר","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 40:1"
"binat-adam","Binat Adam","tok-b335f579c950","א״ש","א״ש","Unresolved","","No lexical entry yet","true","35","Binat Adam, Shaar Rov Vechazaka 1:3; Binat Adam, Shaar Rov Vechazaka 1:4; Binat Adam, Shaar Rov Vechazaka 6:2; Binat Adam, Shaar Rov Vechazaka 8:2; Binat Adam, Shaar Rov Vechazaka 13:2"
"binat-adam","Binat Adam","tok-3eb3034e3317","א״ת","א״ת","Unresolved","","No lexical entry yet","true","5","Binat Adam, Shaar Rov Vechazaka 18:5; Binat Adam, Shaar Beit haNashim 4:2"
"binat-adam","Binat Adam","tok-beacc7c6cc07","אא״ב","אא״ב","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 98:6"
"binat-adam","Binat Adam","tok-ab12d62cbb3d","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","15","Binat Adam, Shaar Rov Vechazaka 19:3; Binat Adam, Shaar Rov Vechazaka 19:8; Binat Adam, Shaar Rov Vechazaka 43:3; Binat Adam, Shaar Isur Veheter 38:1; Binat Adam, Shaar Isur Veheter 42:1"
"binat-adam","Binat Adam","tok-950bf465fc9c","אב״ד","אב״ד","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 98:12"
"binat-adam","Binat Adam","tok-3d725e517abc","אב״הט","אב״הט","Unresolved","","No lexical entry yet","true","3","Binat Adam, Shaar Rov Vechazaka 28:2; Binat Adam, Shaar Rov Vechazaka 38:2; Binat Adam, Shaar Isur Veheter 8:2"
"binat-adam","Binat Adam","tok-5955c0304383","אב״י","אב״י","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 78:2"
"binat-adam","Binat Adam","tok-b915bf0bdd81","אבא","אבא","Unresolved","","No lexical entry yet","true","2","Binat Adam, Shaar Rov Vechazaka 46:2; Binat Adam, Shaar Mishpetei Tzedek 9:1"
"binat-adam","Binat Adam","tok-9bbb1080dd5c","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Rov Vechazaka 24:2"
"binat-adam","Binat Adam","tok-c7059a8c958d","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Rov Vechazaka 43:3"
"binat-adam","Binat Adam","tok-3ab8252fcec0","אבה״ט","אבה״ט","Unresolved","","No lexical entry yet","true","3","Binat Adam, Shaar Rov Vechazaka 31:2; Binat Adam, Shaar Rov Vechazaka 37:2; Binat Adam, Shaar Rov Vechazaka 38:2"
"binat-adam","Binat Adam","tok-5647ea570c8a","אבורות","אבורות","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 50:3"
"binat-adam","Binat Adam","tok-321ef6d844d5","אבי","אבי","Unresolved","","No lexical entry yet","true","3","Binat Adam, Shaar Isur Veheter 10:8; Binat Adam, Shaar Isur Veheter 70:1; Binat Adam, Shaar Beit haNashim 29:1"
"binat-adam","Binat Adam","tok-73c2ba375f95","אבי׳","אבי׳","Unresolved","","No lexical entry yet","true","1","Binat Adam, Shaar Isur Veheter 2:1"
"binat-adam","Binat Adam","tok-557f7f0d9057","אביה","אביה","Unresolved","","No lexical entry yet","true","8","Binat Adam, Shaar Rov Vechazaka 30:3; Binat Adam, Shaar Rov Vechazaka 46:2; Binat Adam, Shaar Isur Veheter 2:1; Binat Adam, Shaar Beit haNashim 29:21; Binat Adam, Shaar Beit haNashim 34:1"
"binat-adam","Binat Adam","tok-9ed08c2b86c6","אביו","אביו","Unresolved","","No lexical entry yet","true","12","Binat Adam, Shaar Rov Vechazaka 6:2; Binat Adam, Shaar Rov Vechazaka 46:2; Binat Adam, Shaar Rov Vechazaka 46:3; Binat Adam, Shaar Isur Veheter 62:4; Binat Adam, Shaar Beit haNashim 29:5"
