"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-0e8718d6e8df","אבדו","אבדו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:5:2"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-74c70d4800fa","אוסר","אוסר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:6:7"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-65ed12388b02","אכילתו","אכילתו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:6:3"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-689715289816","אנדרוגינוס","אנדרוגינוס","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 2:3:1"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-4fd1e291f460","אסורין","אסורינ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:7:5"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-da86edb68659","אסרו","אסרו","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Bikkurim 1:7:4"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-f6b02b9a396a","באב","באב","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 2:9:1"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-b1420c1f67ec","באודם","באודמ","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Bikkurim 2:5:1; Brief Commentary on Bikkurim 2:7:2"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-874a6646f27d","באחריותם","באחריותמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:5:2"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-1b4037622165","בבה״א","בבה״א","Unresolved","","No lexical entry yet","true","16","Brief Commentary on Bikkurim 1:2:2; Brief Commentary on Bikkurim 1:4:2; Brief Commentary on Bikkurim 1:5:1; Brief Commentary on Bikkurim 1:6:9; Brief Commentary on Bikkurim 1:7:7"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-567b61032470","בביעור","בביעור","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:7:2"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-54f582d80755","בבכורים","בבכורימ","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Bikkurim 1:6:1; Brief Commentary on Bikkurim 1:6:4; Brief Commentary on Bikkurim 2:14:2"
"brief-commentary-on-bikkurim","Brief Commentary on Bikkurim","tok-dd77ec82b626","בבעור","בבעור","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Bikkurim 1:7:2"
