"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-9c16441170b7","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:24:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-e29aa512ab02","א״י","א״י","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 1:10:3; Brief Commentary on Demai 4:20:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4537ad26f7c2","אגב","אגב","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 1:1:7; Brief Commentary on Demai 7:3:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-de9c61e10da6","אגר","אגר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:18:7"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-5eb0994f0267","או׳","או׳","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:15:6"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-846b87712f56","אוכל","אוכל","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Demai 3:3:4; Brief Commentary on Demai 3:3:5; Brief Commentary on Demai 3:8:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-5e2fa59a1e3e","אוסרין","אוסרינ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:15:6"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-5a6ee8b86b2e","אורז","אורז","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 2:1:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c4cd11f38e05","אחיהם","אחיהמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:13:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-e794248dd2d6","אחראים","אחראימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:12:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c90e04d022de","אילנות","אילנות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:18:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-b337b414783c","אילנתית","אילנתית","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:24:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-89ecc497be38","איסור","איסור","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:18:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-2843c40e8a6b","איסטיס","איסטיס","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:15:9"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-92c5c42c05a4","איסר","איסר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 3:12:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4bee953c7ad3","אירינון","אירינונ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:27:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-325f05126cbd","אכילה","אכילה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 2:11:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-89fd4a9d6af8","אכילת","אכילת","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 2:11:3; Brief Commentary on Demai 5:20:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-acdbe2b7bc03","אכילתן","אכילתנ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:20:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-177843a6a6cb","אכסנאי","אכסנאי","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:19:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-215084eaa029","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:4:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-f6d6c3c5f982","אלעזר","אלעזר","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 1:24:5; Brief Commentary on Demai 8:23:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4b912789b00d","אמ׳","אמ׳","Unresolved","","No lexical entry yet","true","7","Brief Commentary on Demai 5:5:2; Brief Commentary on Demai 7:7:2; Brief Commentary on Demai 7:8:1; Brief Commentary on Demai 8:11:4; Brief Commentary on Demai 8:15:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-a35c303edd74","אמירתו","אמירתו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:1:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-f56275eca6f6","אמרינן","אמריננ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 6:8:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-ef962558948f","אנטוכיא","אנטוכיא","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 2:1:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-09d727d4ba5c","אנטיפרס","אנטיפרס","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:11:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-2cdabf861ce3","אסור","אסור","Unresolved","","No lexical entry yet","true","16","Brief Commentary on Demai 1:22:1; Brief Commentary on Demai 2:21:1; Brief Commentary on Demai 3:5:1; Brief Commentary on Demai 3:5:2; Brief Commentary on Demai 4:1:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-3a1caf331beb","אסורים","אסורימ","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 3:3:4; Brief Commentary on Demai 5:14:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-33cb88714e74","אסף","אספ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:1:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-61ff52e99b3a","אספרגוס","אספרגוס","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:5:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-56da5592abae","אעפ״י","אעפ״י","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Demai 3:12:1; Brief Commentary on Demai 4:32:1; Brief Commentary on Demai 5:1:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-f1d658683108","אפסטוקין","אפסטוקינ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:9:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-d5e781f8134d","אריות","אריות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:21:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-202edbf1a471","אריסותו","אריסותו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 6:5:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-be48475abdec","ב׳","ב׳","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 2:2:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c8bcf1b44dba","ב״אין","ב״אינ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:21:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-d8ce70df186e","ב״ד","ב״ד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 8:12:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-ecd2bbd2608a","בא״י","בא״י","Unresolved","","No lexical entry yet","true","5","Brief Commentary on Demai 1:4:1; Brief Commentary on Demai 1:12:1; Brief Commentary on Demai 1:12:2; Brief Commentary on Demai 4:20:2; Brief Commentary on Demai 5:21:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-50624ad5daff","באומד","באומד","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 5:6:2; Brief Commentary on Demai 5:6:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-1f950ee6352b","באחרונה","באחרונה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:15:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-2d6be303a078","באחת","באחת","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 8:17:6; Brief Commentary on Demai 8:18:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-0b2a57d15643","באיבוד","באיבוד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 8:11:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c5c957a93f42","באמירתו","באמירתו","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 3:1:1; Brief Commentary on Demai 5:1:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-2b631eb4e343","באשגרה","באשגרה","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 5:9:1; Brief Commentary on Demai 6:2:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-ad2596d7604f","בב״ד","בב״ד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:5:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-73be49d660dc","בבבלי","בבבלי","Unresolved","","No lexical entry yet","true","5","Brief Commentary on Demai 1:24:2; Brief Commentary on Demai 1:24:4; Brief Commentary on Demai 3:10:1; Brief Commentary on Demai 6:12:1; Brief Commentary on Demai 8:11:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-7a5d59597438","בבד","בבד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:12:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-647410ef1ddb","בבה״א","בבה״א","Unresolved","","No lexical entry yet","true","87","Brief Commentary on Demai 1:1:4; Brief Commentary on Demai 1:1:8; Brief Commentary on Demai 1:6:2; Brief Commentary on Demai 1:8:1; Brief Commentary on Demai 1:12:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-af2de42c7853","בבודידה","בבודידה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:12:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-aa66a9d6b28d","בבשמים","בבשמימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:26:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-1a6686ce0449","בגבולים","בגבולימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:22:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-ffc24fd102d2","בגורן","בגורנ","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 6:5:4; Brief Commentary on Demai 6:5:6"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-83dc310f8837","בגינה","בגינה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:4:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-d2439f3209c9","בגליל","בגליל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:19:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-b8df4a5ae52b","בגרוגרות","בגרוגרות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:9:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-e0e380794d6f","בגרועים","בגרועימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:30:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-e2f6130e128d","בד","בד","Unresolved","","No lexical entry yet","true","11","Brief Commentary on Demai 2:19:1; Brief Commentary on Demai 4:12:1; Brief Commentary on Demai 4:19:1; Brief Commentary on Demai 5:4:1; Brief Commentary on Demai 7:4:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-8a58afbac217","בדבורו","בדבורו","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 1:8:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-472b336fa8ae","בדינר","בדינר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:14:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-1dcd4d925500","בדיעבד","בדיעבד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:5:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-415b5f342490","בדמאי","בדמאי","Unresolved","","No lexical entry yet","true","6","Brief Commentary on Demai 1:1:1; Brief Commentary on Demai 1:15:1; Brief Commentary on Demai 3:9:4; Brief Commentary on Demai 3:11:2; Brief Commentary on Demai 3:11:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4808e9f12d83","בדמי","בדמי","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 3:17:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-49b46314846b","בדקה","בדקה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 3:11:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-85860642c41c","בהלכות","בהלכות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:30:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-90d832cc8bd9","בהנאה","בהנאה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:22:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4133c1cb2a51","בהסכמת","בהסכמת","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:1:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-f9fc03a771c2","בוא","בוא","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:19:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-d58ac293e214","בודיי","בודיי","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 1:22:1; Brief Commentary on Demai 4:3:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-b1a6177a95a2","בוודאי","בוודאי","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 1:13:3; Brief Commentary on Demai 8:23:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4615a98e169c","בולל","בולל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:9:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-eb40225185bc","בולע","בולע","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 8:10:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-442c9ad8c99f","בזול","בזול","Unresolved","","No lexical entry yet","true","4","Brief Commentary on Demai 3:10:1; Brief Commentary on Demai 3:10:2; Brief Commentary on Demai 5:19:4; Brief Commentary on Demai 6:11:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c3fe27819a19","בח״ד","בח״ד","Unresolved","","No lexical entry yet","true","4","Brief Commentary on Demai 1:9:4; Brief Commentary on Demai 2:20:1; Brief Commentary on Demai 4:16:1; Brief Commentary on Demai 7:5:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-b1a51b412dd7","בחבירות","בחבירות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 2:12:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c1f47d90a9d3","בחבר","בחבר","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Demai 3:5:3; Brief Commentary on Demai 6:8:1; Brief Commentary on Demai 6:10:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-eeb9acc27ead","בחו״ל","בחו״ל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:2:6"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-cba6c72cf5a8","בחזקת","בחזקת","Unresolved","","No lexical entry yet","true","7","Brief Commentary on Demai 1:4:1; Brief Commentary on Demai 1:10:3; Brief Commentary on Demai 3:3:5; Brief Commentary on Demai 4:21:3; Brief Commentary on Demai 4:22:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-9563cf5bdc25","בחזקתם","בחזקתמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 2:17:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-47996ec036a6","בחזקתן","בחזקתנ","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 2:17:1; Brief Commentary on Demai 4:22:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-84d0d1aea4fc","בחנות","בחנות","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 3:9:1; Brief Commentary on Demai 3:10:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4eb2f61e3229","בטבל","בטבל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:6:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-062adad90f37","בטהרות","בטהרות","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Demai 2:11:1; Brief Commentary on Demai 3:9:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-b3110c432476","בטומאה","בטומאה","Unresolved","","No lexical entry yet","true","5","Brief Commentary on Demai 3:3:4; Brief Commentary on Demai 5:6:8; Brief Commentary on Demai 5:6:9"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-2a01cc32a105","בטעות","בטעות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:5:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-bf0566adaf5e","ביבש","ביבש","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 8:14:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-039166a3f67b","ביין","ביינ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 6:4:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-6870318e2898","ביינו","ביינו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 6:4:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-56afe67b0980","ביניה׳","ביניה׳","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:9:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-9c9f37638445","בירושה","בירושה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:16:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-5d4ad0eadeff","בירושלמי","בירושלמי","Unresolved","","No lexical entry yet","true","18","Brief Commentary on Demai 1:1:8; Brief Commentary on Demai 2:1:1; Brief Commentary on Demai 2:2:4; Brief Commentary on Demai 3:6:1; Brief Commentary on Demai 3:14:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-8be242f0f16f","בכבידות","בכבידות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:26:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-4e6e987a933b","בכגון","בכגונ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:4:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-9efd40d5337b","בכורות","בכורות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:4:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-baffe64c09a0","בכי״ע","בכי״ע","Unresolved","","No lexical entry yet","true","7","Brief Commentary on Demai 1:5:1; Brief Commentary on Demai 1:18:1; Brief Commentary on Demai 3:12:2; Brief Commentary on Demai 4:21:5; Brief Commentary on Demai 5:9:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-8a8deda9b2e5","בכפו״פ","בכפו״פ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 1:9:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-0927b9b4e5f1","בכתנות","בכתנות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:18:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-40406c7bd306","בלוקח","בלוקח","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Demai 1:10:5; Brief Commentary on Demai 5:6:7; Brief Commentary on Demai 5:23:3"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-1076eb44d461","בלילה","בלילה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:8:2"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-acb9a805d947","בלשונו","בלשונו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 4:21:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-c995a0f527ae","במ״ג","במ״ג","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:6:7"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-b146a2cdeec1","במהרי״ק","במהרי״ק","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 7:2:1"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-22afd30c8c54","במומים","במומימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 3:3:5"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-e9bf8aca5915","במוצא","במוצא","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:23:4"
"brief-commentary-on-demai","Brief Commentary on Demai","tok-422656d1ffe0","במוציא","במוציא","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Demai 5:23:4"
