"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-0682389eae38","א׳","א׳","Unresolved","","No lexical entry yet","true","4","Brief Commentary on Kilayim 2:16:5; Brief Commentary on Kilayim 3:5:2; Brief Commentary on Kilayim 4:10:4; Brief Commentary on Kilayim 5:15:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-a56a8a43e409","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 2:16:5"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-5519bb5387d0","אבדו","אבדו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 5:19:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-3a1361778e80","אביו","אביו","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Kilayim 5:3:1; Brief Commentary on Kilayim 5:21:2"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-a8bc051a657f","אגוז","אגוז","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 2:15:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-962b2f6b3b99","אגס","אגס","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 2:15:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-1b8ca16c343b","אודם","אודמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 4:10:6"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-b12bb5223ac5","אוזרד","אוזרד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 1:3:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-01e6e2f4d39f","אוזרר","אוזרר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 1:3:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-1119c1a82adb","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 1:5:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-4befe133ec88","אומ׳","אומ׳","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Kilayim 3:1:4; Brief Commentary on Kilayim 3:3:1; Brief Commentary on Kilayim 3:16:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-a377b14250bb","אוסר","אוסר","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Kilayim 3:11:4; Brief Commentary on Kilayim 4:8:3; Brief Commentary on Kilayim 5:17:3"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-d75a77de7fdf","אוסרים","אוסרימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 1:16:2"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-98eb6236d730","אטו","אטו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 3:11:5"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-4965e3668eb5","איל","איל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 5:4:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-a391ef7e8832","אילו","אילו","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Kilayim 1:2:1; Brief Commentary on Kilayim 2:5:2; Brief Commentary on Kilayim 4:10:7"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-5dc4f9a3d78b","אימרא","אימרא","Unresolved","","No lexical entry yet","true","4","Brief Commentary on Kilayim 5:19:3; Brief Commentary on Kilayim 5:24:2"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-8c9fc7cdab18","איסור","איסור","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Kilayim 1:6:2; Brief Commentary on Kilayim 2:1:1; Brief Commentary on Kilayim 5:26:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-40820d925151","איסטפלינית","איסטפלינית","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 5:25:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-b530b6f13c5d","איספלנית","איספלנית","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 5:25:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-99924153357d","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 2:3:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-356998aab694","אלעזר","אלעזר","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Kilayim 3:11:4; Brief Commentary on Kilayim 4:7:3"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-3207d9c25d91","אמות","אמות","Unresolved","","No lexical entry yet","true","11","Brief Commentary on Kilayim 3:1:5; Brief Commentary on Kilayim 3:5:1; Brief Commentary on Kilayim 3:6:3; Brief Commentary on Kilayim 3:11:1; Brief Commentary on Kilayim 4:1:1"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-28e73e723bc3","אמות""","אמות""","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 4:11:4"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-c76d3652b1a1","אמצעיתה","אמצעיתה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Kilayim 2:6:2"
"brief-commentary-on-kilayim","Brief Commentary on Kilayim","tok-2f1473609422","אסור","אסור","Unresolved","","No lexical entry yet","true","7","Brief Commentary on Kilayim 3:1:1; Brief Commentary on Kilayim 4:7:2; Brief Commentary on Kilayim 4:7:3; Brief Commentary on Kilayim 4:10:1; Brief Commentary on Kilayim 5:12:3"
