"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-53f11b0f8e8f","א״י","א״י","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Megillah 3:4:2; Brief Commentary on Megillah 3:4:3; Brief Commentary on Megillah 3:18:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-7ee13825c530","אביו","אביו","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 3:41:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-b6de56dc964e","אדר","אדר","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 1:6:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-cc662d05df1e","אומדין","אומדינ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:16:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-0118509f096d","אילו","אילו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:16:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-ab7ac3b1cea0","אימתי","אימתי","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:15:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-407efd243966","אמורי׳","אמורי׳","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:12:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-8c3f6f4a48ae","אמורים","אמורימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:12:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-e9d778bd01cd","אנדרגינוס","אנדרגינוס","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:7:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-0f7d11ba9019","אנן","אננ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:2:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-92e0cfdacb09","אסור","אסור","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:12:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-a3f85c5c6781","אעפ״י","אעפ״י","Unresolved","","No lexical entry yet","true","4","Brief Commentary on Megillah 1:2:1; Brief Commentary on Megillah 1:4:3; Brief Commentary on Megillah 2:10:2; Brief Commentary on Megillah 3:26:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-870b3f0edafe","ב׳","ב׳","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:1:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-54e9854e1086","באבנים","באבנימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:16:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-d1e65bc56e40","בארבעה","בארבעה","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 1:2:1; Brief Commentary on Megillah 1:2:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-4c8391ae6c60","באשגרה","באשגרה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:11:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-e90ef18e5170","בבגדים","בבגדימ","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 1:19:1; Brief Commentary on Megillah 3:30:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-cd63504e443c","בבה״א","בבה״א","Unresolved","","No lexical entry yet","true","35","Brief Commentary on Megillah 1:1:1; Brief Commentary on Megillah 1:2:1; Brief Commentary on Megillah 1:3:1; Brief Commentary on Megillah 1:4:3; Brief Commentary on Megillah 1:6:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-fe64400e8e04","בגלגל","בגלגל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:17:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-3bf6ca5daf57","בדמיהן","בדמיהנ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:12:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-52ccab591383","בהוראתו","בהוראתו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:19:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-ef2adedd3c98","בזמנה","בזמנה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:4:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-241acf61c65c","בחבל","בחבל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:30:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-abc0faf8a706","בחזרתם","בחזרתמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:14:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-0826c93f147a","בחנם","בחנמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:30:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-a141b45480f0","בט״ו","בט״ו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:1:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-c2fc95c868d0","בטפח","בטפח","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:11:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-c17ec2404e01","בי״ד","בי״ד","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:3:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-11680f8dcbf0","ביום""","ביומ""","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:4:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-b701f6ce9907","בכי״ל","בכי״ל","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:41:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-b10b6d6bef6a","בכי״ע","בכי״ע","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:36:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-7dd4b4c49013","במותריהן","במותריהנ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:12:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-df6ebc7fbc7b","במנחה","במנחה","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Megillah 3:10:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-dc602a6a85e3","במעפורת","במעפורת","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:30:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-6d82d4104878","במשנ׳","במשנ׳","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 1:4:2; Brief Commentary on Megillah 2:8:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-8be4efad0461","בנוב","בנוב","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:17:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-9673d57c2d8e","בניסן","בניסנ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:10:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-aa6aec91d511","בנתים","בנתימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:12:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-f8ad75937612","בערב","בערב","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 1:4:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-f00f16837d0c","בפחות","בפחות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:5:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-18720a7d6ba3","בפי״ב","בפי״ב","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:1:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-1875657c29ee","בפרשת","בפרשת","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 3:4:2; Brief Commentary on Megillah 3:4:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-d5deb33fcbfe","בקטן","בקטנ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:8:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-03988826c294","בקצירה","בקצירה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:10:2"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-d14733dce7a1","בראשונים","בראשונימ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:41:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-9f619c7ad8e3","ברוב","ברוב","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 1:4:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-81c9de80e009","בשחרית","בשחרית","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 3:10:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-10d4345da3e0","בשלש","בשלש","Unresolved","","No lexical entry yet","true","3","Brief Commentary on Megillah 3:4:3; Brief Commentary on Megillah 3:18:3"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-df556eb4a086","בשנו״ס","בשנו״ס","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Megillah 3:15:1; Brief Commentary on Megillah 3:36:1"
"brief-commentary-on-megillah","Brief Commentary on Megillah","tok-11e858e23085","בששה","בששה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Megillah 2:10:1"
