"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-0d59df330030","אבק","אבק","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:8:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-428e98416544","אחרת","אחרת","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Shekalim 1:12:4; Brief Commentary on Shekalim 3:13:2"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-365f13ce0f22","אילו","אילו","Unresolved","","No lexical entry yet","true","5","Brief Commentary on Shekalim 2:11:4; Brief Commentary on Shekalim 3:1:2; Brief Commentary on Shekalim 3:2:2; Brief Commentary on Shekalim 3:4:3; Brief Commentary on Shekalim 3:4:4"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-36c9e42c5f2d","איסטראות","איסטראות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:4:2"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-68786fb26f8a","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Shekalim 2:10:3"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-715fb590f67c","אמות","אמות","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 3:14:3"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-13458e84f25c","אסור","אסור","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 3:10:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-218ab3112abf","אסרו","אסרו","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:8:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-2db00fe6092a","אעפ״י","אעפ״י","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Shekalim 1:8:3; Brief Commentary on Shekalim 3:4:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-5688b9cc5659","אף""","אפ""","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:2:4"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-32bc46af1ffb","ארבעה","ארבעה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:16:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-d93776af9032","אשם","אשמ","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 3:12:2"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-05217f2d0ad0","אתי","אתי","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:2:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-7d5c9ea7b771","בא״י","בא״י","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 1:5:5"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-94948dcd4c90","באדר","באדר","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 1:1:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-52f65cd0080a","באחרונה","באחרונה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 2:5:2"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-8ed33a069612","באכילה","באכילה","Unresolved","","No lexical entry yet","true","1","Brief Commentary on Shekalim 1:11:1"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-db2fd5093b98","באכילת","באכילת","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Shekalim 2:6:2; Brief Commentary on Shekalim 3:4:2"
"brief-commentary-on-shekalim","Brief Commentary on Shekalim","tok-7318a63bce25","באשגרה","באשגרה","Unresolved","","No lexical entry yet","true","2","Brief Commentary on Shekalim 3:1:2; Brief Commentary on Shekalim 3:2:2"
