"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"chelkat-mechokek","Chelkat Mechokek","tok-38244a704252","א׳","א׳","Unresolved","","No lexical entry yet","true","282","Chelkat Mechokek 1:3; Chelkat Mechokek 1:13; Chelkat Mechokek 1:19; Chelkat Mechokek 3:2; Chelkat Mechokek 3:6"
"chelkat-mechokek","Chelkat Mechokek","tok-4c328ba43563","א״א","א״א","Unresolved","","No lexical entry yet","true","79","Chelkat Mechokek 4:6; Chelkat Mechokek 4:12; Chelkat Mechokek 4:36; Chelkat Mechokek 7:14; Chelkat Mechokek 10:6"
"chelkat-mechokek","Chelkat Mechokek","tok-fe115ffc4578","א״ב","א״ב","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 68:11"
"chelkat-mechokek","Chelkat Mechokek","tok-ea2fbfd46790","א״ה","א״ה","Unresolved","","No lexical entry yet","true","3","Chelkat Mechokek 10:3; Chelkat Mechokek 17:66"
"chelkat-mechokek","Chelkat Mechokek","tok-cbe8657cd0a2","א״ו","א״ו","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 17:38; Chelkat Mechokek 17:108"
"chelkat-mechokek","Chelkat Mechokek","tok-9e86df595ad1","א״ז","א״ז","Unresolved","","No lexical entry yet","true","6","Chelkat Mechokek 15:3; Chelkat Mechokek 17:21; Chelkat Mechokek 17:25; Chelkat Mechokek 17:31; Chelkat Mechokek 45:10"
"chelkat-mechokek","Chelkat Mechokek","tok-1d541809d4cf","א״ח","א״ח","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 28:39; Chelkat Mechokek 55:7"
"chelkat-mechokek","Chelkat Mechokek","tok-d5d945b7e968","א״י","א״י","Unresolved","","No lexical entry yet","true","8","Chelkat Mechokek 19:3; Chelkat Mechokek 45:16; Chelkat Mechokek 75:13; Chelkat Mechokek 75:20; Chelkat Mechokek 85:18"
"chelkat-mechokek","Chelkat Mechokek","tok-1a769abfb97c","א״ל","א״ל","Unresolved","","No lexical entry yet","true","7","Chelkat Mechokek 10:6; Chelkat Mechokek 17:10; Chelkat Mechokek 28:15; Chelkat Mechokek 37:10; Chelkat Mechokek 42:8"
"chelkat-mechokek","Chelkat Mechokek","tok-b33918dbb313","א״מ","א״מ","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 32:9; Chelkat Mechokek 129:2"
"chelkat-mechokek","Chelkat Mechokek","tok-25225c69301e","א״נ","א״נ","Unresolved","","No lexical entry yet","true","14","Chelkat Mechokek 9:2; Chelkat Mechokek 17:57; Chelkat Mechokek 28:39; Chelkat Mechokek 37:38; Chelkat Mechokek 55:2"
"chelkat-mechokek","Chelkat Mechokek","tok-d1d3df82d808","א״צ","א״צ","Unresolved","","No lexical entry yet","true","51","Chelkat Mechokek 7:27; Chelkat Mechokek 10:6; Chelkat Mechokek 17:21; Chelkat Mechokek 17:31; Chelkat Mechokek 17:38"
"chelkat-mechokek","Chelkat Mechokek","tok-741d41a172e9","א״ר","א״ר","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 7:13; Chelkat Mechokek 66:12"
"chelkat-mechokek","Chelkat Mechokek","tok-f1a1533296e2","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","14","Chelkat Mechokek 17:21; Chelkat Mechokek 38:27; Chelkat Mechokek 62:8; Chelkat Mechokek 70:2; Chelkat Mechokek 78:10"
"chelkat-mechokek","Chelkat Mechokek","tok-9d11e20c5d95","אאגריה","אאגריה","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 28:27"
"chelkat-mechokek","Chelkat Mechokek","tok-166c38bd2ce6","אאותו","אאותו","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 50:18"
"chelkat-mechokek","Chelkat Mechokek","tok-a7f049c51ac5","אאפר","אאפר","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 28:39"
"chelkat-mechokek","Chelkat Mechokek","tok-b7f5e49c7138","אאשה","אאשה","Unresolved","","No lexical entry yet","true","3","Chelkat Mechokek 4:17; Chelkat Mechokek 17:78; Chelkat Mechokek 37:1"
"chelkat-mechokek","Chelkat Mechokek","tok-81a6dced7b8d","אב״ד","אב״ד","Unresolved","","No lexical entry yet","true","3","Chelkat Mechokek 17:66; Chelkat Mechokek 17:78; Chelkat Mechokek 128:1"
"chelkat-mechokek","Chelkat Mechokek","tok-35ee01abf467","אבא","אבא","Unresolved","","No lexical entry yet","true","6","Chelkat Mechokek 15:2; Chelkat Mechokek 17:47; Chelkat Mechokek 37:10; Chelkat Mechokek 38:50; Chelkat Mechokek 69:12"
"chelkat-mechokek","Chelkat Mechokek","tok-f70200895fa4","אבבא","אבבא","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 102:11"
"chelkat-mechokek","Chelkat Mechokek","tok-84d7754f742b","אבביה","אבביה","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 76:1"
"chelkat-mechokek","Chelkat Mechokek","tok-c0364a816c8a","אבד","אבד","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 100:26; Chelkat Mechokek 116:7"
"chelkat-mechokek","Chelkat Mechokek","tok-7133a42a7628","אבד׳","אבד׳","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 77:12"
"chelkat-mechokek","Chelkat Mechokek","tok-ec2a6cc3174b","אבדו","אבדו","Unresolved","","No lexical entry yet","true","6","Chelkat Mechokek 75:19; Chelkat Mechokek 88:2; Chelkat Mechokek 106:7; Chelkat Mechokek 111:15; Chelkat Mechokek 113:6"
"chelkat-mechokek","Chelkat Mechokek","tok-56998da34d5b","אבדתי","אבדתי","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 100:41"
"chelkat-mechokek","Chelkat Mechokek","tok-1bd09a5ba1e0","אבהו","אבהו","Unresolved","","No lexical entry yet","true","2","Chelkat Mechokek 17:78; Chelkat Mechokek 38:56"
"chelkat-mechokek","Chelkat Mechokek","tok-ff31de027bd7","אבוד","אבוד","Unresolved","","No lexical entry yet","true","1","Chelkat Mechokek 66:16"
