"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-33dab41fb2ba","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):47"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-57a019278fac","אבות־העולם","אבות־העולמ","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):16"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-e8e8d5e6dcb8","אברך","אברכ","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):58"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-6d3719e93ad8","אדונינו","אדונינו","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):22"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-15d793508e35","אדם""","אדמ""","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):40"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-fc9cb951bb3f","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","2","Derech Etz Chayim (Ramchal):20; Derech Etz Chayim (Ramchal):26"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-923f51b88ac8","אדרוש","אדרוש","Unresolved","","No lexical entry yet","true","2","Derech Etz Chayim (Ramchal):46"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-6d4ebb534ff5","אויב""","אויב""","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):34"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-cbb3f255dfd6","אולם","אולמ","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):46"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-0b513a35d6bf","אולת","אולת","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):26"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-c41f2a29a958","אור""","אור""","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):5"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-5fb60fe3d619","אותי","אותי","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):64"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-65d348535a26","אותיותיהם","אותיותיהמ","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):7"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-dca749f57dea","אזי","אזי","Unresolved","","No lexical entry yet","true","7","Derech Etz Chayim (Ramchal):59; Derech Etz Chayim (Ramchal):60; Derech Etz Chayim (Ramchal):61; Derech Etz Chayim (Ramchal):68; Derech Etz Chayim (Ramchal):78"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-00a4e751e976","אחד""","אחד""","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):61"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-f10facd3355f","אחל","אחל","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):53"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-991ef1cbfa1f","אחרא","אחרא","Unresolved","","No lexical entry yet","true","24","Derech Etz Chayim (Ramchal):13; Derech Etz Chayim (Ramchal):26; Derech Etz Chayim (Ramchal):29; Derech Etz Chayim (Ramchal):32; Derech Etz Chayim (Ramchal):34"
"derech-etz-chayim-ramchal","Derech Etz Chayim (Ramchal)","tok-69c414408343","אחרים""","אחרימ""","Unresolved","","No lexical entry yet","true","1","Derech Etz Chayim (Ramchal):38"
