"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"divrei-chalomot","Divrei Chalomot","tok-67ddd572d0ed","א׳","א׳","Unresolved","","No lexical entry yet","true","16","Divrei Chalomot 2:1; Divrei Chalomot 5:1; Divrei Chalomot 6:1; Divrei Chalomot 8:1; Divrei Chalomot 13:1"
"divrei-chalomot","Divrei Chalomot","tok-7610bb0d3e96","אאומד","אאומד","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 21:1"
"divrei-chalomot","Divrei Chalomot","tok-6b7159351111","אבי","אבי","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 2:1; Divrei Chalomot 18:1"
"divrei-chalomot","Divrei Chalomot","tok-270727d1bccf","אביה","אביה","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 7:1"
"divrei-chalomot","Divrei Chalomot","tok-a6f652c13f23","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 25:3"
"divrei-chalomot","Divrei Chalomot","tok-6ac147cbed25","אביו","אביו","Unresolved","","No lexical entry yet","true","4","Divrei Chalomot 18:1; Divrei Chalomot 25:3"
"divrei-chalomot","Divrei Chalomot","tok-8ff9583bf6b5","אביך","אביכ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 25:2"
"divrei-chalomot","Divrei Chalomot","tok-d3833d1104a5","אביכם","אביכמ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 11:1"
"divrei-chalomot","Divrei Chalomot","tok-0252696824c4","אברך","אברכ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 27:3"
"divrei-chalomot","Divrei Chalomot","tok-72a7dfc0d138","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 1:2"
"divrei-chalomot","Divrei Chalomot","tok-2f450438e450","אגיד","אגיד","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 14:1"
"divrei-chalomot","Divrei Chalomot","tok-2f03f0067b7b","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-f937e5bc265c","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 21:1"
"divrei-chalomot","Divrei Chalomot","tok-bc167e1d9910","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 19:1; Divrei Chalomot 25:3"
"divrei-chalomot","Divrei Chalomot","tok-987661a19e9d","אדרי״ן","אדרי״נ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 15:1"
"divrei-chalomot","Divrei Chalomot","tok-dc5ecc41481e","אהדרנא","אהדרנא","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 9:1"
"divrei-chalomot","Divrei Chalomot","tok-236d1c90d638","אהלי","אהלי","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-7257c917488d","אהלים","אהלימ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-73ca70b19e7a","או״ח","או״ח","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-40e62d853c2f","אודם","אודמ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 1:3"
"divrei-chalomot","Divrei Chalomot","tok-0056e26e291c","אוהליך","אוהליכ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-f6fc7a6abb6a","אוכלין","אוכלינ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 12:1"
"divrei-chalomot","Divrei Chalomot","tok-6b9979a2980c","אוכלת","אוכלת","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 22:1"
"divrei-chalomot","Divrei Chalomot","tok-41e4036aabba","אולי","אולי","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 21:1; Divrei Chalomot 22:1"
"divrei-chalomot","Divrei Chalomot","tok-fbf5ad835c31","אומדנא","אומדנא","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 21:1"
"divrei-chalomot","Divrei Chalomot","tok-05fc840a7553","אוסר","אוסר","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-767b24d54fd7","אושכפי","אושכפי","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-9d609df588e0","אושעיא","אושעיא","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-8a04cb1aada4","אושעיה","אושעיה","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-ed3f5566a3c5","אזלינן","אזליננ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 21:1"
"divrei-chalomot","Divrei Chalomot","tok-3c7ba01d0195","אחורי","אחורי","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 4:1"
"divrei-chalomot","Divrei Chalomot","tok-0654996efd11","אחותה","אחותה","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 7:1"
"divrei-chalomot","Divrei Chalomot","tok-bcaff11eb21a","אחיו","אחיו","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 8:1; Divrei Chalomot 18:1"
"divrei-chalomot","Divrei Chalomot","tok-1f91c8d401e4","אחיות","אחיות","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 7:1"
"divrei-chalomot","Divrei Chalomot","tok-833e709cc5c6","אחרא","אחרא","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-18c20702b4b1","אחריהם","אחריהמ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 10:1"
"divrei-chalomot","Divrei Chalomot","tok-ce06e2c041b8","אחרת","אחרת","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 7:1"
"divrei-chalomot","Divrei Chalomot","tok-f8dc1b673d1d","איכא","איכא","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 7:1; Divrei Chalomot 26:1"
"divrei-chalomot","Divrei Chalomot","tok-107d881c26d2","אינשי","אינשי","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 23:1; Divrei Chalomot 25:3"
"divrei-chalomot","Divrei Chalomot","tok-0037b163ed17","איסור","איסור","Unresolved","","No lexical entry yet","true","7","Divrei Chalomot 6:1; Divrei Chalomot 23:1; Divrei Chalomot 26:1"
"divrei-chalomot","Divrei Chalomot","tok-b8b4daffe6ad","איעקב","איעקב","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 7:1"
"divrei-chalomot","Divrei Chalomot","tok-c11ecf7940d3","אית","אית","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 9:1"
"divrei-chalomot","Divrei Chalomot","tok-c682a7fbcb53","איתא","איתא","Unresolved","","No lexical entry yet","true","5","Divrei Chalomot 2:1; Divrei Chalomot 5:1; Divrei Chalomot 6:1; Divrei Chalomot 12:1"
"divrei-chalomot","Divrei Chalomot","tok-b2b50f935b42","אכילה","אכילה","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 5:1"
"divrei-chalomot","Divrei Chalomot","tok-85bf581507bb","אכילתו","אכילתו","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 5:1"
"divrei-chalomot","Divrei Chalomot","tok-d052d9a28677","אכלו","אכלו","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 12:1"
"divrei-chalomot","Divrei Chalomot","tok-85e61a000670","אכריז","אכריז","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 12:1"
"divrei-chalomot","Divrei Chalomot","tok-c7cd88a2e5f8","אכתבנה","אכתבנה","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-9cae9546002a","אלוה","אלוה","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 6:1"
"divrei-chalomot","Divrei Chalomot","tok-41647689fa6f","אליבא","אליבא","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 23:1; Divrei Chalomot 25:3"
"divrei-chalomot","Divrei Chalomot","tok-9dbe2f057e3f","אלימלך","אלימלכ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 10:1"
"divrei-chalomot","Divrei Chalomot","tok-5fb5f43eee90","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 22:1"
"divrei-chalomot","Divrei Chalomot","tok-ded2603ad17b","אלמלא","אלמלא","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 22:1"
"divrei-chalomot","Divrei Chalomot","tok-b2c2ef85d6c4","אמירה","אמירה","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 7:1"
"divrei-chalomot","Divrei Chalomot","tok-4bf52e4642e6","אמיתות","אמיתות","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 8:1"
"divrei-chalomot","Divrei Chalomot","tok-918a59e05df1","אמרגלים","אמרגלימ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 22:1"
"divrei-chalomot","Divrei Chalomot","tok-930ef4496ff2","אנן","אננ","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 8:1"
"divrei-chalomot","Divrei Chalomot","tok-a944c5696404","אנת","אנת","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-165a222800db","אסא","אסא","Unresolved","","No lexical entry yet","true","2","Divrei Chalomot 13:1; Divrei Chalomot 25:1"
"divrei-chalomot","Divrei Chalomot","tok-e1b43b132d17","אסור","אסור","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 23:1"
"divrei-chalomot","Divrei Chalomot","tok-197f560c9607","אסיק","אסיק","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 21:1"
"divrei-chalomot","Divrei Chalomot","tok-373be1cdcf55","אסתר","אסתר","Unresolved","","No lexical entry yet","true","1","Divrei Chalomot 22:1"
