"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"divrei-emet","Divrei Emet","tok-0f14abbf7de0","א׳","א׳","Unresolved","","No lexical entry yet","true","113","Divrei Emet, Approbations:1; Divrei Emet, Divrei Emet on Torah, Bereshit:3; Divrei Emet, Divrei Emet on Torah, Bereshit:6; Divrei Emet, Divrei Emet on Torah, Noach:7; Divrei Emet, Divrei Emet on Torah, Lech Lecha:1"
"divrei-emet","Divrei Emet","tok-eb7b921a70f7","א׳׳ז","א׳׳ז","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Title Page:2"
"divrei-emet","Divrei Emet","tok-3456a1c341a2","א״א","א״א","Unresolved","","No lexical entry yet","true","48","Divrei Emet, Divrei Emet on Torah, Bereshit:3; Divrei Emet, Divrei Emet on Torah, Bereshit:6; Divrei Emet, Divrei Emet on Torah, Lech Lecha:5; Divrei Emet, Divrei Emet on Torah, Lech Lecha:7; Divrei Emet, Divrei Emet on Torah, Lech Lecha:8"
"divrei-emet","Divrei Emet","tok-a53522b42633","א״ה","א״ה","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Mishpatim:4; Divrei Emet, Divrei Emet on Torah, Balak:4"
"divrei-emet","Divrei Emet","tok-53f00f035d38","א״ז","א״ז","Unresolved","","No lexical entry yet","true","6","Divrei Emet, Introduction:2; Divrei Emet, Introduction:3; Divrei Emet, Introduction:6; Divrei Emet, Introduction:9; Divrei Emet, Divrei Emet on Torah, Chukat:3"
"divrei-emet","Divrei Emet","tok-b58d1f5e7348","א״י","א״י","Unresolved","","No lexical entry yet","true","5","Divrei Emet, Divrei Emet on Torah, Lech Lecha:1; Divrei Emet, Divrei Emet on Torah, Lech Lecha:8; Divrei Emet, Divrei Emet on Torah, Korach:6; Divrei Emet, Divrei Emet on Torah, Vaetchanan:4; Divrei Emet, Divrei Emet on Torah, Ki Teitzei:5"
"divrei-emet","Divrei Emet","tok-50b90598fb59","א״ל","א״ל","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 5a:3; Divrei Emet, Divrei Emet on Talmud, Bava Kamma 9b:1"
"divrei-emet","Divrei Emet","tok-34f28fd88f31","א״נ","א״נ","Unresolved","","No lexical entry yet","true","3","Divrei Emet, Divrei Emet on Torah, Eikev:6; Divrei Emet, Divrei Emet on Talmud, Bava Kamma 8a:2; Divrei Emet, Divrei Emet on Talmud, Bava Kamma 15a:4"
"divrei-emet","Divrei Emet","tok-e0acdab57b5e","א״ע","א״ע","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Tetzaveh:2; Divrei Emet, Divrei Emet on Torah, Vaetchanan:5"
"divrei-emet","Divrei Emet","tok-13ac5c8675dc","א״ק","א״ק","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Vayetzei:9"
"divrei-emet","Divrei Emet","tok-1079464856e1","א״ת","א״ת","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Vayishlach:1"
"divrei-emet","Divrei Emet","tok-f4274cc355f3","אא״ב","אא״ב","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 7a:1"
"divrei-emet","Divrei Emet","tok-4f0e31dbdd59","אאלפך","אאלפכ","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Tazria:1"
"divrei-emet","Divrei Emet","tok-198a99a867bf","אאע״ה","אאע״ה","Unresolved","","No lexical entry yet","true","7","Divrei Emet, Divrei Emet on Torah, Vayetzei:7; Divrei Emet, Divrei Emet on Torah, Vayetzei:11; Divrei Emet, Divrei Emet on Torah, Vayishlach:2; Divrei Emet, Divrei Emet on Torah, Vayechi:2; Divrei Emet, Divrei Emet on Torah, Vaera:2"
"divrei-emet","Divrei Emet","tok-29e4ae605771","אב״ד","אב״ד","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Vayera:5; Divrei Emet, Divrei Emet on Torah, Bechukotai:2"
"divrei-emet","Divrei Emet","tok-1e14be8600ad","אב״ד״ק","אב״ד״ק","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Approbations:2"
"divrei-emet","Divrei Emet","tok-9121557f4040","אב״ח","אב״ח","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 7b:2"
"divrei-emet","Divrei Emet","tok-45323f495e01","אבא","אבא","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Vayetzei:7; Divrei Emet, Divrei Emet on Torah, Shoftim:7"
"divrei-emet","Divrei Emet","tok-729b059631a3","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Vaera:1"
"divrei-emet","Divrei Emet","tok-184af350d20c","אבד״ק","אבד״ק","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Approbations:1; Divrei Emet, Approbations:2"
"divrei-emet","Divrei Emet","tok-0be979a4344d","אבדו","אבדו","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Tetzaveh:1"
"divrei-emet","Divrei Emet","tok-2b5242c37d50","אבה","אבה","Unresolved","","No lexical entry yet","true","5","Divrei Emet, Divrei Emet on Torah, Lech Lecha:1; Divrei Emet, Divrei Emet on Torah, Vaera:3; Divrei Emet, Divrei Emet on Torah, Kedoshim:2; Divrei Emet, Divrei Emet on Torah, Nasso:1; Divrei Emet, Divrei Emet on Torah, Matot:4"
"divrei-emet","Divrei Emet","tok-d12961bc72a9","אבהמה","אבהמה","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 23b:1"
"divrei-emet","Divrei Emet","tok-4cca9757cd5c","אבושה","אבושה","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Shekalim:3"
"divrei-emet","Divrei Emet","tok-8ca4507f2c17","אבותונו","אבותונו","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Masei:2"
"divrei-emet","Divrei Emet","tok-57dffab865f8","אבותי","אבותי","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Introduction:3; Divrei Emet, Introduction:7"
"divrei-emet","Divrei Emet","tok-f8735f9d968e","אבותיכם","אבותיכמ","Unresolved","","No lexical entry yet","true","5","Divrei Emet, Divrei Emet on Torah, Shemot:2; Divrei Emet, Divrei Emet on Torah, Shemot:3; Divrei Emet, Divrei Emet on Torah, Shemot:6"
"divrei-emet","Divrei Emet","tok-364eddfadc25","אבחר","אבחר","Unresolved","","No lexical entry yet","true","5","Divrei Emet, Divrei Emet on Torah, Korach:5; Divrei Emet, Divrei Emet on Torah, Korach:7; Divrei Emet, Divrei Emet on Torah, Korach:8"
"divrei-emet","Divrei Emet","tok-54dfc3b1285e","אבי","אבי","Unresolved","","No lexical entry yet","true","5","Divrei Emet, Introduction:7; Divrei Emet, Divrei Emet on Torah, Vayishlach:1; Divrei Emet, Divrei Emet on Torah, Korach:10"
"divrei-emet","Divrei Emet","tok-42ceb0d7ae2e","אביא","אביא","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Vayigash:7"
"divrei-emet","Divrei Emet","tok-f28032a81a18","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","3","Divrei Emet, Divrei Emet on Torah, Vayeshev:2; Divrei Emet, Divrei Emet on Torah, Vaera:7; Divrei Emet, Divrei Emet on Torah, Korach:4"
"divrei-emet","Divrei Emet","tok-e0bc84ec82ff","אביהן","אביהנ","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Vayeshev:2"
"divrei-emet","Divrei Emet","tok-b4d519d24c16","אביו","אביו","Unresolved","","No lexical entry yet","true","15","Divrei Emet, Divrei Emet on Torah, Chayei Sara:4; Divrei Emet, Divrei Emet on Torah, Vayeshev:1; Divrei Emet, Divrei Emet on Torah, Vayeshev:2; Divrei Emet, Divrei Emet on Torah, Vayigash:8; Divrei Emet, Divrei Emet on Torah, Beha'alotcha:7"
"divrei-emet","Divrei Emet","tok-09a58bb23458","אביי","אביי","Unresolved","","No lexical entry yet","true","3","Divrei Emet, Divrei Emet on Talmud, Shabbat 4b:1; Divrei Emet, Divrei Emet on Talmud, Bava Kamma 7a:2; Divrei Emet, Divrei Emet on Talmud, Bava Batra 17b:1"
"divrei-emet","Divrei Emet","tok-9f3eaf0b00c6","אביך","אביכ","Unresolved","","No lexical entry yet","true","15","Divrei Emet, Divrei Emet on Torah, Lech Lecha:1; Divrei Emet, Divrei Emet on Torah, Vayigash:7; Divrei Emet, Divrei Emet on Torah, Vayechi:10; Divrei Emet, Divrei Emet on Torah, Vayechi:11; Divrei Emet, Divrei Emet on Torah, Vayechi:12"
"divrei-emet","Divrei Emet","tok-494e8d1a3a44","אבימלך","אבימלכ","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Vayetzei:1; Divrei Emet, Divrei Emet on Torah, Chukat:7"
"divrei-emet","Divrei Emet","tok-88726b1d7922","אביתיכם","אביתיכמ","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Shemot:6"
"divrei-emet","Divrei Emet","tok-7ce37e97d8ae","אבנתא","אבנתא","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Mishpatim:3"
"divrei-emet","Divrei Emet","tok-3a463cd7cd81","אבק","אבק","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Tetzaveh:4; Divrei Emet, Divrei Emet on Torah, Devarim:2"
"divrei-emet","Divrei Emet","tok-c08396ab4a3b","אברה׳","אברה׳","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Toldot:3"
"divrei-emet","Divrei Emet","tok-5522a4458c0d","אברכך","אברככ","Unresolved","","No lexical entry yet","true","7","Divrei Emet, Divrei Emet on Torah, Vayera:6; Divrei Emet, Divrei Emet on Torah, Vayera:8"
"divrei-emet","Divrei Emet","tok-441197a055c4","אברכם","אברכמ","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Nasso:7"
"divrei-emet","Divrei Emet","tok-13a87671c7e5","אברם","אברמ","Unresolved","","No lexical entry yet","true","8","Divrei Emet, Divrei Emet on Torah, Noach:12; Divrei Emet, Divrei Emet on Torah, Lech Lecha:4; Divrei Emet, Divrei Emet on Torah, Lech Lecha:5; Divrei Emet, Divrei Emet on Torah, Lech Lecha:14"
"divrei-emet","Divrei Emet","tok-88ce03f1ed64","אבתראי","אבתראי","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 15b:1"
"divrei-emet","Divrei Emet","tok-d44fa0f557d9","אבתרי׳","אבתרי׳","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Vayetzei:12"
"divrei-emet","Divrei Emet","tok-bce2106b2155","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 9b:3"
"divrei-emet","Divrei Emet","tok-07efef56f7e5","אגדה","אגדה","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Beha'alotcha:1; Divrei Emet, Divrei Emet on Torah, Beha'alotcha:4"
"divrei-emet","Divrei Emet","tok-71ef164f4961","אגוז","אגוז","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Shabbat 5b:4"
"divrei-emet","Divrei Emet","tok-4b398d9dbf87","אגזל","אגזל","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Metzia 37a:2"
"divrei-emet","Divrei Emet","tok-19abdf007849","אדא","אדא","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 6a:1"
"divrei-emet","Divrei Emet","tok-925bdb135f3d","אדא״ז","אדא״ז","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Introduction:3"
"divrei-emet","Divrei Emet","tok-644b640b4519","אדבר","אדבר","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Divrei Emet on Torah, Balak:11; Divrei Emet, Divrei Emet on Torah, Re'eh:1"
"divrei-emet","Divrei Emet","tok-19212a701a5c","אדהכי","אדהכי","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 24b:1"
"divrei-emet","Divrei Emet","tok-e9ce44de1ce5","אדום","אדומ","Unresolved","","No lexical entry yet","true","10","Divrei Emet, Divrei Emet on Torah, Vayishlach:1; Divrei Emet, Divrei Emet on Torah, Vayechi:1; Divrei Emet, Divrei Emet on Torah, Vayechi:5; Divrei Emet, Divrei Emet on Torah, Bo:1; Divrei Emet, Divrei Emet on Torah, Balak:8"
"divrei-emet","Divrei Emet","tok-ce3bc5df7a03","אדומ׳","אדומ׳","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Torah, Chukat:1"
"divrei-emet","Divrei Emet","tok-f60a758ac9bc","אדומו״ר","אדומו״ר","Unresolved","","No lexical entry yet","true","2","Divrei Emet, Approbations:1; Divrei Emet, Introduction:2"
"divrei-emet","Divrei Emet","tok-ab66b01a1ad2","אדוניו","אדוניו","Unresolved","","No lexical entry yet","true","1","Divrei Emet, Divrei Emet on Talmud, Bava Kamma 24b:3"
"divrei-emet","Divrei Emet","tok-bfca898a16c6","אדונים","אדונימ","Unresolved","","No lexical entry yet","true","5","Divrei Emet, Divrei Emet on Torah, Vayetzei:10; Divrei Emet, Divrei Emet on Torah, Terumah:1; Divrei Emet, Divrei Emet on Torah, Ki Tisa:3; Divrei Emet, Divrei Emet on Torah, Balak:3"
