"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"drisha","Drisha","tok-2cae502f832c","א׳","א׳","Unresolved","","No lexical entry yet","true","1394","Drisha, Orach Chayim 4:1:1; Drisha, Orach Chayim 10:3:1; Drisha, Orach Chayim 12:1:1; Drisha, Orach Chayim 12:2:1; Drisha, Orach Chayim 15:2:1"
"drisha","Drisha","tok-4a8d2bb19df1","א׳״כ","א׳״כ","Unresolved","","No lexical entry yet","true","1","Drisha, Choshen Mishpat 140:10:1"
"drisha","Drisha","tok-1db9de8110d2","א""","א""","Unresolved","","No lexical entry yet","true","1","Drisha, Choshen Mishpat 277:24:1"
"drisha","Drisha","tok-ead553c4f0a0","א״א","א״א","Unresolved","","No lexical entry yet","true","408","Drisha, Orach Chayim 1:8:1; Drisha, Orach Chayim 3:1:1; Drisha, Orach Chayim 9:1:1; Drisha, Orach Chayim 9:2:1; Drisha, Orach Chayim 10:2:1"
"drisha","Drisha","tok-740498450f75","א״ב","א״ב","Unresolved","","No lexical entry yet","true","32","Drisha, Choshen Mishpat 12:2:1; Drisha, Choshen Mishpat 37:9:1; Drisha, Choshen Mishpat 89:10:1; Drisha, Choshen Mishpat 94:1:1; Drisha, Choshen Mishpat 141:1:1"
"drisha","Drisha","tok-90eaf77264a5","א״ד","א״ד","Unresolved","","No lexical entry yet","true","68","Drisha, Orach Chayim 11:5:1; Drisha, Orach Chayim 72:2:1; Drisha, Orach Chayim 87:1:1; Drisha, Orach Chayim 174:4:1; Drisha, Orach Chayim 310:3:1"
"drisha","Drisha","tok-b54a75e90e4b","א״ה","א״ה","Unresolved","","No lexical entry yet","true","37","Drisha, Orach Chayim 269:1:1; Drisha, Orach Chayim 271:5:1; Drisha, Yoreh De'ah 13:5:1; Drisha, Yoreh De'ah 93:5:1; Drisha, Even HaEzer 2:3:1"
"drisha","Drisha","tok-fcb1f866a707","א״ו","א״ו","Unresolved","","No lexical entry yet","true","7","Drisha, Orach Chayim 8:1:1; Drisha, Yoreh De'ah 70:6:1; Drisha, Even HaEzer 1:9:1; Drisha, Even HaEzer 3:6:1; Drisha, Even HaEzer 4:12:1"
"drisha","Drisha","tok-37baccfaa83f","א״ז","א״ז","Unresolved","","No lexical entry yet","true","17","Drisha, Orach Chayim 162:1:1; Drisha, Orach Chayim 212:1:1; Drisha, Orach Chayim 307:5:1; Drisha, Orach Chayim 311:2:1; Drisha, Orach Chayim 314:1:1"
"drisha","Drisha","tok-251f5cdcfe49","א״ח","א״ח","Unresolved","","No lexical entry yet","true","20","Drisha, Orach Chayim 4:1:1; Drisha, Orach Chayim 85:1:1; Drisha, Orach Chayim 142:1:1; Drisha, Orach Chayim 181:4:1; Drisha, Orach Chayim 187:2:1"
"drisha","Drisha","tok-0a0074e672a7","א״ט","א״ט","Unresolved","","No lexical entry yet","true","28","Drisha, Yoreh De'ah 20:1:1; Drisha, Yoreh De'ah 20:2:1; Drisha, Yoreh De'ah 29:2:1; Drisha, Yoreh De'ah 29:4:1; Drisha, Yoreh De'ah 30:1:1"
"drisha","Drisha","tok-d5798e2d34b9","א״י","א״י","Unresolved","","No lexical entry yet","true","116","Drisha, Orach Chayim 3:1:1; Drisha, Orach Chayim 94:1:1; Drisha, Orach Chayim 201:2:1; Drisha, Orach Chayim 403:1:1; Drisha, Orach Chayim 429:3:1"
"drisha","Drisha","tok-6957ad56d475","א״ל","א״ל","Unresolved","","No lexical entry yet","true","715","Drisha, Orach Chayim 10:2:1; Drisha, Orach Chayim 10:3:1; Drisha, Orach Chayim 12:2:1; Drisha, Orach Chayim 56:1:1; Drisha, Orach Chayim 92:1:1"
"drisha","Drisha","tok-51ccdab45dbc","א״מ","א״מ","Unresolved","","No lexical entry yet","true","15","Drisha, Orach Chayim 188:5:1; Drisha, Yoreh De'ah 113:2:1; Drisha, Choshen Mishpat 72:4:1; Drisha, Choshen Mishpat 260:10:1; Drisha, Choshen Mishpat 260:11:1"
"drisha","Drisha","tok-a465b7cddf59","א״נ","א״נ","Unresolved","","No lexical entry yet","true","336","Drisha, Orach Chayim 10:3:1; Drisha, Orach Chayim 11:2:1; Drisha, Orach Chayim 23:1:1; Drisha, Orach Chayim 27:2:1; Drisha, Orach Chayim 32:8:1"
"drisha","Drisha","tok-4755f2f05615","א״ע","א״ע","Unresolved","","No lexical entry yet","true","31","Drisha, Yoreh De'ah 123:5:1; Drisha, Even HaEzer 1:1:1; Drisha, Even HaEzer 17:9:2; Drisha, Even HaEzer 26:1:1; Drisha, Even HaEzer 63:2:1"
"drisha","Drisha","tok-88ad4339fe49","א״פ","א״פ","Unresolved","","No lexical entry yet","true","5","Drisha, Orach Chayim 208:1:1; Drisha, Orach Chayim 442:1:1"
"drisha","Drisha","tok-47a41874e6d3","א״ק","א״ק","Unresolved","","No lexical entry yet","true","1","Drisha, Choshen Mishpat 99:7:1"
"drisha","Drisha","tok-e208e7e0bd9b","א״ר","א״ר","Unresolved","","No lexical entry yet","true","150","Drisha, Orach Chayim 9:2:1; Drisha, Orach Chayim 10:1:1; Drisha, Orach Chayim 32:8:1; Drisha, Orach Chayim 56:1:1; Drisha, Orach Chayim 89:2:1"
"drisha","Drisha","tok-eeea78da1cdb","א״ש","א״ש","Unresolved","","No lexical entry yet","true","453","Drisha, Orach Chayim 1:1:1; Drisha, Orach Chayim 9:1:1; Drisha, Orach Chayim 15:2:1; Drisha, Orach Chayim 32:7:1; Drisha, Orach Chayim 44:2:1"
"drisha","Drisha","tok-32fa63d67c9f","א״ת","א״ת","Unresolved","","No lexical entry yet","true","34","Drisha, Orach Chayim 1:8:1; Drisha, Orach Chayim 320:1:1; Drisha, Orach Chayim 325:1:1; Drisha, Yoreh De'ah 14:1:1; Drisha, Yoreh De'ah 58:6:1"
"drisha","Drisha","tok-826bc54b7c57","א״תשהאי","א״תשהאי","Unresolved","","No lexical entry yet","true","1","Drisha, Even HaEzer 27:2:1"
"drisha","Drisha","tok-cff46249b7d2","אא״א","אא״א","Unresolved","","No lexical entry yet","true","2","Drisha, Choshen Mishpat 88:8:1; Drisha, Choshen Mishpat 262:19:1"
"drisha","Drisha","tok-d68ed503e8a7","אא״ב","אא״ב","Unresolved","","No lexical entry yet","true","3","Drisha, Choshen Mishpat 88:8:1; Drisha, Choshen Mishpat 197:7:1; Drisha, Choshen Mishpat 262:19:1"
