"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-4bf5745e58b2","א׳","א׳","Unresolved","","No lexical entry yet","true","5","Efodi on Guide for the Perplexed, Prefatory Remarks:26; Efodi on Guide for the Perplexed, Part 1, Introduction:7; Efodi on Guide for the Perplexed, Part 2, Introduction:18; Efodi on Guide for the Perplexed, Part 2 1:7"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-2405305583ff","א״א","א״א","Unresolved","","No lexical entry yet","true","4","Efodi on Guide for the Perplexed, Part 2, Introduction:6; Efodi on Guide for the Perplexed, Part 2 1:9; Efodi on Guide for the Perplexed, Part 2 1:13"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-63b8e3ff59e3","אבאר","אבאר","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:32"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-06b71d0c3360","אבוחמ״ד","אבוחמ״ד","Unresolved","","No lexical entry yet","true","3","Efodi on Guide for the Perplexed, Part 2, Introduction:3; Efodi on Guide for the Perplexed, Part 2, Introduction:14; Efodi on Guide for the Perplexed, Part 2, Introduction:18"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-79c4805fbaa7","אומרו","אומרו","Unresolved","","No lexical entry yet","true","2","Efodi on Guide for the Perplexed, Letter to R Joseph son of Judah:2; Efodi on Guide for the Perplexed, Part 1 1:2"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-d4baf625b84e","אומרי","אומרי","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 1, Introduction:7"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-9e15d20b8d98","אופנים","אופנימ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 3 1:1"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-1b1ce4259680","אזנך","אזנכ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:3"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-90ae54a6b9e5","אחריתך","אחריתכ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Letter to R Joseph son of Judah:4"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-18c71ae701f8","אחרת","אחרת","Unresolved","","No lexical entry yet","true","4","Efodi on Guide for the Perplexed, Prefatory Remarks:9; Efodi on Guide for the Perplexed, Part 1, Introduction:6; Efodi on Guide for the Perplexed, Part 2, Introduction:44; Efodi on Guide for the Perplexed, Part 2, Introduction:45"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-94171b6ec8ff","איכותיית","איכותיית","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 2, Introduction:42"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-ff77c5126df9","אילו","אילו","Unresolved","","No lexical entry yet","true","3","Efodi on Guide for the Perplexed, Part 2 1:9; Efodi on Guide for the Perplexed, Part 3, Introduction:3; Efodi on Guide for the Perplexed, Part 3, Introduction:4"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-217a5f27fffa","אלהות","אלהות","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Letter to R Joseph son of Judah:4"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-71020203cf08","אליכם","אליכמ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:2"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-f962778fe292","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 1, Introduction:6"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-3200b55deaf9","אמונים","אמונימ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 1 1:1"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-08b0fabca0da","אמיתות","אמיתות","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Letter to R Joseph son of Judah:2"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-6238b4ef2e72","אמיתיות","אמיתיות","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:42"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-675af6b1f0c9","אמיתיים","אמיתיימ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:41"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-9516a83b2bfc","אמתתו","אמתתו","Unresolved","","No lexical entry yet","true","6","Efodi on Guide for the Perplexed, Part 1, Introduction:9; Efodi on Guide for the Perplexed, Part 1 1:7"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-5272db1504de","אמתתם","אמתתמ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 2, Introduction:39"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-47afbd34ad87","אנה","אנה","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Part 2, Introduction:6"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-f25518f095fd","אסור","אסור","Unresolved","","No lexical entry yet","true","4","Efodi on Guide for the Perplexed, Part 1, Introduction:7; Efodi on Guide for the Perplexed, Part 3, Introduction:2; Efodi on Guide for the Perplexed, Part 3, Introduction:4"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-49244232e98d","אעפ״כ","אעפ״כ","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:12"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-8318931653f5","אפשרות","אפשרות","Unresolved","","No lexical entry yet","true","6","Efodi on Guide for the Perplexed, Part 2, Introduction:9; Efodi on Guide for the Perplexed, Part 2, Introduction:33; Efodi on Guide for the Perplexed, Part 2, Introduction:34; Efodi on Guide for the Perplexed, Part 2 1:9"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-6619e57aac85","אפשריים","אפשריימ","Unresolved","","No lexical entry yet","true","2","Efodi on Guide for the Perplexed, Part 2, Introduction:33; Efodi on Guide for the Perplexed, Part 2 1:9"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-84df4e3f7f0a","אצלי","אצלי","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Letter to R Joseph son of Judah:2"
"efodi-on-guide-for-the-perplexed","Efodi on Guide for the Perplexed","tok-678f8558293c","אקרא","אקרא","Unresolved","","No lexical entry yet","true","1","Efodi on Guide for the Perplexed, Prefatory Remarks:2"
