"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-92deb67123fc","א׳","א׳","Unresolved","","No lexical entry yet","true","11","Etz Yosef on Shemot Rabbah 8:1:3; Etz Yosef on Shemot Rabbah 17:1:10; Etz Yosef on Shemot Rabbah 31:1:9; Etz Yosef on Shemot Rabbah 35:1:8; Etz Yosef on Shemot Rabbah 36:1:2"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-824bd7cae09b","א״א","א״א","Unresolved","","No lexical entry yet","true","3","Etz Yosef on Shemot Rabbah 20:1:28; Etz Yosef on Shemot Rabbah 44:1:8; Etz Yosef on Shemot Rabbah 50:1:2"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-a7bcd98f82a5","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Shemot Rabbah 40:1:4"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-b90c889635d2","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Shemot Rabbah 27:1:9"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-f9dde2644e59","אבא","אבא","Unresolved","","No lexical entry yet","true","3","Etz Yosef on Shemot Rabbah 3:1:5; Etz Yosef on Shemot Rabbah 3:1:6; Etz Yosef on Shemot Rabbah 13:1:6"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-8103fd6ef2f8","אבדו","אבדו","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Shemot Rabbah 35:1:3; Etz Yosef on Shemot Rabbah 42:1:17"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-8bb7315c3150","אבדתם","אבדתמ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Shemot Rabbah 42:1:17"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-6e04681aa325","אבהו","אבהו","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Shemot Rabbah 35:1:7"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-6852ee73601d","אבוד","אבוד","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Shemot Rabbah 10:1:8"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-cecd83733c7c","אבודן","אבודנ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Shemot Rabbah 12:1:2"
"etz-yosef-on-shemot-rabbah","Etz Yosef on Shemot Rabbah","tok-6e72cf1a136a","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Shemot Rabbah 3:1:6"
