"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-0acf0ddfd70f","א׳","א׳","Unresolved","","No lexical entry yet","true","4","Etz Yosef on Vayikra Rabbah 9:1:7; Etz Yosef on Vayikra Rabbah 29:1:6; Etz Yosef on Vayikra Rabbah 30:1:21; Etz Yosef on Vayikra Rabbah 35:1:5"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-29f8a2f24e45","א״א","א״א","Unresolved","","No lexical entry yet","true","5","Etz Yosef on Vayikra Rabbah 9:1:10; Etz Yosef on Vayikra Rabbah 9:1:11; Etz Yosef on Vayikra Rabbah 10:1:3; Etz Yosef on Vayikra Rabbah 15:1:13; Etz Yosef on Vayikra Rabbah 34:1:6"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-f81712c436aa","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 20:1:7"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-f36bb7e728b6","א״נ","א״נ","Unresolved","","No lexical entry yet","true","3","Etz Yosef on Vayikra Rabbah 12:1:53; Etz Yosef on Vayikra Rabbah 12:1:56; Etz Yosef on Vayikra Rabbah 34:1:5"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-64765f62af7e","אאחור","אאחור","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 14:1:1"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-f4d2f84bea67","אבא","אבא","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 18:1:60; Etz Yosef on Vayikra Rabbah 36:1:6"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-a81b1b7bedd0","אבהון","אבהונ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 1:1:8"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-3f453213bb14","אבוי","אבוי","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 12:1:36"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-00e1b8197caa","אבוס","אבוס","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 4:1:22"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-999fafc08736","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 7:1:14"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-e5de67f31714","אבותיכם","אבותיכמ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 7:1:4"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-74678e7700ac","אבי","אבי","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 17:1:7"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-9af443aaa215","אביאסף","אביאספ","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 17:1:7; Etz Yosef on Vayikra Rabbah 17:1:8"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-0c66bc80d07e","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 20:1:3"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-4ab12dc3f740","אביונה","אביונה","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 18:1:40"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-340abb95cc1c","אבערטהייל","אבערטהייל","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 18:1:17"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-09b2e2e06bb2","אבקת","אבקת","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 30:1:26"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-1d0dd712eff0","אגב","אגב","Unresolved","","No lexical entry yet","true","4","Etz Yosef on Vayikra Rabbah 15:1:7; Etz Yosef on Vayikra Rabbah 18:1:1; Etz Yosef on Vayikra Rabbah 18:1:34; Etz Yosef on Vayikra Rabbah 37:1:1"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-48dd8c239d25","אגדות","אגדות","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 22:1:11; Etz Yosef on Vayikra Rabbah 22:1:14"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-9b07b68c375b","אד״מ","אד״מ","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 11:1:3; Etz Yosef on Vayikra Rabbah 29:1:8"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-67a0b064a752","אדה״ר","אדה״ר","Unresolved","","No lexical entry yet","true","3","Etz Yosef on Vayikra Rabbah 14:1:16; Etz Yosef on Vayikra Rabbah 14:1:18; Etz Yosef on Vayikra Rabbah 15:1:9"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-e5d9dcb0789c","אדומות","אדומות","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 12:1:47"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-4c9829f4d849","אדמוני","אדמוני","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 20:1:11"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-d460d053ee3d","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 13:1:6"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-66ab8bc7bf1d","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 7:1:8"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-3c4dc6eebd8e","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","3","Etz Yosef on Vayikra Rabbah 16:1:24; Etz Yosef on Vayikra Rabbah 35:1:2; Etz Yosef on Vayikra Rabbah 35:1:5"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-b478381a71fd","אדריאנוס","אדריאנוס","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 18:1:39"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-0d3833349686","אדרכיה","אדרכיה","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 12:1:51"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-e05c3f499d0c","אדרעך","אדרעכ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 18:1:21"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-55e7e89f866a","אהא","אהא","Unresolved","","No lexical entry yet","true","3","Etz Yosef on Vayikra Rabbah 12:1:45; Etz Yosef on Vayikra Rabbah 16:1:1; Etz Yosef on Vayikra Rabbah 37:1:13"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-740f1d0f95d2","אהאי","אהאי","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 19:1:1"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-59a0073891d1","אהב","אהב","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 22:1:6"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-4a9dfc28898c","אהדדי","אהדדי","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 12:1:1"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-b3b40c0e49a0","או״ה","או״ה","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 17:1:23; Etz Yosef on Vayikra Rabbah 35:1:4"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-cbc6753e4d2b","אודיעם","אודיעמ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 24:1:3"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-54485b5216cf","אודניא","אודניא","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 18:1:47"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-3a128f8a92ca","אוהב","אוהב","Unresolved","","No lexical entry yet","true","7","Etz Yosef on Vayikra Rabbah 2:1:14; Etz Yosef on Vayikra Rabbah 22:1:6; Etz Yosef on Vayikra Rabbah 22:1:18; Etz Yosef on Vayikra Rabbah 22:1:20; Etz Yosef on Vayikra Rabbah 35:1:2"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-c72de16c3e57","אויבי","אויבי","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 34:1:5"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-ee95adcfea0b","אויבתי","אויבתי","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 32:1:4"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-e5d9402e2b98","אויל","אויל","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 16:1:14"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-59d4ee6dea40","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 4:1:24; Etz Yosef on Vayikra Rabbah 16:1:43"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-e27c5fef17c4","אולי","אולי","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 7:1:8; Etz Yosef on Vayikra Rabbah 18:1:30"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-678011eb1d8c","אולם","אולמ","Unresolved","","No lexical entry yet","true","5","Etz Yosef on Vayikra Rabbah 17:1:18; Etz Yosef on Vayikra Rabbah 17:1:20; Etz Yosef on Vayikra Rabbah 17:1:21; Etz Yosef on Vayikra Rabbah 17:1:22"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-8a87daa146ba","אולפן","אולפנ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 3:1:9"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-2ffc1b79fe02","אולקחתם","אולקחתמ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 30:1:27"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-8f3957e44106","אומ״ה","אומ״ה","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 30:1:2"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-90b4cfd6d056","אומרו","אומרו","Unresolved","","No lexical entry yet","true","4","Etz Yosef on Vayikra Rabbah 5:1:2; Etz Yosef on Vayikra Rabbah 5:1:3; Etz Yosef on Vayikra Rabbah 32:1:8"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-d6c61fb402c1","אונן","אוננ","Unresolved","","No lexical entry yet","true","2","Etz Yosef on Vayikra Rabbah 13:1:14"
"etz-yosef-on-vayikra-rabbah","Etz Yosef on Vayikra Rabbah","tok-6a5fd122e1ee","אוצרך","אוצרכ","Unresolved","","No lexical entry yet","true","1","Etz Yosef on Vayikra Rabbah 27:1:23"
