"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-41ac782947a2","א׳","א׳","Unresolved","","No lexical entry yet","true","30","Even Ha'azel on Mishneh Torah, Divorce 1:14:1; Even Ha'azel on Mishneh Torah, Divorce 3:15:1; Even Ha'azel on Mishneh Torah, Divorce 6:4:1; Even Ha'azel on Mishneh Torah, Divorce 6:5:1; Even Ha'azel on Mishneh Torah, Divorce 6:20:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-4f182d3f971f","א״א","א״א","Unresolved","","No lexical entry yet","true","32","Even Ha'azel on Mishneh Torah, Divorce 1:1:1; Even Ha'azel on Mishneh Torah, Divorce 1:6:1; Even Ha'azel on Mishneh Torah, Divorce 1:9:1; Even Ha'azel on Mishneh Torah, Divorce 1:14:1; Even Ha'azel on Mishneh Torah, Divorce 3:15:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-119751d76d07","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Divorce 1:1:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-f40759e3ad8d","א״י","א״י","Unresolved","","No lexical entry yet","true","7","Even Ha'azel on Mishneh Torah, Divorce 1:1:1; Even Ha'azel on Mishneh Torah, Divorce 6:9:1; Even Ha'azel on Mishneh Torah, Divorce 6:16:1; Even Ha'azel on Mishneh Torah, Divorce 7:10:1; Even Ha'azel on Mishneh Torah, Divorce 7:18:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-e4eec23e7c54","א״ל","א״ל","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Divorce 7:12:1; Even Ha'azel on Mishneh Torah, Divorce 8:5:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-5fe6a6eaff8d","א״צ","א״צ","Unresolved","","No lexical entry yet","true","23","Even Ha'azel on Mishneh Torah, Divorce 1:9:1; Even Ha'azel on Mishneh Torah, Divorce 3:16:1; Even Ha'azel on Mishneh Torah, Divorce 4:18:1; Even Ha'azel on Mishneh Torah, Divorce 6:4:1; Even Ha'azel on Mishneh Torah, Divorce 6:5:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-c3618e0ff763","א״ר","א״ר","Unresolved","","No lexical entry yet","true","5","Even Ha'azel on Mishneh Torah, Divorce 6:4:1; Even Ha'azel on Mishneh Torah, Divorce 6:5:1; Even Ha'azel on Mishneh Torah, Divorce 12:5:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-b560c46d44e1","א״ש","א״ש","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Divorce 8:5:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-a65285fbc027","א״ת","א״ת","Unresolved","","No lexical entry yet","true","3","Even Ha'azel on Mishneh Torah, Divorce 8:13:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-54a477250986","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","7","Even Ha'azel on Mishneh Torah, Divorce 1:6:1; Even Ha'azel on Mishneh Torah, Divorce 1:14:1; Even Ha'azel on Mishneh Torah, Divorce 7:13:1; Even Ha'azel on Mishneh Torah, Divorce 11:12:1; Even Ha'azel on Mishneh Torah, Divorce 11:13:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-84a16ae1d138","אבא","אבא","Unresolved","","No lexical entry yet","true","5","Even Ha'azel on Mishneh Torah, Divorce 1:26:1; Even Ha'azel on Mishneh Torah, Divorce 7:13:1; Even Ha'azel on Mishneh Torah, Divorce 8:5:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-341f7db7bf6f","אבד","אבד","Unresolved","","No lexical entry yet","true","12","Even Ha'azel on Mishneh Torah, Divorce 1:26:1; Even Ha'azel on Mishneh Torah, Divorce 3:11:2; Even Ha'azel on Mishneh Torah, Divorce 7:2:1; Even Ha'azel on Mishneh Torah, Divorce 7:24:1; Even Ha'azel on Mishneh Torah, Divorce 12:5:1"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-6c93558cd702","אבדת","אבדת","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Divorce 3:11:2"
"even-haazel-on-mishneh-torah-divorce","Even Ha'azel on Mishneh Torah, Divorce","tok-174fb840c6c7","אבדתו","אבדתו","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Divorce 3:11:2"
