"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-8b2c340a9528","א׳","א׳","Unresolved","","No lexical entry yet","true","49","Even Ha'azel on Mishneh Torah, Marriage 3:3:1; Even Ha'azel on Mishneh Torah, Marriage 3:3:2; Even Ha'azel on Mishneh Torah, Marriage 3:7:1; Even Ha'azel on Mishneh Torah, Marriage 3:8:1; Even Ha'azel on Mishneh Torah, Marriage 3:10:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-3b982cdf60ae","א״א","א״א","Unresolved","","No lexical entry yet","true","82","Even Ha'azel on Mishneh Torah, Marriage 1:1:1; Even Ha'azel on Mishneh Torah, Marriage 2:2:1; Even Ha'azel on Mishneh Torah, Marriage 3:1:1; Even Ha'azel on Mishneh Torah, Marriage 3:2:1; Even Ha'azel on Mishneh Torah, Marriage 3:3:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-c952c2c060c7","א״ב","א״ב","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Marriage 4:16:1; Even Ha'azel on Mishneh Torah, Marriage 4:17:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-a97a8490295e","א״ז","א״ז","Unresolved","","No lexical entry yet","true","6","Even Ha'azel on Mishneh Torah, Marriage 6:1:1; Even Ha'azel on Mishneh Torah, Marriage 6:2:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-04c65e7912da","א״י","א״י","Unresolved","","No lexical entry yet","true","32","Even Ha'azel on Mishneh Torah, Marriage 4:16:1; Even Ha'azel on Mishneh Torah, Marriage 4:17:1; Even Ha'azel on Mishneh Torah, Marriage 5:1:1; Even Ha'azel on Mishneh Torah, Marriage 5:21:1; Even Ha'azel on Mishneh Torah, Marriage 5:22:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-fa6397cf2f7c","א״ל","א״ל","Unresolved","","No lexical entry yet","true","5","Even Ha'azel on Mishneh Torah, Marriage 5:15:1; Even Ha'azel on Mishneh Torah, Marriage 5:24:1; Even Ha'azel on Mishneh Torah, Marriage 18:6:1; Even Ha'azel on Mishneh Torah, Marriage 20:13:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-747ebbd45f75","א״מ","א״מ","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Marriage 5:7:1; Even Ha'azel on Mishneh Torah, Marriage 5:8:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-7152d7c00254","א״נ","א״נ","Unresolved","","No lexical entry yet","true","41","Even Ha'azel on Mishneh Torah, Marriage 3:7:1; Even Ha'azel on Mishneh Torah, Marriage 3:8:1; Even Ha'azel on Mishneh Torah, Marriage 5:7:1; Even Ha'azel on Mishneh Torah, Marriage 5:8:1; Even Ha'azel on Mishneh Torah, Marriage 5:10:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-7187766911bf","א״ע","א״ע","Unresolved","","No lexical entry yet","true","8","Even Ha'azel on Mishneh Torah, Marriage 3:6:1; Even Ha'azel on Mishneh Torah, Marriage 11:14:1; Even Ha'azel on Mishneh Torah, Marriage 12:18:1; Even Ha'azel on Mishneh Torah, Marriage 12:20:1; Even Ha'azel on Mishneh Torah, Marriage 16:5:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-bb2e92bf1148","א״צ","א״צ","Unresolved","","No lexical entry yet","true","63","Even Ha'azel on Mishneh Torah, Marriage 3:1:1; Even Ha'azel on Mishneh Torah, Marriage 3:1:5; Even Ha'azel on Mishneh Torah, Marriage 3:3:1; Even Ha'azel on Mishneh Torah, Marriage 3:7:1; Even Ha'azel on Mishneh Torah, Marriage 3:8:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-0112c3953b7d","א״ר","א״ר","Unresolved","","No lexical entry yet","true","6","Even Ha'azel on Mishneh Torah, Marriage 1:1:1; Even Ha'azel on Mishneh Torah, Marriage 5:1:1; Even Ha'azel on Mishneh Torah, Marriage 5:7:1; Even Ha'azel on Mishneh Torah, Marriage 5:8:1; Even Ha'azel on Mishneh Torah, Marriage 11:14:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-dd5af010575a","א״ש","א״ש","Unresolved","","No lexical entry yet","true","16","Even Ha'azel on Mishneh Torah, Marriage 3:1:1; Even Ha'azel on Mishneh Torah, Marriage 3:2:1; Even Ha'azel on Mishneh Torah, Marriage 3:3:1; Even Ha'azel on Mishneh Torah, Marriage 3:15:1; Even Ha'azel on Mishneh Torah, Marriage 5:11:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-9a64c6c3a9de","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","5","Even Ha'azel on Mishneh Torah, Marriage 3:15:1; Even Ha'azel on Mishneh Torah, Marriage 5:3:1; Even Ha'azel on Mishneh Torah, Marriage 16:5:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-ed1b2b2ed412","אאט״ב","אאט״ב","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Marriage 10:15:1; Even Ha'azel on Mishneh Torah, Marriage 11:14:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-3a9839c25f40","אאעבב״ז","אאעבב״ז","Unresolved","","No lexical entry yet","true","18","Even Ha'azel on Mishneh Torah, Marriage 6:1:1; Even Ha'azel on Mishneh Torah, Marriage 6:2:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-bb925b2ce17a","אבא","אבא","Unresolved","","No lexical entry yet","true","21","Even Ha'azel on Mishneh Torah, Marriage 3:7:1; Even Ha'azel on Mishneh Torah, Marriage 3:8:1; Even Ha'azel on Mishneh Torah, Marriage 4:16:1; Even Ha'azel on Mishneh Torah, Marriage 4:17:1; Even Ha'azel on Mishneh Torah, Marriage 5:15:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-62aed900ef25","אבד","אבד","Unresolved","","No lexical entry yet","true","4","Even Ha'azel on Mishneh Torah, Marriage 3:7:1; Even Ha'azel on Mishneh Torah, Marriage 3:8:1; Even Ha'azel on Mishneh Torah, Marriage 10:15:1; Even Ha'azel on Mishneh Torah, Marriage 11:14:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-6a7f318df84f","אבודות","אבודות","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Marriage 16:25:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-409f0013cbf9","אבי׳","אבי׳","Unresolved","","No lexical entry yet","true","11","Even Ha'azel on Mishneh Torah, Marriage 5:21:1; Even Ha'azel on Mishneh Torah, Marriage 5:22:1; Even Ha'azel on Mishneh Torah, Marriage 6:1:1; Even Ha'azel on Mishneh Torah, Marriage 6:2:1; Even Ha'azel on Mishneh Torah, Marriage 10:2:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-5703d381cd4a","אביגדור","אביגדור","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Marriage 5:24:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-bb0fe3b9c461","אביה","אביה","Unresolved","","No lexical entry yet","true","10","Even Ha'azel on Mishneh Torah, Marriage 2:2:1; Even Ha'azel on Mishneh Torah, Marriage 3:2:1; Even Ha'azel on Mishneh Torah, Marriage 6:1:1; Even Ha'azel on Mishneh Torah, Marriage 6:2:1; Even Ha'azel on Mishneh Torah, Marriage 11:14:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-84f66d232659","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","13","Even Ha'azel on Mishneh Torah, Marriage 6:10:1; Even Ha'azel on Mishneh Torah, Marriage 11:8:1; Even Ha'azel on Mishneh Torah, Marriage 12:18:1; Even Ha'azel on Mishneh Torah, Marriage 12:19:1; Even Ha'azel on Mishneh Torah, Marriage 16:5:1"
"even-haazel-on-mishneh-torah-marriage","Even Ha'azel on Mishneh Torah, Marriage","tok-21c5a4b85bb7","אביהן","אביהנ","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Marriage 16:5:1"
