"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-1068ad84594e","א׳","א׳","Unresolved","","No lexical entry yet","true","12","Even Ha'azel on Mishneh Torah, Mourning 1:1:2; Even Ha'azel on Mishneh Torah, Mourning 1:2:1; Even Ha'azel on Mishneh Torah, Mourning 5:2:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-eb2d998a21f2","א״א","א״א","Unresolved","","No lexical entry yet","true","10","Even Ha'azel on Mishneh Torah, Mourning 1:1:2; Even Ha'azel on Mishneh Torah, Mourning 1:2:1; Even Ha'azel on Mishneh Torah, Mourning 3:6:1; Even Ha'azel on Mishneh Torah, Mourning 3:7:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-12b146002dca","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Mourning 14:20:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-e920362bfc62","א״ר","א״ר","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Mourning 3:6:1; Even Ha'azel on Mishneh Torah, Mourning 3:7:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-56807bcb89d0","א״ש","א״ש","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Mourning 3:6:1; Even Ha'azel on Mishneh Torah, Mourning 3:7:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-865b4ce38739","אאביי","אאביי","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Mourning 14:20:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-67435378a2fc","אאריך","אאריכ","Unresolved","","No lexical entry yet","true","1","Even Ha'azel on Mishneh Torah, Mourning 14:20:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-729c3da45ae0","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Mourning 1:1:2; Even Ha'azel on Mishneh Torah, Mourning 1:2:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-5a889a3214ba","אביו","אביו","Unresolved","","No lexical entry yet","true","32","Even Ha'azel on Mishneh Torah, Mourning 14:20:1"
"even-haazel-on-mishneh-torah-mourning","Even Ha'azel on Mishneh Torah, Mourning","tok-827136f4bb74","אביי","אביי","Unresolved","","No lexical entry yet","true","2","Even Ha'azel on Mishneh Torah, Mourning 14:20:1"
