"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"exodus","Exodus","tok-9201f6cdf5a3","אָבָ֖ה","אבה","Unresolved","","No lexical entry yet","true","1","Exodus 10:27"
"exodus","Exodus","tok-6d93babc796a","אָב֥וֹא","אבוא","Unresolved","","No lexical entry yet","true","1","Exodus 20:21"
"exodus","Exodus","tok-fe377e4aca40","אֲבוֹתֵיכֶ֖ם","אבותיכמ","Unresolved","","No lexical entry yet","true","1","Exodus 3:13"
"exodus","Exodus","tok-874863e44cea","אָבִ֖י","אבי","Unresolved","","No lexical entry yet","true","1","Exodus 15:2"
"exodus","Exodus","tok-9f609f0c73d2","אָבִי֙","אבי","Unresolved","","No lexical entry yet","true","1","Exodus 18:4"
"exodus","Exodus","tok-defaa42aa912","אָבִ֤יא","אביא","Unresolved","","No lexical entry yet","true","1","Exodus 11:1"
"exodus","Exodus","tok-b25ca441fddc","אָבִ֔יב","אביב","Unresolved","","No lexical entry yet","true","1","Exodus 9:31"
"exodus","Exodus","tok-db75e48e9978","אָבִ֖יהָ","אביה","Unresolved","","No lexical entry yet","true","1","Exodus 22:16"
"exodus","Exodus","tok-36ff078ff917","אֲבִיהֶ֑ן","אביהנ","Unresolved","","No lexical entry yet","true","1","Exodus 2:18"
"exodus","Exodus","tok-3466b5837064","אֲבִיהֶֽן׃","אביהנ׃","Unresolved","","No lexical entry yet","true","1","Exodus 2:16"
"exodus","Exodus","tok-b36c4d95836a","אָבִ֛יו","אביו","Unresolved","","No lexical entry yet","true","2","Exodus 21:15; Exodus 21:17"
"exodus","Exodus","tok-fc7fc86d0ef1","אָבִ֔יךָ","אביכ","Unresolved","","No lexical entry yet","true","1","Exodus 3:6"
"exodus","Exodus","tok-4ccba100edf4","אֶבְיֹנֵ֣י","אביני","Unresolved","","No lexical entry yet","true","1","Exodus 23:11"
"exodus","Exodus","tok-dbd2fe9ce940","אֶבְיֹנְךָ֖","אבינכ","Unresolved","","No lexical entry yet","true","1","Exodus 23:6"
"exodus","Exodus","tok-c0b031649d71","אַבְנֵ֜ט","אבנט","Unresolved","","No lexical entry yet","true","1","Exodus 29:9"
"exodus","Exodus","tok-15e38c799ea5","אַבְנֵטִ֑ים","אבנטימ","Unresolved","","No lexical entry yet","true","1","Exodus 28:40"
"exodus","Exodus","tok-00773234fdd3","אַבְנֵי־שֹׁ֕הַם","אבני־שהמ","Unresolved","","No lexical entry yet","true","1","Exodus 25:7"
"exodus","Exodus","tok-1630c72b1587","אַבְנֵי־שֹׁ֑הַם","אבני־שהמ","Unresolved","","No lexical entry yet","true","1","Exodus 28:9"
"exodus","Exodus","tok-0bef53d4b38f","אֲבָנִֽים׃","אבנימ׃","Unresolved","","No lexical entry yet","true","1","Exodus 34:4"
"exodus","Exodus","tok-a09d0577919a","אֲבַעְבֻּעֹ֖ת","אבעבעת","Unresolved","","No lexical entry yet","true","1","Exodus 9:9"
"exodus","Exodus","tok-5f770daa8715","אֲבַעְבֻּעֹ֔ת","אבעבעת","Unresolved","","No lexical entry yet","true","1","Exodus 9:10"
"exodus","Exodus","tok-530381e2ac85","אָבֹ֧ת","אבת","Unresolved","","No lexical entry yet","true","1","Exodus 20:5"
"exodus","Exodus","tok-186d4bf9d6e8","אֲבֹתֶ֙יךָ֙","אבתיכ","Unresolved","","No lexical entry yet","true","1","Exodus 10:6"
"exodus","Exodus","tok-1af48bb6b1a7","אֲבֹתֶ֔יךָ","אבתיכ","Unresolved","","No lexical entry yet","true","1","Exodus 10:6"
