"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-59525525fc42","א׳","א׳","Unresolved","","No lexical entry yet","true","65","HaEmunot veHaDeot, Introduction 2:3; HaEmunot veHaDeot, Introduction 2:4; HaEmunot veHaDeot, Introduction 3:1; HaEmunot veHaDeot, Introduction 5:2; HaEmunot veHaDeot, Introduction 5:3"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-85473da8e8bb","א״א","א״א","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise II] The Unity of the Creator, Introduction:3"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-d21b7957349d","אאמין","אאמינ","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise II] The Unity of the Creator, Introduction:3"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-b465ad02f83c","אבא","אבא","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise VIII] Messianic Redemption 6:1"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-34e6678dcdb0","אבאר","אבאר","Unresolved","","No lexical entry yet","true","4","HaEmunot veHaDeot, [Treatise VI] The Soul and Death 2:1; HaEmunot veHaDeot, [Treatise VI] The Soul and Death 4:1; HaEmunot veHaDeot, [Treatise VI] The Soul and Death 5:1; HaEmunot veHaDeot, [Treatise VI] The Soul and Death 7:1"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-7434ed43e6a1","אבדו","אבדו","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise VII] The Resurrection of the Dead 3:1"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-d85c58f630fd","אבדון","אבדונ","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise IX] The World to Come 8:2"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-29869c940bfd","אבדם","אבדמ","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise V] Merit and Demerit 2:1"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-1e090186518b","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise VI] The Soul and Death 5:1"
"haemunot-vehadeot","HaEmunot veHaDeot","tok-ac91c5db6090","אבותיכם","אבותיכמ","Unresolved","","No lexical entry yet","true","1","HaEmunot veHaDeot, [Treatise VIII] Messianic Redemption 5:2"
