"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-86a7ad100967","א׳","א׳","Unresolved","","No lexical entry yet","true","24","Haggahot Chadashot on Sefer Mitzvot Katan 1:1; Haggahot Chadashot on Sefer Mitzvot Katan 3:1; Haggahot Chadashot on Sefer Mitzvot Katan 57:18; Haggahot Chadashot on Sefer Mitzvot Katan 61:1; Haggahot Chadashot on Sefer Mitzvot Katan 81:52"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-31181a3809e2","א״א","א״א","Unresolved","","No lexical entry yet","true","12","Haggahot Chadashot on Sefer Mitzvot Katan 81:76; Haggahot Chadashot on Sefer Mitzvot Katan 81:141; Haggahot Chadashot on Sefer Mitzvot Katan 89:3; Haggahot Chadashot on Sefer Mitzvot Katan 89:26; Haggahot Chadashot on Sefer Mitzvot Katan 89:36"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-8a76e46b98f7","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 184:9"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-17c878984024","א״ח","א״ח","Unresolved","","No lexical entry yet","true","3","Haggahot Chadashot on Sefer Mitzvot Katan 57:16; Haggahot Chadashot on Sefer Mitzvot Katan 194:6; Haggahot Chadashot on Sefer Mitzvot Katan 194:12"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-6508defc0b75","א״י","א״י","Unresolved","","No lexical entry yet","true","4","Haggahot Chadashot on Sefer Mitzvot Katan 89:134; Haggahot Chadashot on Sefer Mitzvot Katan 92:10; Haggahot Chadashot on Sefer Mitzvot Katan 184:9"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-a2c575429b1b","א״ל","א״ל","Unresolved","","No lexical entry yet","true","2","Haggahot Chadashot on Sefer Mitzvot Katan 57:16"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-e9e64ec12f2a","א״ס","א״ס","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 89:95"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-b2603491ae5b","א״ע","א״ע","Unresolved","","No lexical entry yet","true","26","Haggahot Chadashot on Sefer Mitzvot Katan 3:2; Haggahot Chadashot on Sefer Mitzvot Katan 3:3; Haggahot Chadashot on Sefer Mitzvot Katan 3:6; Haggahot Chadashot on Sefer Mitzvot Katan 33:2; Haggahot Chadashot on Sefer Mitzvot Katan 48:1"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-3d43b9e732d0","א״צ","א״צ","Unresolved","","No lexical entry yet","true","9","Haggahot Chadashot on Sefer Mitzvot Katan 81:6; Haggahot Chadashot on Sefer Mitzvot Katan 82:10; Haggahot Chadashot on Sefer Mitzvot Katan 89:40; Haggahot Chadashot on Sefer Mitzvot Katan 89:95; Haggahot Chadashot on Sefer Mitzvot Katan 89:133"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-87247c7ec016","א״ש","א״ש","Unresolved","","No lexical entry yet","true","2","Haggahot Chadashot on Sefer Mitzvot Katan 89:4; Haggahot Chadashot on Sefer Mitzvot Katan 93:34"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-e4971a2f1565","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 93:15"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-0bbb5dab95cb","אאין","אאינ","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 93:26"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-d9d17d394c49","אאם","אאמ","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 92:37"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-e8f2468741e1","אארעא","אארעא","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 81:30"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-9dade4db5848","אבא","אבא","Unresolved","","No lexical entry yet","true","20","Haggahot Chadashot on Sefer Mitzvot Katan 57:16; Haggahot Chadashot on Sefer Mitzvot Katan 89:156; Haggahot Chadashot on Sefer Mitzvot Katan 92:10"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-a6228c9eec98","אבאר","אבאר","Unresolved","","No lexical entry yet","true","2","Haggahot Chadashot on Sefer Mitzvot Katan 89:96; Haggahot Chadashot on Sefer Mitzvot Katan 184:9"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-660b79a8c1db","אבד","אבד","Unresolved","","No lexical entry yet","true","3","Haggahot Chadashot on Sefer Mitzvot Katan 67:3; Haggahot Chadashot on Sefer Mitzvot Katan 184:6; Haggahot Chadashot on Sefer Mitzvot Katan 184:9"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-9dee51944ccf","אבדתו","אבדתו","Unresolved","","No lexical entry yet","true","1","Haggahot Chadashot on Sefer Mitzvot Katan 81:83"
"haggahot-chadashot-on-sefer-mitzvot-katan","Haggahot Chadashot on Sefer Mitzvot Katan","tok-673b0ed62322","אבהו","אבהו","Unresolved","","No lexical entry yet","true","21","Haggahot Chadashot on Sefer Mitzvot Katan 92:9; Haggahot Chadashot on Sefer Mitzvot Katan 92:10; Haggahot Chadashot on Sefer Mitzvot Katan 92:11; Haggahot Chadashot on Sefer Mitzvot Katan 92:12; Haggahot Chadashot on Sefer Mitzvot Katan 92:13"
