"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"halakhot-gedolot","Halakhot Gedolot","tok-603bee3d5ea7","א׳","א׳","Unresolved","","No lexical entry yet","true","9","Halakhot Gedolot 2:6; Halakhot Gedolot 10:19; Halakhot Gedolot 15:5; Halakhot Gedolot 29:1; Halakhot Gedolot 32:4"
"halakhot-gedolot","Halakhot Gedolot","tok-a863c4c88e18","א״א","א״א","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 41:3; Halakhot Gedolot 47:3"
"halakhot-gedolot","Halakhot Gedolot","tok-d863bf8432a0","א״ד","א״ד","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 41:3; Halakhot Gedolot 46:4"
"halakhot-gedolot","Halakhot Gedolot","tok-411c69a24f65","א״ו","א״ו","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 29:20"
"halakhot-gedolot","Halakhot Gedolot","tok-e69c81f8182d","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 36:4"
"halakhot-gedolot","Halakhot Gedolot","tok-decb6b0dd331","א״ל","א״ל","Unresolved","","No lexical entry yet","true","529","Halakhot Gedolot 1:9; Halakhot Gedolot 1:14; Halakhot Gedolot 1:22; Halakhot Gedolot 1:25; Halakhot Gedolot 1:28"
"halakhot-gedolot","Halakhot Gedolot","tok-702b3e480aec","א״מ","א״מ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 18:16"
"halakhot-gedolot","Halakhot Gedolot","tok-b795abd72b19","א״נ","א״נ","Unresolved","","No lexical entry yet","true","5","Halakhot Gedolot 1:119; Halakhot Gedolot 4:1; Halakhot Gedolot 29:8; Halakhot Gedolot 47:5; Halakhot Gedolot 63:1"
"halakhot-gedolot","Halakhot Gedolot","tok-0dd5ba22701a","א״צ","א״צ","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 11:3; Halakhot Gedolot 41:3"
"halakhot-gedolot","Halakhot Gedolot","tok-fec8d1ef1fdf","א״ק","א״ק","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 8:22"
"halakhot-gedolot","Halakhot Gedolot","tok-d121471c387c","א״ר","א״ר","Unresolved","","No lexical entry yet","true","449","Halakhot Gedolot, Introduction:2; Halakhot Gedolot 1:5; Halakhot Gedolot 1:12; Halakhot Gedolot 1:16; Halakhot Gedolot 1:19"
"halakhot-gedolot","Halakhot Gedolot","tok-fdf51cdc7dc6","א״ש","א״ש","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 61:6"
"halakhot-gedolot","Halakhot Gedolot","tok-a63833fa98c3","א״ת","א״ת","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 59:2"
"halakhot-gedolot","Halakhot Gedolot","tok-f5f5f3de728f","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 51:16"
"halakhot-gedolot","Halakhot Gedolot","tok-07e1dfa07795","אאוגרייהו","אאוגרייהו","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 51:11"
"halakhot-gedolot","Halakhot Gedolot","tok-4399f6d33f8d","אאיגרא","אאיגרא","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 55:7; Halakhot Gedolot 61:4"
"halakhot-gedolot","Halakhot Gedolot","tok-8a0bc3230706","אאין","אאינ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 16:1"
"halakhot-gedolot","Halakhot Gedolot","tok-531d49347c0b","אאישות","אאישות","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 32:13"
"halakhot-gedolot","Halakhot Gedolot","tok-b9fefd0dae6e","אאיתתא","אאיתתא","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 49:5"
"halakhot-gedolot","Halakhot Gedolot","tok-c2278b18edb6","אאכסדרה","אאכסדרה","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 10:13"
"halakhot-gedolot","Halakhot Gedolot","tok-c5ac804db4e7","אארעא","אארעא","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 52:10"
"halakhot-gedolot","Halakhot Gedolot","tok-4011cf991638","אבא","אבא","Unresolved","","No lexical entry yet","true","269","Halakhot Gedolot 1:5; Halakhot Gedolot 1:8; Halakhot Gedolot 1:13; Halakhot Gedolot 1:14; Halakhot Gedolot 1:24"
"halakhot-gedolot","Halakhot Gedolot","tok-3aff751b481d","אבבא","אבבא","Unresolved","","No lexical entry yet","true","5","Halakhot Gedolot 22:7; Halakhot Gedolot 40:6; Halakhot Gedolot 43:14; Halakhot Gedolot 45:16"
"halakhot-gedolot","Halakhot Gedolot","tok-c818f96d1b61","אבגא","אבגא","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 32:14"
"halakhot-gedolot","Halakhot Gedolot","tok-4cdaab799116","אבד","אבד","Unresolved","","No lexical entry yet","true","10","Halakhot Gedolot 15:9; Halakhot Gedolot 35:1; Halakhot Gedolot 39:8; Halakhot Gedolot 49:3; Halakhot Gedolot 49:7"
"halakhot-gedolot","Halakhot Gedolot","tok-1b913534a408","אבדו","אבדו","Unresolved","","No lexical entry yet","true","15","Halakhot Gedolot 10:4; Halakhot Gedolot 17:1; Halakhot Gedolot 44:3; Halakhot Gedolot 44:5; Halakhot Gedolot 44:10"
"halakhot-gedolot","Halakhot Gedolot","tok-b1ca55e30e32","אבדיל","אבדיל","Unresolved","","No lexical entry yet","true","5","Halakhot Gedolot 2:5; Halakhot Gedolot 7:49"
"halakhot-gedolot","Halakhot Gedolot","tok-d1fa6107b0cf","אבדימי","אבדימי","Unresolved","","No lexical entry yet","true","8","Halakhot Gedolot, Introduction:10; Halakhot Gedolot 21:15; Halakhot Gedolot 29:6; Halakhot Gedolot 41:1; Halakhot Gedolot 70:4"
"halakhot-gedolot","Halakhot Gedolot","tok-65f9b8de2194","אבדין","אבדינ","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 40:6"
"halakhot-gedolot","Halakhot Gedolot","tok-631a99f9f109","אבדת","אבדת","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 44:3; Halakhot Gedolot 44:8"
"halakhot-gedolot","Halakhot Gedolot","tok-b080ed053876","אבהו","אבהו","Unresolved","","No lexical entry yet","true","52","Halakhot Gedolot 1:2; Halakhot Gedolot 1:8; Halakhot Gedolot 1:16; Halakhot Gedolot 1:19; Halakhot Gedolot 1:121"
"halakhot-gedolot","Halakhot Gedolot","tok-56942369dca4","אבהן","אבהנ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 76:1"
"halakhot-gedolot","Halakhot Gedolot","tok-4d80b933f875","אבהתא","אבהתא","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 46:3"
"halakhot-gedolot","Halakhot Gedolot","tok-bf18e171d250","אבהתין","אבהתינ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 46:7"
"halakhot-gedolot","Halakhot Gedolot","tok-94bcb5852119","אבודימי","אבודימי","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 1:77"
"halakhot-gedolot","Halakhot Gedolot","tok-144d540c4e08","אבוה","אבוה","Unresolved","","No lexical entry yet","true","69","Halakhot Gedolot 1:31; Halakhot Gedolot 1:39; Halakhot Gedolot 1:123; Halakhot Gedolot 7:39; Halakhot Gedolot 7:48"
"halakhot-gedolot","Halakhot Gedolot","tok-012093ee6370","אבוהא","אבוהא","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 36:5"
"halakhot-gedolot","Halakhot Gedolot","tok-f8b6dcbfa5f4","אבוהון","אבוהונ","Unresolved","","No lexical entry yet","true","14","Halakhot Gedolot 36:14; Halakhot Gedolot 36:16; Halakhot Gedolot 36:17; Halakhot Gedolot 43:3; Halakhot Gedolot 46:1"
"halakhot-gedolot","Halakhot Gedolot","tok-05e624794f48","אבוהי","אבוהי","Unresolved","","No lexical entry yet","true","6","Halakhot Gedolot 34:1; Halakhot Gedolot 48:2; Halakhot Gedolot 48:3; Halakhot Gedolot 48:4"
"halakhot-gedolot","Halakhot Gedolot","tok-aa2f8c396e12","אבוך","אבוכ","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 1:45; Halakhot Gedolot 12:1"
"halakhot-gedolot","Halakhot Gedolot","tok-368820438bc5","אבולאי","אבולאי","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 41:1"
"halakhot-gedolot","Halakhot Gedolot","tok-814218a45162","אבון","אבונ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 36:20"
"halakhot-gedolot","Halakhot Gedolot","tok-46bf94942ba9","אבונגרי","אבונגרי","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 20:7"
"halakhot-gedolot","Halakhot Gedolot","tok-19cc8d35b9d5","אבוס","אבוס","Unresolved","","No lexical entry yet","true","5","Halakhot Gedolot 7:63; Halakhot Gedolot 57:1"
"halakhot-gedolot","Halakhot Gedolot","tok-fe7a39ddd292","אבורגנין","אבורגנינ","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 10:14"
"halakhot-gedolot","Halakhot Gedolot","tok-bf1d81241244","אבותי","אבותי","Unresolved","","No lexical entry yet","true","11","Halakhot Gedolot 1:136; Halakhot Gedolot 46:3; Halakhot Gedolot 46:5"
"halakhot-gedolot","Halakhot Gedolot","tok-79bafe854775","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 15:16; Halakhot Gedolot 24:1"
"halakhot-gedolot","Halakhot Gedolot","tok-a2f86ecd09d4","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 21:16; Halakhot Gedolot 46:3"
"halakhot-gedolot","Halakhot Gedolot","tok-ec7e27874f70","אבותיכם","אבותיכמ","Unresolved","","No lexical entry yet","true","3","Halakhot Gedolot 23:1; Halakhot Gedolot 70:1; Halakhot Gedolot 71:2"
"halakhot-gedolot","Halakhot Gedolot","tok-45130ccef072","אבי","אבי","Unresolved","","No lexical entry yet","true","40","Halakhot Gedolot 7:33; Halakhot Gedolot 8:19; Halakhot Gedolot 28:4; Halakhot Gedolot 28:7; Halakhot Gedolot 28:10"
"halakhot-gedolot","Halakhot Gedolot","tok-db31e9d22e71","אביא","אביא","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 52:1; Halakhot Gedolot 72:1"
"halakhot-gedolot","Halakhot Gedolot","tok-8df7d9b106c1","אביגיל","אביגיל","Unresolved","","No lexical entry yet","true","2","Halakhot Gedolot 76:4"
"halakhot-gedolot","Halakhot Gedolot","tok-5d62b4f58526","אבידה","אבידה","Unresolved","","No lexical entry yet","true","28","Halakhot Gedolot, Introduction:10; Halakhot Gedolot 43:3; Halakhot Gedolot 43:13; Halakhot Gedolot 43:15; Halakhot Gedolot 44:3"
"halakhot-gedolot","Halakhot Gedolot","tok-30b6216d5620","אבידת","אבידת","Unresolved","","No lexical entry yet","true","4","Halakhot Gedolot 43:14; Halakhot Gedolot 44:3; Halakhot Gedolot 55:7"
"halakhot-gedolot","Halakhot Gedolot","tok-2b455736d031","אבידתא","אבידתא","Unresolved","","No lexical entry yet","true","1","Halakhot Gedolot 44:3"
"halakhot-gedolot","Halakhot Gedolot","tok-9c132ad5150d","אבידתו","אבידתו","Unresolved","","No lexical entry yet","true","5","Halakhot Gedolot 43:14; Halakhot Gedolot 44:8"
