"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"i-kings","I Kings","tok-bfe3a971392d","אָבֹ֖א","אבא","Unresolved","","No lexical entry yet","true","1","I Kings 13:8"
"i-kings","I Kings","tok-b5943779bddf","אָבָ֖ה","אבה","Unresolved","","No lexical entry yet","true","1","I Kings 22:50"
"i-kings","I Kings","tok-8f68ce00482a","אָב֣וֹא","אבוא","Unresolved","","No lexical entry yet","true","1","I Kings 1:14"
"i-kings","I Kings","tok-10b3863c8fbb","אֲבוּסִֽים׃","אבוסימ׃","Unresolved","","No lexical entry yet","true","1","I Kings 5:3"
"i-kings","I Kings","tok-3bee78e4566d","אֲבוֹתָ֑י","אבותי","Unresolved","","No lexical entry yet","true","1","I Kings 21:4"
"i-kings","I Kings","tok-eb9cfaee1a73","אָבִ֔י","אבי","Unresolved","","No lexical entry yet","true","4","I Kings 2:24; I Kings 2:26; I Kings 8:18; I Kings 8:24"
"i-kings","I Kings","tok-e5be64fdfe5a","אָבִ֑י","אבי","Unresolved","","No lexical entry yet","true","4","I Kings 2:44; I Kings 3:7; I Kings 8:15; I Kings 8:17"
"i-kings","I Kings","tok-bea6e9a868c2","אָבִי֮","אבי","Unresolved","","No lexical entry yet","true","1","I Kings 3:6"
"i-kings","I Kings","tok-7abe0399b125","אָבִ֗י","אבי","Unresolved","","No lexical entry yet","true","3","I Kings 5:17; I Kings 12:11; I Kings 12:14"
"i-kings","I Kings","tok-42226f2e92a8","אָבִי֙","אבי","Unresolved","","No lexical entry yet","true","5","I Kings 5:19; I Kings 8:25; I Kings 12:11; I Kings 12:14; I Kings 20:34"
"i-kings","I Kings","tok-17044f100f5f","אָבִ֜י","אבי","Unresolved","","No lexical entry yet","true","1","I Kings 8:20"
"i-kings","I Kings","tok-b661b9bce4a8","אָבִ֖י","אבי","Unresolved","","No lexical entry yet","true","1","I Kings 15:19"
"i-kings","I Kings","tok-a084af0d0661","אָבִֽי׃","אבי׃","Unresolved","","No lexical entry yet","true","4","I Kings 2:26; I Kings 2:31; I Kings 8:26; I Kings 12:10"
"i-kings","I Kings","tok-0dcfedd1a6fd","אָבִ֥יא","אביא","Unresolved","","No lexical entry yet","true","1","I Kings 21:29"
"i-kings","I Kings","tok-2c009e395a84","אֲבִיָּ֥ה","אביה","Unresolved","","No lexical entry yet","true","1","I Kings 14:1"
"i-kings","I Kings","tok-aa7b26b36467","אָבִ֑יהוּ","אביהו","Unresolved","","No lexical entry yet","true","1","I Kings 5:15"
"i-kings","I Kings","tok-d5a2d524924a","אֲבִיהֶ֔ם","אביהמ","Unresolved","","No lexical entry yet","true","1","I Kings 13:12"
"i-kings","I Kings","tok-51f91c749a49","אָבִ֤יו","אביו","Unresolved","","No lexical entry yet","true","1","I Kings 1:6"
"i-kings","I Kings","tok-c738ce23fbb2","אָבִ֑יו","אביו","Unresolved","","No lexical entry yet","true","6","I Kings 2:12; I Kings 3:3; I Kings 11:43; I Kings 15:24; I Kings 22:47"
"i-kings","I Kings","tok-a1da6b4d86ef","אָבִ֗יו","אביו","Unresolved","","No lexical entry yet","true","1","I Kings 7:51"
"i-kings","I Kings","tok-d64658711c71","אָבִ֛יו","אביו","Unresolved","","No lexical entry yet","true","1","I Kings 11:17"
"i-kings","I Kings","tok-0761421d8ebf","אָבִ֔יו","אביו","Unresolved","","No lexical entry yet","true","3","I Kings 12:6; I Kings 15:15; I Kings 15:26"
"i-kings","I Kings","tok-5f2a0d03b865","אָבִ֖יו","אביו","Unresolved","","No lexical entry yet","true","2","I Kings 15:3; I Kings 22:43"
"i-kings","I Kings","tok-1b0baf56d9e1","אָבִיו֙","אביו","Unresolved","","No lexical entry yet","true","1","I Kings 22:53"
"i-kings","I Kings","tok-70ac90307805","אָבִֽיו׃","אביו׃","Unresolved","","No lexical entry yet","true","7","I Kings 11:4; I Kings 11:6; I Kings 11:27; I Kings 11:33; I Kings 15:3"
"i-kings","I Kings","tok-3bcdcc6babfb","אָבִ֑יךָ","אביכ","Unresolved","","No lexical entry yet","true","4","I Kings 3:14; I Kings 11:12; I Kings 15:19; I Kings 18:18"
"i-kings","I Kings","tok-a65cc65fa9d6","אָבִ֙יךָ֙","אביכ","Unresolved","","No lexical entry yet","true","3","I Kings 9:4; I Kings 9:5; I Kings 12:10"
"i-kings","I Kings","tok-e31a6aa98f1f","אָבִ֖יךָ","אביכ","Unresolved","","No lexical entry yet","true","2","I Kings 12:4; I Kings 12:9"
"i-kings","I Kings","tok-6215e8915db9","אָבִ֜יךָ","אביכ","Unresolved","","No lexical entry yet","true","2","I Kings 12:4; I Kings 20:34"
"i-kings","I Kings","tok-4080e19b80a6","אָבִֽיךָ׃","אביכ׃","Unresolved","","No lexical entry yet","true","1","I Kings 6:12"
