"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"joel","Joel","tok-b18a0b588f3b","אָבַ֖ד","אבד","Unresolved","","No lexical entry yet","true","1","Joel 1:11"
"joel","Joel","tok-0f8a71759706","אָבְלָ֖ה","אבלה","Unresolved","","No lexical entry yet","true","1","Joel 1:10"
"joel","Joel","tok-d9e109f33eeb","אָֽבְלוּ֙","אבלו","Unresolved","","No lexical entry yet","true","1","Joel 1:9"
"joel","Joel","tok-8245fbff776f","אֲבֹתֵיכֶֽם׃","אבתיכמ׃","Unresolved","","No lexical entry yet","true","1","Joel 1:2"
"joel","Joel","tok-df8a48da1d66","אָדָֽם׃","אדמ׃","Unresolved","","No lexical entry yet","true","1","Joel 1:12"
"joel","Joel","tok-d9ab4aeb6b7f","אֲהָ֖הּ","אהה","Unresolved","","No lexical entry yet","true","1","Joel 1:15"
"joel","Joel","tok-bb128d1aa1a1","אָחִיו֙","אחיו","Unresolved","","No lexical entry yet","true","1","Joel 2:8"
"joel","Joel","tok-dafb8a74c5d6","אַחֵֽר׃","אחר׃","Unresolved","","No lexical entry yet","true","1","Joel 1:3"
"joel","Joel","tok-7a6154f871a9","אַחֲרֵי־כֵ֗ן","אחרי־כנ","Unresolved","","No lexical entry yet","true","1","Joel 3:1"
"joel","Joel","tok-1e6b511a539a","אַיֵּ֖ה","איה","Unresolved","","No lexical entry yet","true","1","Joel 2:17"
"joel","Joel","tok-9353cb737992","אָכוֹל֙","אכול","Unresolved","","No lexical entry yet","true","1","Joel 2:26"
"joel","Joel","tok-a0190ecbd6bf","אָכַ֣ל","אכל","Unresolved","","No lexical entry yet","true","3","Joel 1:4; Joel 2:25"
"joel","Joel","tok-d30eb9f74139","אָכַ֖ל","אכל","Unresolved","","No lexical entry yet","true","1","Joel 1:4"
"joel","Joel","tok-9f4f8662a9d7","אֹ֣כֶל","אכל","Unresolved","","No lexical entry yet","true","1","Joel 1:16"
"joel","Joel","tok-431026a88934","אָֽכְלָה֙","אכלה","Unresolved","","No lexical entry yet","true","1","Joel 1:19"
"joel","Joel","tok-a24090ca1a9e","אָכְלָ֖ה","אכלה","Unresolved","","No lexical entry yet","true","1","Joel 1:20"
"joel","Joel","tok-85ed6a336ffc","אָ֣כְלָה","אכלה","Unresolved","","No lexical entry yet","true","1","Joel 2:3"
"joel","Joel","tok-f815d5936be0","אֹכְלָ֖ה","אכלה","Unresolved","","No lexical entry yet","true","1","Joel 2:5"
"joel","Joel","tok-65b414003b68","אִכָּרִ֗ים","אכרימ","Unresolved","","No lexical entry yet","true","1","Joel 1:11"
"joel","Joel","tok-a9edddc5c80e","אֶל־אֶ֣רֶץ","אל־ארצ","Unresolved","","No lexical entry yet","true","1","Joel 2:20"
"joel","Joel","tok-47c7cac0d83d","אֶל־גּ֣וֹי","אל־גוי","Unresolved","","No lexical entry yet","true","1","Joel 4:8"
"joel","Joel","tok-8105e81307bd","אֶל־הַיָּם֙","אל־הימ","Unresolved","","No lexical entry yet","true","1","Joel 2:20"
"joel","Joel","tok-9bdcbe09a891","אֶל־הַיָּ֣ם","אל־הימ","Unresolved","","No lexical entry yet","true","1","Joel 2:20"
"joel","Joel","tok-11ec2f4b829d","אֶל־יְהֹוָ֣ה","אל־יהוה","Unresolved","","No lexical entry yet","true","1","Joel 2:13"
"joel","Joel","tok-30ed3c90a464","אֶל־יְהֹוָֽה׃","אל־יהוה׃","Unresolved","","No lexical entry yet","true","1","Joel 1:14"
"joel","Joel","tok-a283c4a08794","אֶל־יוֹאֵ֖ל","אל־יואל","Unresolved","","No lexical entry yet","true","1","Joel 1:1"
"joel","Joel","tok-1e6167e5dfac","אֶל־עֵ֖מֶק","אל־עמק","Unresolved","","No lexical entry yet","true","2","Joel 4:2; Joel 4:12"
"joel","Joel","tok-4f31fc0d0257","אַל־תִּֽירְאוּ֙","אל־תיראו","Unresolved","","No lexical entry yet","true","1","Joel 2:22"
"joel","Joel","tok-23e22292d55c","אַל־תִּֽירְאִ֖י","אל־תיראי","Unresolved","","No lexical entry yet","true","1","Joel 2:21"
"joel","Joel","tok-00cc98f670ff","אֱלֹהֵיהֶֽם׃","אלהיהמ׃","Unresolved","","No lexical entry yet","true","1","Joel 2:17"
"joel","Joel","tok-92a9526cf53c","אֱלֹהֵיכֶֽם׃","אלהיכמ׃","Unresolved","","No lexical entry yet","true","1","Joel 2:14"
"joel","Joel","tok-85187be0e24c","אֻמְלַ֥ל","אמלל","Unresolved","","No lexical entry yet","true","1","Joel 1:10"
"joel","Joel","tok-797a43ee0821","אֻמְלָ֑לָה","אמללה","Unresolved","","No lexical entry yet","true","1","Joel 1:12"
"joel","Joel","tok-52af35800167","אָֽנִי׃","אני׃","Unresolved","","No lexical entry yet","true","1","Joel 4:10"
"joel","Joel","tok-9783b0523991","אִסְפ֣וּ","אספו","Unresolved","","No lexical entry yet","true","1","Joel 1:14"
"joel","Joel","tok-0e1e85b39cd4","אִסְפוּ֙","אספו","Unresolved","","No lexical entry yet","true","1","Joel 2:16"
"joel","Joel","tok-70c5d157436c","אָסְפ֥וּ","אספו","Unresolved","","No lexical entry yet","true","2","Joel 2:10; Joel 4:15"
"joel","Joel","tok-e401fe29cc70","אִסְפוּ־עָ֞ם","אספו־עמ","Unresolved","","No lexical entry yet","true","1","Joel 2:16"
"joel","Joel","tok-7506a0f44fe1","אַפַּ֙יִם֙","אפימ","Unresolved","","No lexical entry yet","true","1","Joel 2:13"
"joel","Joel","tok-431bf608306c","אֹֽצָר֔וֹת","אצרות","Unresolved","","No lexical entry yet","true","1","Joel 1:17"
"joel","Joel","tok-0820141b25c6","אֶקְרָ֑א","אקרא","Unresolved","","No lexical entry yet","true","1","Joel 1:19"
"joel","Joel","tok-b6ca086659cc","אֹרְחוֹתָֽם׃","ארחותמ׃","Unresolved","","No lexical entry yet","true","1","Joel 2:7"
"joel","Joel","tok-47eaf3c7af82","אַרְחִ֣יק","ארחיק","Unresolved","","No lexical entry yet","true","1","Joel 2:20"
"joel","Joel","tok-16e6ddc18833","אַרְיֵ֔ה","אריה","Unresolved","","No lexical entry yet","true","1","Joel 1:6"
"joel","Joel","tok-d54571afae7e","אֶ֤רֶךְ","ארכ","Unresolved","","No lexical entry yet","true","1","Joel 2:13"
"joel","Joel","tok-578c4dcb7979","אשוב","אשוב","Unresolved","","No lexical entry yet","true","1","Joel 4:1"
"joel","Joel","tok-6249c0cbbe74","אָשִׁ֛יב","אשיב","Unresolved","","No lexical entry yet","true","1","Joel 4:1"
"joel","Joel","tok-701f29c1ea3d","אָשִׁ֥יב","אשיב","Unresolved","","No lexical entry yet","true","1","Joel 4:4"
"joel","Joel","tok-9f230e50e083","אֲשֶׁר־יִקְרָ֛א","אשר־יקרא","Unresolved","","No lexical entry yet","true","1","Joel 3:5"
"joel","Joel","tok-ef5889b1baad","אֲשֶׁר־כַּסְפִּ֥י","אשר־כספי","Unresolved","","No lexical entry yet","true","1","Joel 4:5"
"joel","Joel","tok-f8bf10a08717","אֲשֶׁר־מְכַרְתֶּ֥ם","אשר־מכרתמ","Unresolved","","No lexical entry yet","true","1","Joel 4:7"
"joel","Joel","tok-c6acc3ae5d09","אֲשֶׁר־עָשָׂ֥ה","אשר־עשה","Unresolved","","No lexical entry yet","true","1","Joel 2:26"
"joel","Joel","tok-99c2da27821e","אֲשֶׁר־שָׁפְכ֥וּ","אשר־שפכו","Unresolved","","No lexical entry yet","true","1","Joel 4:19"
"joel","Joel","tok-d76ec960991e","אֶת־בְּנֵיכֶ֣ם","את־בניכמ","Unresolved","","No lexical entry yet","true","1","Joel 4:8"
"joel","Joel","tok-15688fbe685e","אֶת־הַדָּגָן֙","את־הדגנ","Unresolved","","No lexical entry yet","true","1","Joel 2:19"
"joel","Joel","tok-e1857eb6417a","אֶת־הַמּוֹרֶ֖ה","את־המורה","Unresolved","","No lexical entry yet","true","1","Joel 2:23"
"joel","Joel","tok-6774ae455a30","אֶת־הַשָּׁנִ֔ים","את־השנימ","Unresolved","","No lexical entry yet","true","1","Joel 2:25"
"joel","Joel","tok-a3a385013f3a","אֶת־כׇּל־הַגּוֹיִ֔ם","את־כל־הגוימ","Unresolved","","No lexical entry yet","true","1","Joel 4:2"
"joel","Joel","tok-9ef10ee30772","אֶת־כׇּל־הַגּוֹיִ֖ם","את־כל־הגוימ","Unresolved","","No lexical entry yet","true","1","Joel 4:12"
"joel","Joel","tok-3b1daebd884a","אֶת־נַ֥חַל","את־נחל","Unresolved","","No lexical entry yet","true","1","Joel 4:18"
"joel","Joel","tok-5b5a3c824d13","אֶת־פָּנָ֗יו","את־פניו","Unresolved","","No lexical entry yet","true","1","Joel 2:20"
"joel","Joel","tok-48aeb452f4a2","אֶת־רוּחִי֙","את־רוחי","Unresolved","","No lexical entry yet","true","1","Joel 3:1"
"joel","Joel","tok-75930b4da85d","אֶת־רוּחִֽי׃","את־רוחי׃","Unresolved","","No lexical entry yet","true","1","Joel 3:2"
"joel","Joel","tok-425d8370cb86","אֶת־שְׁב֥וּת","את־שבות","Unresolved","","No lexical entry yet","true","1","Joel 4:1"
"joel","Joel","tok-28ac9926e1b0","אֶת־שֵׁ֤ם","את־שמ","Unresolved","","No lexical entry yet","true","1","Joel 2:26"
"joel","Joel","tok-d79589858662","אִתֵּיכֶם֙","אתיכמ","Unresolved","","No lexical entry yet","true","1","Joel 4:10"
"joel","Joel","tok-292dca0f6c2c","בְּאַרְצָֽם׃","בארצמ׃","Unresolved","","No lexical entry yet","true","1","Joel 4:19"
"joel","Joel","tok-7af73c9d0fb1","בׇאְשׁ֗וֹ","באשו","Unresolved","","No lexical entry yet","true","1","Joel 2:20"
