"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kav-hayashar","Kav HaYashar","tok-c5e77ddb02fa","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Kav HaYashar 46:6; Kav HaYashar 102:3"
"kav-hayashar","Kav HaYashar","tok-75c49d5df78f","א״ב","א״ב","Unresolved","","No lexical entry yet","true","2","Kav HaYashar 66:11; Kav HaYashar 66:12"
"kav-hayashar","Kav HaYashar","tok-1b00e9a9ff64","א״ה","א״ה","Unresolved","","No lexical entry yet","true","4","Kav HaYashar 41:4; Kav HaYashar 65:6; Kav HaYashar 73:3; Kav HaYashar 75:3"
"kav-hayashar","Kav HaYashar","tok-88706d0a32b8","א״ו","א״ו","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 102:3"
"kav-hayashar","Kav HaYashar","tok-d5a3730256d7","אַאֵיבָרֵי","אאיברי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 70:5"
"kav-hayashar","Kav HaYashar","tok-c57c309f8c43","אָאֹר""","אאר""","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 7:23"
"kav-hayashar","Kav HaYashar","tok-5c650c6003ad","אַאֲרִיךְ","אאריכ","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 2:11"
"kav-hayashar","Kav HaYashar","tok-c49fc417824a","אַבָּא","אבא","Unresolved","","No lexical entry yet","true","83","Kav HaYashar 5:12; Kav HaYashar 6:2; Kav HaYashar 6:3; Kav HaYashar 7:33; Kav HaYashar 7:34"
"kav-hayashar","Kav HaYashar","tok-b0e069e7f73b","אָבֹא","אבא","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 16:10"
"kav-hayashar","Kav HaYashar","tok-86b050e44581","אֲבֵדַת","אבדת","Unresolved","","No lexical entry yet","true","2","Kav HaYashar 40:3"
"kav-hayashar","Kav HaYashar","tok-59b839429c8a","אָבַדְתִּי","אבדתי","Unresolved","","No lexical entry yet","true","3","Kav HaYashar 25:5; Kav HaYashar 99:2"
"kav-hayashar","Kav HaYashar","tok-47fe23b4643d","אָבָדְתִּי","אבדתי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 99:2"
"kav-hayashar","Kav HaYashar","tok-b8725c8523b0","אַבָּהוּ","אבהו","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 78:3"
"kav-hayashar","Kav HaYashar","tok-f33fc6335e5d","אֲבָהָן","אבהנ","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 20:2"
"kav-hayashar","Kav HaYashar","tok-9468936ed557","אַבְהָתָא","אבהתא","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 78:3"
"kav-hayashar","Kav HaYashar","tok-f18e34b40b0f","אָבוּ","אבו","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 11:11"
"kav-hayashar","Kav HaYashar","tok-9c222ccc05c0","אֲבוּהָ","אבוה","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 45:5"
"kav-hayashar","Kav HaYashar","tok-97a524355040","אֲבוּהָא","אבוהא","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 28:15"
"kav-hayashar","Kav HaYashar","tok-55da6faf63ab","אֲבוּהוֹן","אבוהונ","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 66:5"
"kav-hayashar","Kav HaYashar","tok-640232d9c392","אֲבוֹהִי","אבוהי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 31:8"
"kav-hayashar","Kav HaYashar","tok-31208baa5b9c","אֲבוּהֵי","אבוהי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 17:9"
"kav-hayashar","Kav HaYashar","tok-91b972a4a4de","אָבוּי","אבוי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 19:6"
"kav-hayashar","Kav HaYashar","tok-fe38356000b6","אֲבוּךְ","אבוכ","Unresolved","","No lexical entry yet","true","2","Kav HaYashar 41:8; Kav HaYashar 74:1"
"kav-hayashar","Kav HaYashar","tok-ded7fb071c24","אָבוּךְ","אבוכ","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 20:10"
"kav-hayashar","Kav HaYashar","tok-14b6bc7fc6b0","אַבּוּלִיאֵל","אבוליאל","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 38:3"
"kav-hayashar","Kav HaYashar","tok-c3b59df8e143","אֵבוֹשׁ","אבוש","Unresolved","","No lexical entry yet","true","1","Kav HaYashar, Author's Preface:17"
"kav-hayashar","Kav HaYashar","tok-8842a7a4d29f","אֵבוֹשָׁה","אבושה","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 85:19"
"kav-hayashar","Kav HaYashar","tok-98b1dd708371","אֲבוֹתַי","אבותי","Unresolved","","No lexical entry yet","true","9","Kav HaYashar, Author's Preface:12; Kav HaYashar 6:5; Kav HaYashar 11:3; Kav HaYashar 18:5; Kav HaYashar 18:6"
"kav-hayashar","Kav HaYashar","tok-983ea40d2992","אֲבִי","אבי","Unresolved","","No lexical entry yet","true","3","Kav HaYashar 10:23; Kav HaYashar 40:6; Kav HaYashar 44:5"
"kav-hayashar","Kav HaYashar","tok-ef76e1fed036","אָבִי","אבי","Unresolved","","No lexical entry yet","true","8","Kav HaYashar, Author's Preface:13; Kav HaYashar 65:1; Kav HaYashar 65:3; Kav HaYashar 74:2; Kav HaYashar 76:5"
"kav-hayashar","Kav HaYashar","tok-c0f071e2159a","אֲבִיָּה","אביה","Unresolved","","No lexical entry yet","true","2","Kav HaYashar 101:5"
"kav-hayashar","Kav HaYashar","tok-3e957bb2074d","אָבִיהָ","אביה","Unresolved","","No lexical entry yet","true","5","Kav HaYashar 10:11; Kav HaYashar 42:1; Kav HaYashar 42:2; Kav HaYashar 45:5"
"kav-hayashar","Kav HaYashar","tok-be982e4cb63d","אֲבִיהֶם","אביהמ","Unresolved","","No lexical entry yet","true","6","Kav HaYashar 7:4; Kav HaYashar 7:5; Kav HaYashar 17:6; Kav HaYashar 30:7"
"kav-hayashar","Kav HaYashar","tok-9d58ea692c7c","אָבִיו","אביו","Unresolved","","No lexical entry yet","true","38","Kav HaYashar 2:5; Kav HaYashar 10:7; Kav HaYashar 10:8; Kav HaYashar 17:9; Kav HaYashar 22:3"
"kav-hayashar","Kav HaYashar","tok-084255f356fb","אֲבַּיֵּי","אביי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 70:6"
"kav-hayashar","Kav HaYashar","tok-4ec4060cdf30","אַבַּיֵּי","אביי","Unresolved","","No lexical entry yet","true","2","Kav HaYashar 13:7; Kav HaYashar 17:7"
"kav-hayashar","Kav HaYashar","tok-de7c9727bf38","אָבִיךָ","אביכ","Unresolved","","No lexical entry yet","true","4","Kav HaYashar 58:4; Kav HaYashar 75:8; Kav HaYashar 79:9"
"kav-hayashar","Kav HaYashar","tok-06dc20afbdc5","אֲבִינֹעַם","אבינעמ","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 54:11"
"kav-hayashar","Kav HaYashar","tok-fe3eff516c61","אֲבֵלֵי","אבלי","Unresolved","","No lexical entry yet","true","1","Kav HaYashar 94:6"
