"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-7825355e0709","א״א","א״א","Unresolved","","No lexical entry yet","true","6","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:3:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:5:2; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 7:6:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 11:3:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 12:5:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-1d422fa9068b","א״ה","א״ה","Unresolved","","No lexical entry yet","true","5","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 13:9:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 13:14:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-fdac9bb70dcd","א״ל","א״ל","Unresolved","","No lexical entry yet","true","6","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:10:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:4:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 6:14:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 9:10:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-750c177fc315","א״נ","א״נ","Unresolved","","No lexical entry yet","true","4","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:2:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 6:5:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 8:1:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-d1fc6421ae89","א״צ","א״צ","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 1:6:2"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-ec7a0e5d738a","א״ר","א״ר","Unresolved","","No lexical entry yet","true","7","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:7:2; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 6:6:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 10:7:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 11:2:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 12:4:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-33d5ae14cd81","א״ש","א״ש","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 6:11:2"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-7fcb6298a496","אבהו","אבהו","Unresolved","","No lexical entry yet","true","4","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:7:2; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:10:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:11:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 6:14:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-3dffd52f6c0e","אבידת","אבידת","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 1:14:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:10:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-a2238ff96946","אביו","אביו","Unresolved","","No lexical entry yet","true","3","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:5:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 7:15:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-f377685928ff","אביי","אביי","Unresolved","","No lexical entry yet","true","8","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:4:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:4:2; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:10:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 5:12:1; Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 7:3:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-022102c95bb4","אבילות","אבילות","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 2:6:1"
"kessef-mishneh-on-mishneh-torah-murderer-and-the-preservation-of-life","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life","tok-458b42bd7cb1","אבימי","אבימי","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Murderer and the Preservation of Life 4:8:1"
