"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-3242a5b8e1f9","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 4:18:2"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-2bb4fec200c6","א״א","א״א","Unresolved","","No lexical entry yet","true","4","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:5:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 4:18:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 6:9:3; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 10:4:4"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-fdba8ac2fe03","א״ד","א״ד","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 5:6:3"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-3b1a251c292b","א״ו","א״ו","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:9:3; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:13:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-df4dd49a47a8","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:18:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-721aba369693","א״ל","א״ל","Unresolved","","No lexical entry yet","true","25","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:10:3; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:13:3; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:18:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:19:4; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:18:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-0277e0a34513","א״נ","א״נ","Unresolved","","No lexical entry yet","true","3","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:9:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:13:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 8:3:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-13b329aa53ce","א״ר","א״ר","Unresolved","","No lexical entry yet","true","36","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:12:3; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:16:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:16:3; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:19:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:19:3"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-8928c64f1496","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 10:5:4"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-20c6224e148c","אאחר","אאחר","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 4:7:3"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-c89e938240b9","אארעא","אארעא","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 10:6:7"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-0f63554fbd7f","אבא","אבא","Unresolved","","No lexical entry yet","true","6","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 4:16:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 5:8:4; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 7:8:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 9:14:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-f2086a36b729","אבהו","אבהו","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:18:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:19:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-0b93b31d66ac","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 8:4:7"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-dd5c1c89392d","אביי","אביי","Unresolved","","No lexical entry yet","true","29","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:1:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:1:5; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:5:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:11:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:11:3"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-4a19698241f5","אבק","אבק","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:17:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-357cdaadc893","אברם","אברמ","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 8:4:2"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-6e4f6a0f1c6d","אבתרה","אבתרה","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:18:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-ed5802335185","אגודות","אגודות","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 2:10:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-b75bdfc508fb","אגיבון","אגיבונ","Unresolved","","No lexical entry yet","true","4","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 10:2:6"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-dda7285eb341","אגריה","אגריה","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:18:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-c4bbc77e1e1f","אגרת","אגרת","Unresolved","","No lexical entry yet","true","3","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 5:3:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 7:16:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-39a6f0e0efad","אדא","אדא","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 4:18:2; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 9:15:1"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-0228fe51d03b","אדום","אדומ","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:14:1; Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 8:4:3"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-f8db7f2f028d","אדומות","אדומות","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 3:1:6"
"kessef-mishneh-on-mishneh-torah-tefillin-mezuzah-and-the-torah-scroll","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll","tok-73284f54990a","אדוק","אדוק","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 1:13:1"
