"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-30165740a93b","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 7:13:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-e35bacad547a","א״א","א״א","Unresolved","","No lexical entry yet","true","4","Kessef Mishneh on Mishneh Torah, Torah Study 6:14:27; Kessef Mishneh on Mishneh Torah, Torah Study 7:7:2; Kessef Mishneh on Mishneh Torah, Torah Study 7:11:3; Kessef Mishneh on Mishneh Torah, Torah Study 7:12:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-6cca73f2096c","א״ל","א״ל","Unresolved","","No lexical entry yet","true","14","Kessef Mishneh on Mishneh Torah, Torah Study 2:2:3; Kessef Mishneh on Mishneh Torah, Torah Study 5:3:1; Kessef Mishneh on Mishneh Torah, Torah Study 6:10:3; Kessef Mishneh on Mishneh Torah, Torah Study 6:14:31; Kessef Mishneh on Mishneh Torah, Torah Study 7:1:2"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-5a07b8d29f8b","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Torah Study 7:1:2"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-6075f6c23a81","אארעא","אארעא","Unresolved","","No lexical entry yet","true","3","Kessef Mishneh on Mishneh Torah, Torah Study 4:2:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-c3a1d9499769","אבא","אבא","Unresolved","","No lexical entry yet","true","4","Kessef Mishneh on Mishneh Torah, Torah Study 5:4:1; Kessef Mishneh on Mishneh Torah, Torah Study 5:5:2; Kessef Mishneh on Mishneh Torah, Torah Study 5:9:1; Kessef Mishneh on Mishneh Torah, Torah Study 5:9:3"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-7deed37d274c","אבהו","אבהו","Unresolved","","No lexical entry yet","true","5","Kessef Mishneh on Mishneh Torah, Torah Study 3:4:1; Kessef Mishneh on Mishneh Torah, Torah Study 6:6:1; Kessef Mishneh on Mishneh Torah, Torah Study 6:6:3; Kessef Mishneh on Mishneh Torah, Torah Study 7:1:2"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-d110a236ac6b","אבוה","אבוה","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 1:4:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-1cf361184a07","אבידה","אבידה","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 5:1:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-b678c53e1c58","אבידת","אבידת","Unresolved","","No lexical entry yet","true","10","Kessef Mishneh on Mishneh Torah, Torah Study 5:1:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-b6b78ebdd1e9","אבידתו","אבידתו","Unresolved","","No lexical entry yet","true","2","Kessef Mishneh on Mishneh Torah, Torah Study 5:1:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-01b2e6bd6b63","אביה","אביה","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 6:14:24"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-3e653790ff2a","אביו","אביו","Unresolved","","No lexical entry yet","true","48","Kessef Mishneh on Mishneh Torah, Torah Study 1:3:1; Kessef Mishneh on Mishneh Torah, Torah Study 1:3:2; Kessef Mishneh on Mishneh Torah, Torah Study 1:6:1; Kessef Mishneh on Mishneh Torah, Torah Study 2:6:2; Kessef Mishneh on Mishneh Torah, Torah Study 4:3:2"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-3e9d21ece09a","אביי","אביי","Unresolved","","No lexical entry yet","true","6","Kessef Mishneh on Mishneh Torah, Torah Study 5:2:1; Kessef Mishneh on Mishneh Torah, Torah Study 5:9:4; Kessef Mishneh on Mishneh Torah, Torah Study 6:1:1; Kessef Mishneh on Mishneh Torah, Torah Study 6:9:1; Kessef Mishneh on Mishneh Torah, Torah Study 6:12:1"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-57359846aac0","אדאורייתא","אדאורייתא","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 6:10:3"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-2f6ffac25f1e","אדכתיבי","אדכתיבי","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 6:10:3"
"kessef-mishneh-on-mishneh-torah-torah-study","Kessef Mishneh on Mishneh Torah, Torah Study","tok-564aa39f59f6","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Kessef Mishneh on Mishneh Torah, Torah Study 4:6:2"
