"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"keter-shem-tov","Keter Shem Tov","tok-e521066f7ba7","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-2dcfe7c1ca14","אותי","אותי","Unresolved","","No lexical entry yet","true","3","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-c077d09a3705","אכילה","אכילה","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-39d70010ecf9","אשתו","אשתו","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:2"
"keter-shem-tov","Keter Shem Tov","tok-34cea7022a1a","ב׳","ב׳","Unresolved","","No lexical entry yet","true","2","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-4a3789e72c83","ב״ר","ב״ר","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-f16e9e10cea4","ביאר","ביאר","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-4fb08caaeffe","במאזני","במאזני","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-c5e4f0ba2d00","במדרש","במדרש","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-0e61d3372f00","במעשיהם","במעשיהמ","Unresolved","","No lexical entry yet","true","2","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-6065739ed775","בקר","בקר","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-92de9880db3e","דא״א","דא״א","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-627b24cc4eb0","דיעות","דיעות","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-77a1e8ef0f6a","החולי","החולי","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-a53a8b144e28","החקירה","החקירה","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-4a65e3077024","היעוצה","היעוצה","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:2"
"keter-shem-tov","Keter Shem Tov","tok-005f709e7008","הלואי","הלואי","Unresolved","","No lexical entry yet","true","2","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-f7d0b3fe18f4","הת״ח","הת״ח","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:2"
"keter-shem-tov","Keter Shem Tov","tok-f99dd88df81e","וא׳","וא׳","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-ea4cd2fa2211","ואיני","ואיני","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-1d0cff0f6381","וביאר","וביאר","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-3b8679bbd2e2","ודפח״ח","ודפח״ח","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:2"
"keter-shem-tov","Keter Shem Tov","tok-066ae9f3fed4","והיכלי","והיכלי","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-57cfac1149ff","וז״ש","וז״ש","Unresolved","","No lexical entry yet","true","2","Keter Shem Tov 2:1:1; Keter Shem Tov 2:1:2"
"keter-shem-tov","Keter Shem Tov","tok-c58cbee70cdd","ולשמוח","ולשמוח","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-26a99eb0acdf","ולשתות","ולשתות","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-07f4528d2a95","ומספד","ומספד","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-7c3f8e356795","ונהנה","ונהנה","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 1:1:1"
"keter-shem-tov","Keter Shem Tov","tok-47f35cd9a8f6","וסיגופים","וסיגופימ","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-60db352a213d","ועצבות","ועצבות","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-eb565dab9623","וצום","וצומ","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-0c768df55184","ושחוק","ושחוק","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
"keter-shem-tov","Keter Shem Tov","tok-c180a33c76f0","ושטה","ושטה","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:2"
"keter-shem-tov","Keter Shem Tov","tok-99904343fefb","ושתיה","ושתיה","Unresolved","","No lexical entry yet","true","1","Keter Shem Tov 2:1:1"
