"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-6bc02ff77cb4","אגלגל","אגלגל","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-32268d773e37","אדום","אדומ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:16:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-b5ef78ac9087","אדוניו","אדוניו","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-b89e187dd730","אותך","אותכ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-328769ae6ad6","אזלינן","אזליננ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:7:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-88d5d1561ff9","אחזור","אחזור","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-6b9e417bfd5b","אטמאה","אטמאה","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:10:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-27d77c132de4","איסור","איסור","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 2:6:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-1a5a3cc84451","איפשר","איפשר","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Circumcision 1:12:1; Kiryat Sefer on Mishneh Torah, Circumcision 1:18:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-f2a823162743","אכלי","אכלי","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 2:1:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-19e6e84d7a0a","אמילה","אמילה","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 2:1:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-7f261313c7b0","אמרן","אמרנ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 2:10:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-291475edaa58","אמתך","אמתכ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-8b44b4c96f2e","אנדרוגינוס","אנדרוגינוס","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Circumcision 1:7:1; Kiryat Sefer on Mishneh Torah, Circumcision 1:11:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-a42e7ab9d4c4","אסור","אסור","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-8c6f3e7c2f0e","אספלנית","אספלנית","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 2:6:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-72fe8422cf87","אקימנא","אקימנא","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 1:3:1"
"kiryat-sefer-on-mishneh-torah-circumcision","Kiryat Sefer on Mishneh Torah, Circumcision","tok-4fa7ff2c1c71","אקרא","אקרא","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Circumcision 2:3:1"
