"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-f9d3c1832c9d","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Kings and Wars 3:3:1; Kiryat Sefer on Mishneh Torah, Kings and Wars 8:5:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-48ae0160ab85","אבי","אבי","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Kings and Wars 9:5:1; Kiryat Sefer on Mishneh Torah, Kings and Wars 10:4:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-971f3282c652","אביה","אביה","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Kings and Wars 8:5:1; Kiryat Sefer on Mishneh Torah, Kings and Wars 10:4:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-b083d96a2208","אביו","אביו","Unresolved","","No lexical entry yet","true","3","Kiryat Sefer on Mishneh Torah, Kings and Wars 9:5:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-bece8c4a9f7f","אביטל","אביטל","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Kings and Wars 3:2:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-90edec1f3fea","אדוניה","אדוניה","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Kings and Wars 1:10:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-3653677ba2a8","אדמתם","אדמתמ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Kings and Wars 11:1:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-7900337cb04d","אדרוש","אדרוש","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Kings and Wars 9:14:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-600e314614f5","אדרשנו","אדרשנו","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Kings and Wars 9:14:1"
"kiryat-sefer-on-mishneh-torah-kings-and-wars","Kiryat Sefer on Mishneh Torah, Kings and Wars","tok-68d48de0b73c","אהפוך","אהפוכ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Kings and Wars 11:3:1"
