"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-a7593bef8935","א׳","א׳","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:15:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 10:11:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-087e8b84db3b","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:12:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-fc66599661b0","אבדו","אבדו","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 9:5:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-8f203c15e37c","אבותי׳","אבותי׳","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 12:15:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-10d7f0a6b03a","אבותיך","אבותיכ","Unresolved","","No lexical entry yet","true","5","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 4:25:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 12:15:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-32355d2ce95a","אביאת","אביאת","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 4:25:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-82eb16a9ffae","אביוני","אביוני","Unresolved","","No lexical entry yet","true","3","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 4:24:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:6:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-36d53455ba96","אבנין","אבנינ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 4:25:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-ddd8db980485","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:19:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-65c41de2ae7e","אגביה","אגביה","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:19:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-5323fe16913b","אהני","אהני","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 9:14:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-7447daa1086d","אוכל","אוכל","Unresolved","","No lexical entry yet","true","10","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:9:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:1:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:13:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 10:15:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:6:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-820234684951","אוכלי","אוכלי","Unresolved","","No lexical entry yet","true","5","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:11:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:12:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:6:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-87a9227103c9","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","3","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:12:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:6:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 10:14:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-d4ec50526306","אוכלין","אוכלינ","Unresolved","","No lexical entry yet","true","5","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:2:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:1:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:5:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:9:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-11c5de79038a","אוכלן","אוכלנ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 6:10:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-93336335b806","אוכלת","אוכלת","Unresolved","","No lexical entry yet","true","4","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:5:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:1:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:9:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-f8bd5c55547c","אוספין","אוספינ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 5:15:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-1a03b9e2ae86","אוספם","אוספמ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 6:10:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-7fbd964acbec","אזהרת","אזהרת","Unresolved","","No lexical entry yet","true","13","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 1:1:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 4:1:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 4:22:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 9:6:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 9:30:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-a7fd2bfeeca6","אזלינן","אזליננ","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 7:21:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-024328c7112f","אחוזת","אחוזת","Unresolved","","No lexical entry yet","true","1","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:15:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-490b0213b16c","אחוזתו","אחוזתו","Unresolved","","No lexical entry yet","true","7","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 10:13:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 10:15:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:3:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:4:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:19:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-5e372a19f5ac","אחוזתם","אחוזתמ","Unresolved","","No lexical entry yet","true","2","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 13:1:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 13:7:1"
"kiryat-sefer-on-mishneh-torah-sabbatical-year-and-the-jubilee","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee","tok-4f9e15f281bf","אחיו","אחיו","Unresolved","","No lexical entry yet","true","4","Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 9:6:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:18:1; Kiryat Sefer on Mishneh Torah, Sabbatical Year and the Jubilee 11:20:1"
