"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-04af32805a17","א׳","א׳","Unresolved","","No lexical entry yet","true","7","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 2:12:2; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 5:12:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 8:8:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 10:15:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 10:17:2"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-32d1dd6b47d9","א״א","א״א","Unresolved","","No lexical entry yet","true","2","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 6:13:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 11:6:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-163fa623301d","א״ב","א״ב","Unresolved","","No lexical entry yet","true","2","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:9:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 3:10:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-fa8d9478bf4c","א״ו","א״ו","Unresolved","","No lexical entry yet","true","3","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:12:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 3:10:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 10:15:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-56f76d7ac469","א״ז","א״ז","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 11:6:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-182bc072a285","א״ח","א״ח","Unresolved","","No lexical entry yet","true","11","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:9:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:10:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 2:12:2; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 2:14:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 5:1:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-06a114bfa3dd","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 11:6:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-e42bde4ac8c0","א״צ","א״צ","Unresolved","","No lexical entry yet","true","2","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:12:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 2:3:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-f1c73a1cd2d2","א״ר","א״ר","Unresolved","","No lexical entry yet","true","2","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:9:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 10:17:2"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-ddada9f397de","א״ש","א״ש","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:9:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-3c124f236412","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 1:1:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-9f8cfcef84df","אאורז","אאורז","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 3:10:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-949a1b603812","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 3:10:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-d1a06252f0e9","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","2","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 5:12:1; Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 8:5:1"
"kovetz-al-yad-hachazakah-on-mishneh-torah-blessings","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings","tok-aa257e26d658","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","1","Kovetz Al Yad HaChazakah on Mishneh Torah, Blessings 8:6:1"
