"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-1d73aea6fae0","א״א","א״א","Unresolved","","No lexical entry yet","true","3","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:6:1; Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:10:2"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-01db21769d9c","א״ו","א״ו","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:1:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-8447a7d3d9a4","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:8:2"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-008486383116","א״ל","א״ל","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:4:3"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-2d3ec8786cd0","א״ר","א״ר","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:4:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-4da42bfafb05","אביא","אביא","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:4:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-3f939abc681a","אביי","אביי","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 3:7:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-1d735d0223dc","אדרב","אדרב","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:4:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-c0ad6b0ef650","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:4:3"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-b08a440af796","אהא","אהא","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:4:3"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-90c6d8f7b85b","אהני","אהני","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:4:3"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-98063ed8b89d","אוכלין","אוכלינ","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:5:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-cb9d365e48df","אוסרים","אוסרימ","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 3:8:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-6a1310dbe792","אוקימתא","אוקימתא","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:10:2"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-470d8aaa6673","אורחייהו","אורחייהו","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 3:7:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-261dd503be1a","אזהרה","אזהרה","Unresolved","","No lexical entry yet","true","2","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:6:1"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-891f2eb86fcb","אזלינן","אזליננ","Unresolved","","No lexical entry yet","true","5","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:8:1; Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 2:8:2"
"lechem-mishneh-on-mishneh-torah-rest-on-the-tenth-of-tishrei","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei","tok-c87ab3ba3146","אחא","אחא","Unresolved","","No lexical entry yet","true","1","Lechem Mishneh on Mishneh Torah, Rest on the Tenth of Tishrei 1:6:1"
