"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-9fd9f024c7c7","א׳","א׳","Unresolved","","No lexical entry yet","true","3","LeNevukhei HaTekufah 1:10:22; LeNevukhei HaTekufah 3:1:42; LeNevukhei HaTekufah 3:13:26"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-a1916fb84b83","א־דני","א־דני","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 3:19:16"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-57e6191a20e9","א־ל","א־ל","Unresolved","","No lexical entry yet","true","8","LeNevukhei HaTekufah 1:1:1; LeNevukhei HaTekufah 1:11:3; LeNevukhei HaTekufah 1:11:8; LeNevukhei HaTekufah 1:11:24; LeNevukhei HaTekufah 3:15:7"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-475406ca6b7e","אֵ־ל","א־ל","Unresolved","","No lexical entry yet","true","4","LeNevukhei HaTekufah 1:2:2; LeNevukhei HaTekufah 1:2:14; LeNevukhei HaTekufah 1:17:12; LeNevukhei HaTekufah 3:15:7"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-b2e713a48337","אֱ־לֹהִ","א־לה","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 3:1:7"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-553fd9536a1f","אֱ־לֹהֵי","א־להי","Unresolved","","No lexical entry yet","true","7","LeNevukhei HaTekufah 1:13:26; LeNevukhei HaTekufah 3:3:25; LeNevukhei HaTekufah 3:3:29; LeNevukhei HaTekufah 3:10:12; LeNevukhei HaTekufah 3:11:3"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-c11ec8629cbb","אֱ־לֹהַי","א־להי","Unresolved","","No lexical entry yet","true","2","LeNevukhei HaTekufah 1:2:2; LeNevukhei HaTekufah 3:1:45"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-197e8bda7306","אֶ־לֹהֵי","א־להי","Unresolved","","No lexical entry yet","true","3","LeNevukhei HaTekufah 1:5:11; LeNevukhei HaTekufah 2:4:6; LeNevukhei HaTekufah 3:10:19"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-cac215d8259c","אֱ־לֹהֶיךָ","א־להיכ","Unresolved","","No lexical entry yet","true","9","LeNevukhei HaTekufah 1:12:11; LeNevukhei HaTekufah 1:17:14; LeNevukhei HaTekufah 1:17:22; LeNevukhei HaTekufah 3:3:24; LeNevukhei HaTekufah 3:5:11"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-811523673ec5","אֶ־לֹהֶיךָ","א־להיכ","Unresolved","","No lexical entry yet","true","5","LeNevukhei HaTekufah 1:13:41; LeNevukhei HaTekufah 1:13:43; LeNevukhei HaTekufah 2:10:28; LeNevukhei HaTekufah 4:10:16"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-93b8bf16d8cd","אֱ־לֹהֶיךָ״","א־להיכ״","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 3:20:14"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-310b9555aab6","אֶ־לֹהֶיךָ״","א־להיכ״","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 4:1:9"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-2e54f2355c76","אֱ־לֹהֵיכֶם","א־להיכמ","Unresolved","","No lexical entry yet","true","2","LeNevukhei HaTekufah 3:1:20; LeNevukhei HaTekufah 3:9:23"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-4d5dd9418b5d","אֶ־לֹהֵיכֶם","א־להיכמ","Unresolved","","No lexical entry yet","true","2","LeNevukhei HaTekufah 1:3:6; LeNevukhei HaTekufah 1:13:15"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-3b275ace64bf","אֱ־לֹהֵיכֶם״","א־להיכמ״","Unresolved","","No lexical entry yet","true","4","LeNevukhei HaTekufah 1:3:7; LeNevukhei HaTekufah 2:11:5; LeNevukhei HaTekufah 3:1:20; LeNevukhei HaTekufah 4:12:30"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-0e9af562d819","אֱ־לֹהִים","א־להימ","Unresolved","","No lexical entry yet","true","15","LeNevukhei HaTekufah 1:7:2; LeNevukhei HaTekufah 1:7:6; LeNevukhei HaTekufah 1:10:22; LeNevukhei HaTekufah 1:11:13; LeNevukhei HaTekufah 1:13:47"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-3654e2c98870","אֶ־לֹהִים","א־להימ","Unresolved","","No lexical entry yet","true","4","LeNevukhei HaTekufah 1:4:2; LeNevukhei HaTekufah 1:5:11; LeNevukhei HaTekufah 3:24:14; LeNevukhei HaTekufah 4:12:53"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-25c0c629cfb3","אֱ־לֹהִים״","א־להימ״","Unresolved","","No lexical entry yet","true","5","LeNevukhei HaTekufah 1:7:6; LeNevukhei HaTekufah 3:2:23; LeNevukhei HaTekufah 3:2:26; LeNevukhei HaTekufah 3:11:3; LeNevukhei HaTekufah 4:12:40"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-abefbcd48396","אֱ־לֹהֵינוּ","א־להינו","Unresolved","","No lexical entry yet","true","2","LeNevukhei HaTekufah 1:5:13; LeNevukhei HaTekufah 1:13:31"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-f276b04f12a2","אֱ־לֹהֵינוּ״","א־להינו״","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 3:7:13"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-006823e3c2bb","א־לוה","א־לוה","Unresolved","","No lexical entry yet","true","6","LeNevukhei HaTekufah 1:9:17; LeNevukhei HaTekufah 1:15:17; LeNevukhei HaTekufah 3:23:3; LeNevukhei HaTekufah 3:25:27; LeNevukhei HaTekufah 3:25:48"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-db220d3c4d1c","א־לוה״","א־לוה״","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 4:10:26"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-469dce931f0c","א־לוהות","א־לוהות","Unresolved","","No lexical entry yet","true","7","LeNevukhei HaTekufah 1:2:8; LeNevukhei HaTekufah 3:1:23; LeNevukhei HaTekufah 3:1:27; LeNevukhei HaTekufah 3:1:30; LeNevukhei HaTekufah 3:3:29"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-be551eca5b26","א־לוהי","א־לוהי","Unresolved","","No lexical entry yet","true","45","LeNevukhei HaTekufah 1:1:4; LeNevukhei HaTekufah 1:1:12; LeNevukhei HaTekufah 1:2:13; LeNevukhei HaTekufah 1:3:16; LeNevukhei HaTekufah 1:12:11"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-11f87378d2b2","א־לוהיהם","א־לוהיהמ","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 1:12:4"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-a8008d49b8ef","א־לוהיו","א־לוהיו","Unresolved","","No lexical entry yet","true","3","LeNevukhei HaTekufah 2:2:33; LeNevukhei HaTekufah 3:24:22"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-8b4c887f5ac6","א־לוהיך","א־לוהיכ","Unresolved","","No lexical entry yet","true","4","LeNevukhei HaTekufah 3:14:8; LeNevukhei HaTekufah 3:18:23; LeNevukhei HaTekufah 3:22:10; LeNevukhei HaTekufah 3:22:11"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-0548881af3ed","א־לוהיך״","א־לוהיכ״","Unresolved","","No lexical entry yet","true","14","LeNevukhei HaTekufah 1:9:29; LeNevukhei HaTekufah 2:2:18; LeNevukhei HaTekufah 2:8:22; LeNevukhei HaTekufah 2:15:18; LeNevukhei HaTekufah 3:6:6"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-a6d87caba31a","א־לוהיכם","א־לוהיכמ","Unresolved","","No lexical entry yet","true","2","LeNevukhei HaTekufah 3:14:8; LeNevukhei HaTekufah 4:12:30"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-f0586d5270bc","א־לוהיכם״","א־לוהיכמ״","Unresolved","","No lexical entry yet","true","1","LeNevukhei HaTekufah 2:12:7"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-9f319b3d804e","א־לוהים","א־לוהימ","Unresolved","","No lexical entry yet","true","72","LeNevukhei HaTekufah 1:3:1; LeNevukhei HaTekufah 1:3:4; LeNevukhei HaTekufah 1:3:11; LeNevukhei HaTekufah 1:4:5; LeNevukhei HaTekufah 1:5:10"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-870287e6bb26","א־לוהים״","א־לוהימ״","Unresolved","","No lexical entry yet","true","10","LeNevukhei HaTekufah 1:9:17; LeNevukhei HaTekufah 1:10:18; LeNevukhei HaTekufah 1:10:21; LeNevukhei HaTekufah 1:10:22; LeNevukhei HaTekufah 1:11:18"
"lenevukhei-hatekufah","LeNevukhei HaTekufah","tok-2ddd78a85ac4","א־לוהינו","א־לוהינו","Unresolved","","No lexical entry yet","true","7","LeNevukhei HaTekufah 3:1:30; LeNevukhei HaTekufah 3:10:10; LeNevukhei HaTekufah 3:21:3; LeNevukhei HaTekufah 3:22:14; LeNevukhei HaTekufah 3:24:18"
