"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-a3362f18ec91","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 3:3:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-5e1a4ad1bec7","א״א","א״א","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:5:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-2c83bed30786","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:2:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-b567f2e41a74","א״צ","א״צ","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Fasts 5:12:1; Maaseh Rokeach on Fasts 5:18:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-3592da63ed21","א״ר","א״ר","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 4:1:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-dcd4df105a2d","אבותיהם","אבותיהמ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:1:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-210d4496a7a1","אבי","אבי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:13:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-ed9fd0679fa5","אבי״ה","אבי״ה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:10:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-709522f668de","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 2:8:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-cc990d93c4f7","אביי","אביי","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Fasts 1:17:1; Maaseh Rokeach on Fasts 5:6:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-fba885c97dec","אבילות","אבילות","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 5:10:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-64f797c9258d","אבין","אבינ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 4:2:2; Maaseh Rokeach on Fasts 5:7:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-10e654e84e76","אברייתא","אברייתא","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 4:15:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-6bceb9d9a73a","אגב","אגב","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 4:2:2; Maaseh Rokeach on Fasts 5:10:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-998aa447ca5c","אדידיה","אדידיה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:14:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-5076c86647be","אה״נ","אה״נ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:7:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-e8537bbd9a4d","אהדדיה","אהדדיה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 2:11:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-88643be7f7a5","אהך","אהכ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:6:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-e7827bf82e46","או״ח","או״ח","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:10:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-9c378d20d210","אובחמישי","אובחמישי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:6:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-8637d899b8d1","אוכל","אוכל","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Fasts 1:11:1; Maaseh Rokeach on Fasts 2:6:1; Maaseh Rokeach on Fasts 5:7:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-6e6b1d1e4864","אוכלים","אוכלימ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 5:9:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-d8890febc1d4","אזלא","אזלא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 3:10:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-1dc20dca0bf7","אחא","אחא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:6:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-3ad03e092033","אחאי","אחאי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:10:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-1c4dfaccc19a","אחנוכה","אחנוכה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:7:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-eca7f9206fb3","אחרונות","אחרונות","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Fasts 1:2:1; Maaseh Rokeach on Fasts 3:5:1; Maaseh Rokeach on Fasts 4:1:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-82aa59312ac4","אחריהם","אחריהמ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 2:7:1; Maaseh Rokeach on Fasts 2:7:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-95e7e0cb7639","אחרת","אחרת","Unresolved","","No lexical entry yet","true","7","Maaseh Rokeach on Fasts 1:1:4; Maaseh Rokeach on Fasts 1:2:1; Maaseh Rokeach on Fasts 1:2:3; Maaseh Rokeach on Fasts 4:2:1; Maaseh Rokeach on Fasts 4:12:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-76a24536c481","איברא","איברא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:1:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-0e28cbc6eb12","איגרי","איגרי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:1:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-61880f9c534a","איזוהי","איזוהי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:1:5"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-f2c9270efdfb","איירי","איירי","Unresolved","","No lexical entry yet","true","6","Maaseh Rokeach on Fasts 1:1:5; Maaseh Rokeach on Fasts 5:6:2; Maaseh Rokeach on Fasts 5:10:2; Maaseh Rokeach on Fasts 5:13:1; Maaseh Rokeach on Fasts 5:14:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-571ebabafc3d","איכא","איכא","Unresolved","","No lexical entry yet","true","10","Maaseh Rokeach on Fasts 1:1:3; Maaseh Rokeach on Fasts 1:1:4; Maaseh Rokeach on Fasts 1:9:2; Maaseh Rokeach on Fasts 2:2:1; Maaseh Rokeach on Fasts 2:5:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-afab1771cbb3","אינשי","אינשי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 2:5:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-ade52111e436","איסור","איסור","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 1:17:1; Maaseh Rokeach on Fasts 5:7:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-a87266de8028","איסורא","איסורא","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Fasts 5:12:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-d2f1d91afe9a","איפסיקא","איפסיקא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 3:10:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-02e9112ec77f","איפשיטא","איפשיטא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:7:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-8c2f07f0dfbe","איצטריך","איצטריכ","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Fasts 1:1:3; Maaseh Rokeach on Fasts 2:8:1; Maaseh Rokeach on Fasts 5:9:1; Maaseh Rokeach on Fasts 5:14:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-c77bf1e01849","אירושלמי","אירושלמי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:10:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-1631f36406b8","איריא","איריא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:14:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-df6c5de13016","אישות","אישות","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:1:6"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-4afd0b90c622","אית","אית","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:7:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-1e4dfdde4078","איתא","איתא","Unresolved","","No lexical entry yet","true","11","Maaseh Rokeach on Fasts 1:1:1; Maaseh Rokeach on Fasts 2:4:2; Maaseh Rokeach on Fasts 2:11:2; Maaseh Rokeach on Fasts 3:7:2; Maaseh Rokeach on Fasts 4:1:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-e44cd860f506","איתפקד","איתפקד","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 4:2:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-c107335b4416","איתקש","איתקש","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:7:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-3c137c2111b3","אכי״ר","אכי״ר","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:18:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-04ad20fced61","אכיל","אכיל","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:7:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-06089dd0de52","אכילת","אכילת","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 5:7:2; Maaseh Rokeach on Fasts 5:7:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-5f98e3f79b76","אכל","אכל","Unresolved","","No lexical entry yet","true","7","Maaseh Rokeach on Fasts 1:13:1; Maaseh Rokeach on Fasts 1:15:3; Maaseh Rokeach on Fasts 1:17:1; Maaseh Rokeach on Fasts 5:7:2; Maaseh Rokeach on Fasts 5:7:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-f8106c78442d","אכלה","אכלה","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 2:7:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-714eccae4d53","אכלתו","אכלתו","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 2:8:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-084de2deff28","אכתי","אכתי","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Fasts 1:1:2; Maaseh Rokeach on Fasts 2:2:1; Maaseh Rokeach on Fasts 2:6:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-36c9bf733d9d","אלוה","אלוה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:2:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-e8e164dbcdb0","אליעזר","אליעזר","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:2:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-72674f5d3641","אמ״ש","אמ״ש","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:10:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-c5879d345e20","אמאי","אמאי","Unresolved","","No lexical entry yet","true","8","Maaseh Rokeach on Fasts 1:2:3; Maaseh Rokeach on Fasts 1:9:2; Maaseh Rokeach on Fasts 2:5:1; Maaseh Rokeach on Fasts 2:11:2; Maaseh Rokeach on Fasts 2:16:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-bb2d349b5831","אמדינן","אמדיננ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:12:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-5576a177f2b0","אמינא","אמינא","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Fasts 1:1:3; Maaseh Rokeach on Fasts 5:14:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-0004a686a2be","אמצעיות","אמצעיות","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:17:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-a45b01854ef7","אמרינן","אמריננ","Unresolved","","No lexical entry yet","true","5","Maaseh Rokeach on Fasts 1:11:1; Maaseh Rokeach on Fasts 1:12:1; Maaseh Rokeach on Fasts 3:3:3; Maaseh Rokeach on Fasts 5:7:5; Maaseh Rokeach on Fasts 5:10:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-33128b7283f5","אמשוכי","אמשוכי","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 5:7:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-ab9cd60db12a","אמשטרדם","אמשטרדמ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 3:9:2; Maaseh Rokeach on Fasts 5:5:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-f89eb71c40c3","אמתניתין","אמתניתינ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 2:4:1; Maaseh Rokeach on Fasts 5:12:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-c77099ccb2a0","אסור","אסור","Unresolved","","No lexical entry yet","true","18","Maaseh Rokeach on Fasts 1:12:1; Maaseh Rokeach on Fasts 3:10:1; Maaseh Rokeach on Fasts 5:6:2; Maaseh Rokeach on Fasts 5:10:1; Maaseh Rokeach on Fasts 5:10:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-fe1ef8363156","אסורים","אסורימ","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Fasts 1:17:1; Maaseh Rokeach on Fasts 5:10:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-3fdc006439a9","אסיפא","אסיפא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:2:3"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-9ea1fb35a152","אסיפת","אסיפת","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:17:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-13916d7e2069","אסכרא","אסכרא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 2:13:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-4c48a5c71987","אסמכתא","אסמכתא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:1:5"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-34e7df80a14d","אסקי","אסקי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:13:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-0f2d5b2437a5","אסר","אסר","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 5:10:2; Maaseh Rokeach on Fasts 5:14:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-fc4a55e8c8ee","אסרו","אסרו","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:10:4"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-3283dfc5e2a4","אעד","אעד","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:1:6"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-a1b62c73333b","אערקתא","אערקתא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 2:2:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-b5a4a7711d6b","אעשרה","אעשרה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:5:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-d1cca84cfdb2","אפיא","אפיא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 1:2:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-b2386abd3827","אפילה","אפילה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 3:10:1"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-9469d8a9c01d","אפסקו","אפסקו","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Fasts 5:10:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-36be887af7a6","אצטבה","אצטבה","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Fasts 3:7:2"
"maaseh-rokeach-on-fasts","Maaseh Rokeach on Fasts","tok-b7097e416508","אצלי","אצלי","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Fasts 4:2:2; Maaseh Rokeach on Fasts 5:10:1"
