"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-79ef4969979a","א׳","א׳","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Firstlings 2:5:1; Maaseh Rokeach on Firstlings 2:13:1; Maaseh Rokeach on Firstlings 8:14:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-1524d117e56b","א״א","א״א","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 5:9:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-62f2403df39a","א״י","א״י","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Firstlings 1:5:2; Maaseh Rokeach on Firstlings 3:2:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-7186c5b0134e","א״ל","א״ל","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 2:9:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-8989d6bf2b26","א״צ","א״צ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Firstlings 2:18:1; Maaseh Rokeach on Firstlings 3:2:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-383485d487fd","אאביי","אאביי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 6:5:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-e29e760ef0e7","אבהמה","אבהמה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 1:1:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-d872cf3cab6b","אביי","אביי","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Firstlings 6:5:1; Maaseh Rokeach on Firstlings 6:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-fe971df83429","אדין","אדינ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 6:5:3"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-8d90fb19d80a","אדעתין","אדעתינ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 6:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-b657dd15c8da","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 1:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-7591644cf800","אדרשא","אדרשא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 3:10:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-31fdfbd7c641","אהדדי","אהדדי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 1:1:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-76eb5b55d8ce","אהנו","אהנו","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Firstlings 6:5:1; Maaseh Rokeach on Firstlings 6:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-d492f46bf6a6","אולי","אולי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 4:17:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-f51c36e55a2f","אזכה","אזכה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 1:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-ffeb4f692e54","אזניהם","אזניהמ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 1:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-4edb1e965925","אחותו","אחותו","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 1:5:2"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-ea8f63f94f86","אחריתי","אחריתי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 4:3:1"
"maaseh-rokeach-on-firstlings","Maaseh Rokeach on Firstlings","tok-d1cac769b6be","אחרת","אחרת","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Firstlings 2:15:1"
