"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-6f9799ee954c","א׳","א׳","Unresolved","","No lexical entry yet","true","5","Maaseh Rokeach on Oaths 3:3:1; Maaseh Rokeach on Oaths 5:4:1; Maaseh Rokeach on Oaths 6:5:1; Maaseh Rokeach on Oaths 8:3:2; Maaseh Rokeach on Oaths 12:2:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-1bd82bf9750d","א״א","א״א","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Oaths 5:5:1; Maaseh Rokeach on Oaths 5:8:2; Maaseh Rokeach on Oaths 5:11:1; Maaseh Rokeach on Oaths 12:1:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-8990ac244b0f","א״ד","א״ד","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Oaths 9:14:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-3bb4d577ccdd","א״ל","א״ל","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Oaths 2:2:1; Maaseh Rokeach on Oaths 3:5:1; Maaseh Rokeach on Oaths 10:11:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-8f72f9ba8343","א״נ","א״נ","Unresolved","","No lexical entry yet","true","6","Maaseh Rokeach on Oaths 3:3:1; Maaseh Rokeach on Oaths 3:11:1; Maaseh Rokeach on Oaths 5:11:1; Maaseh Rokeach on Oaths 11:11:1; Maaseh Rokeach on Oaths 11:12:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-99ca7b329d1a","א״צ","א״צ","Unresolved","","No lexical entry yet","true","8","Maaseh Rokeach on Oaths 1:1:1; Maaseh Rokeach on Oaths 5:18:1; Maaseh Rokeach on Oaths 6:1:2; Maaseh Rokeach on Oaths 9:9:1; Maaseh Rokeach on Oaths 11:15:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-4772932873ef","א״ר","א״ר","Unresolved","","No lexical entry yet","true","13","Maaseh Rokeach on Oaths 1:3:1; Maaseh Rokeach on Oaths 4:1:1; Maaseh Rokeach on Oaths 4:10:1; Maaseh Rokeach on Oaths 6:1:1; Maaseh Rokeach on Oaths 6:5:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-12f20c1c6152","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","7","Maaseh Rokeach on Oaths 4:15:1; Maaseh Rokeach on Oaths 5:2:1; Maaseh Rokeach on Oaths 5:4:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-d8abe3b880f1","אאוקמתא","אאוקמתא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Oaths 4:8:1"
"maaseh-rokeach-on-oaths","Maaseh Rokeach on Oaths","tok-6eac257804eb","אבהו","אבהו","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Oaths 1:3:1"
