"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-362bda2fd91f","א׳","א׳","Unresolved","","No lexical entry yet","true","8","Maaseh Rokeach on One Who Injures a Person or Property 2:12:1; Maaseh Rokeach on One Who Injures a Person or Property 3:4:1; Maaseh Rokeach on One Who Injures a Person or Property 4:6:1; Maaseh Rokeach on One Who Injures a Person or Property 6:3:1; Maaseh Rokeach on One Who Injures a Person or Property 6:4:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-acaef902ce14","א״א","א״א","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on One Who Injures a Person or Property 4:4:1; Maaseh Rokeach on One Who Injures a Person or Property 7:6:1; Maaseh Rokeach on One Who Injures a Person or Property 7:7:2"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-0300c4fc8c47","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 3:4:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-2b94ce5670f2","אבהע״ז","אבהע״ז","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 4:16:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-b5ca49e7a0e7","אבואלעפיא","אבואלעפיא","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on One Who Injures a Person or Property 7:2:1; Maaseh Rokeach on One Who Injures a Person or Property 7:4:2; Maaseh Rokeach on One Who Injures a Person or Property 7:14:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-b25bea0d0587","אביה","אביה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 4:14:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-ad450e79a4fa","אביו","אביו","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on One Who Injures a Person or Property 1:19:2; Maaseh Rokeach on One Who Injures a Person or Property 3:3:1; Maaseh Rokeach on One Who Injures a Person or Property 4:7:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-a273573cae8d","אביי","אביי","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on One Who Injures a Person or Property 1:7:1; Maaseh Rokeach on One Who Injures a Person or Property 4:6:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-fbcd1e833dfa","אבעיא","אבעיא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 4:11:2"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-0d7100772fba","אגב","אגב","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on One Who Injures a Person or Property 2:12:1; Maaseh Rokeach on One Who Injures a Person or Property 3:3:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-5214639a4b45","אגברא","אגברא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 7:14:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-f88a3c131640","אגרוף","אגרופ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 1:18:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-f189d9b4eb41","אדא","אדא","Unresolved","","No lexical entry yet","true","6","Maaseh Rokeach on One Who Injures a Person or Property 4:6:1; Maaseh Rokeach on One Who Injures a Person or Property 4:6:2"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-6f8127e2333e","אדברי","אדברי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 1:7:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-f2d0666ed22e","אדמפליג","אדמפליג","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 6:9:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-5ec3b36012da","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 7:7:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-3b0f019e6033","אדעתין","אדעתינ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on One Who Injures a Person or Property 4:21:1; Maaseh Rokeach on One Who Injures a Person or Property 5:1:2"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-c4e6f3b49df1","אדרבה","אדרבה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 1:7:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-0fcb0219a54b","אדרשה","אדרשה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 2:19:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-7f4afa8f56ed","אהדדי","אהדדי","Unresolved","","No lexical entry yet","true","6","Maaseh Rokeach on One Who Injures a Person or Property 4:6:1; Maaseh Rokeach on One Who Injures a Person or Property 4:12:1; Maaseh Rokeach on One Who Injures a Person or Property 4:19:1; Maaseh Rokeach on One Who Injures a Person or Property 5:1:1; Maaseh Rokeach on One Who Injures a Person or Property 7:4:3"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-1b4d00e6abbb","אהני","אהני","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on One Who Injures a Person or Property 4:12:2; Maaseh Rokeach on One Who Injures a Person or Property 6:16:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-bb35db368709","אהנית","אהנית","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 8:10:2"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-d9a7478ba7d7","אודניה","אודניה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 4:12:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-5301a68b7d45","אוכל","אוכל","Unresolved","","No lexical entry yet","true","6","Maaseh Rokeach on One Who Injures a Person or Property 4:11:1; Maaseh Rokeach on One Who Injures a Person or Property 4:11:2; Maaseh Rokeach on One Who Injures a Person or Property 4:12:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-8d6052ec63a3","אוכלין","אוכלינ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 4:19:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-ad5ec74ccf66","אומד","אומד","Unresolved","","No lexical entry yet","true","5","Maaseh Rokeach on One Who Injures a Person or Property 1:18:1; Maaseh Rokeach on One Who Injures a Person or Property 1:19:1; Maaseh Rokeach on One Who Injures a Person or Property 2:14:1; Maaseh Rokeach on One Who Injures a Person or Property 5:1:4"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-2fd5b5c9e1aa","אומנות","אומנות","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 2:12:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-cf6bbceb4f7e","אונס","אונס","Unresolved","","No lexical entry yet","true","6","Maaseh Rokeach on One Who Injures a Person or Property 2:14:1; Maaseh Rokeach on One Who Injures a Person or Property 8:2:1; Maaseh Rokeach on One Who Injures a Person or Property 8:2:2; Maaseh Rokeach on One Who Injures a Person or Property 8:8:2"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-d32fd62ad068","אונסין","אונסינ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 6:1:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-fa3ed10dd15d","אוסר","אוסר","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on One Who Injures a Person or Property 7:2:1; Maaseh Rokeach on One Who Injures a Person or Property 7:6:1"
"maaseh-rokeach-on-one-who-injures-a-person-or-property","Maaseh Rokeach on One Who Injures a Person or Property","tok-3c9b3e7f58c0","אוקימתא","אוקימתא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on One Who Injures a Person or Property 4:11:2"
