"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-c7e000f643b0","א״א","א״א","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:4:3; Maaseh Rokeach on Scroll of Esther and Hanukkah 1:11:3"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-f2a23f605157","א״נ","א״נ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:2:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 4:10:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-5a88e657d520","א״צ","א״צ","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:13:2; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:5:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:12:2; Maaseh Rokeach on Scroll of Esther and Hanukkah 4:10:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-188ea7188222","א״ר","א״ר","Unresolved","","No lexical entry yet","true","4","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:2:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:11:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-a4029cdea68a","אאביי","אאביי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:5:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-ca598e7f6bc6","אבא","אבא","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:12:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-5a944b0bafe7","אבדום","אבדומ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:2:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-33be6aacf9cb","אבהו","אבהו","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:3:3"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-31aed2764783","אבואלעפיא","אבואלעפיא","Unresolved","","No lexical entry yet","true","7","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:1:3; Maaseh Rokeach on Scroll of Esther and Hanukkah 1:4:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 1:11:2; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:5:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 3:14:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-e1450012c1b7","אבודרהם","אבודרהמ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:8:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-440cd6322025","אבוה","אבוה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:1:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-2ee961f4578e","אבוהב","אבוהב","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:1:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-0f51eb0d8065","אבידה","אבידה","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:1:4; Maaseh Rokeach on Scroll of Esther and Hanukkah 1:1:6"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-c70978f9000d","אביו","אביו","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:2:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 4:11:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-90265945994c","אביוב","אביוב","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:11:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 1:11:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-e38662690a27","אביי","אביי","Unresolved","","No lexical entry yet","true","3","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:15:2; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:15:3"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-a42fb1ce7b10","אבין","אבינ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:15:3"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-13ad1c65b8bc","אגב","אגב","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:4:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-c9362eb993d4","אגיד","אגיד","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:14:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-aae41587a65c","אגמרא","אגמרא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:1:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-06be4731ae87","אדליק","אדליק","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:10:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-7621c77720bd","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:8:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-ecded5fd8b4c","אדעתיה","אדעתיה","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:9:4"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-dc49ffd2992b","אדעתין","אדעתינ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:9:5"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-daf9ff18d459","אדר","אדר","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:13:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-dddc1cdbd904","אה״נ","אה״נ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:1:3"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-f4275c389ad7","אהא","אהא","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:4:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-0b4ca89bb65c","אהדדי","אהדדי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:16:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-fea5b32a85db","אהדדיה","אהדדיה","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:12:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:16:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-dce9b1f232b5","אהך","אהכ","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 1:4:2; Maaseh Rokeach on Scroll of Esther and Hanukkah 3:4:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-f28433cde639","אהני","אהני","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:5:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-fedc00c4ae6c","אהרמב״ן","אהרמב״נ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:5:3"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-f10e73c2e636","או״ח","או״ח","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:2:1; Maaseh Rokeach on Scroll of Esther and Hanukkah 3:4:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-8bbc4640a23a","אויבי","אויבי","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:2:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-cde92d64d4de","אויביהם","אויביהמ","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 3:2:1"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-8a6eb24d103e","אוכי״ר","אוכי״ר","Unresolved","","No lexical entry yet","true","1","Maaseh Rokeach on Scroll of Esther and Hanukkah 4:14:2"
"maaseh-rokeach-on-scroll-of-esther-and-hanukkah","Maaseh Rokeach on Scroll of Esther and Hanukkah","tok-623f93d833ec","אוכל","אוכל","Unresolved","","No lexical entry yet","true","2","Maaseh Rokeach on Scroll of Esther and Hanukkah 2:15:3; Maaseh Rokeach on Scroll of Esther and Hanukkah 2:15:4"
