"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-3114a841ded4","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:24:4"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-384f8b88071f","א״א","א״א","Unresolved","","No lexical entry yet","true","20","Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:2:2; Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:4:2; Maggid Mishneh on Mishneh Torah, Forbidden Foods 2:3:2; Maggid Mishneh on Mishneh Torah, Forbidden Foods 2:17:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 2:23:1"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-124cb975b534","א״ב","א״ב","Unresolved","","No lexical entry yet","true","2","Maggid Mishneh on Mishneh Torah, Forbidden Foods 4:2:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 8:10:2"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-160f1c0fd22e","א״ד","א״ד","Unresolved","","No lexical entry yet","true","2","Maggid Mishneh on Mishneh Torah, Forbidden Foods 5:8:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 7:1:3"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-acd8f579e958","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Maggid Mishneh on Mishneh Torah, Forbidden Foods 3:24:3"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-e6e7167e5404","א״ו","א״ו","Unresolved","","No lexical entry yet","true","1","Maggid Mishneh on Mishneh Torah, Forbidden Foods 6:17:1"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-c706aedaf983","א״ט","א״ט","Unresolved","","No lexical entry yet","true","6","Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:8:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 2:6:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 3:1:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 3:8:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 4:9:3"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-5958ca48f888","א״י","א״י","Unresolved","","No lexical entry yet","true","1","Maggid Mishneh on Mishneh Torah, Forbidden Foods 3:21:1"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-975020ce1a45","א״ל","א״ל","Unresolved","","No lexical entry yet","true","8","Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:8:2; Maggid Mishneh on Mishneh Torah, Forbidden Foods 1:16:2; Maggid Mishneh on Mishneh Torah, Forbidden Foods 3:13:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 5:8:1; Maggid Mishneh on Mishneh Torah, Forbidden Foods 6:17:1"
"maggid-mishneh-on-mishneh-torah-forbidden-foods","Maggid Mishneh on Mishneh Torah, Forbidden Foods","tok-b6b6165dc020","א״נ","א״נ","Unresolved","","No lexical entry yet","true","1","Maggid Mishneh on Mishneh Torah, Forbidden Foods 3:24:3"
