"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-b209dd844b65","א״ב","א״ב","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:1:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-7a7467715814","אילו","אילו","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:3:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-6dfdd1401f92","אישות","אישות","Unresolved","","No lexical entry yet","true","2","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:3:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-29f67e64c0b7","אמרינן","אמריננ","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:1:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-645fd8190e8e","אשי","אשי","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 13:5:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-0cec002bf316","אשכח","אשכח","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:1:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-2f25452104cb","אשכחא","אשכחא","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:1:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-827e30becda5","ב׳","ב׳","Unresolved","","No lexical entry yet","true","3","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 1:1:1; Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:1:1; Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 13:20:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-9d4636fd5a9a","באיסורי","באיסורי","Unresolved","","No lexical entry yet","true","2","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 13:20:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-6f97eb9c68e7","בגמרא","בגמרא","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 14:3:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-80b4ad1ce154","בהל׳","בהל׳","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:3:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-0fd6f24586f1","בחמץ","בחמצ","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:3:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-7ae02f16cbb0","בחשנב״ע","בחשנב״ע","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:3:1"
"mekorei-harambam-lerashash-on-mishneh-torah-ritual-slaughter","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter","tok-8f07ad73457c","בינייהו","בינייהו","Unresolved","","No lexical entry yet","true","1","Mekorei HaRambam LeRashash on Mishneh Torah, Ritual Slaughter 2:1:1"
