"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-c9d727679288","אכל","אכל","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-a9c7790fcd53","ב״מ","ב״מ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:8:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-72dd37353ec8","באתי","באתי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-eb3067738e20","בחנוכה","בחנוכה","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:8:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-f237790db394","במדרשות","במדרשות","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:1:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-0e1c99ceba0c","במס׳","במס׳","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Fasts 1:4:2; Migdal Oz on Mishneh Torah, Fasts 1:12:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-76483d2a5e38","בספרי","בספרי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:1:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-1b3e5ec55978","בתענית","בתענית","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:5:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-7b299c0729ed","דף","דפ","Unresolved","","No lexical entry yet","true","9","Migdal Oz on Mishneh Torah, Fasts 1:1:1; Migdal Oz on Mishneh Torah, Fasts 1:4:1; Migdal Oz on Mishneh Torah, Fasts 1:4:2; Migdal Oz on Mishneh Torah, Fasts 1:5:1; Migdal Oz on Mishneh Torah, Fasts 1:8:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-e146245700c4","דתעניות","דתעניות","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:8:3"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-a7a778016e2f","דתענית","דתענית","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:8:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-c0e2b7781c56","המלך","המלכ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:4:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-74b2f1494d04","הפירוש","הפירוש","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-eae86577ca08","הקבלה","הקבלה","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-f8346234e9da","התוס׳","התוס׳","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-52a98c6f9d90","התענית","התענית","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-1d2616f0858d","ואוכל","ואוכל","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:8:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-37ba12ad2b80","והירושלמי","והירושלמי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-71f3581c1749","והעיקר","והעיקר","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:1:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-8284f6e29470","ומדברי","ומדברי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:1:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-0d244cf4f6bf","ומריעין","ומריעינ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:4:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-b8d6d344875d","ומשלימין","ומשלימינ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:5:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-b56c3648115b","ומתחננים","ומתחננימ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:4:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-7160d92c1555","ופורים","ופורימ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:8:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-cdfeafcf9544","ופירוש","ופירוש","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-a95132a7d0d7","ופרק","ופרק","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Fasts 1:4:2; Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-95bbf1584c45","ורבותינו","ורבותינו","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:1"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-dbf91fd7a6c5","ושתה","ושתה","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:12:2"
"migdal-oz-on-mishneh-torah-fasts","Migdal Oz on Mishneh Torah, Fasts","tok-4397824026f3","ט״ו","ט״ו","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Fasts 1:1:1"
