"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-8a560b74c6ba","א״א","א״א","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 24:8:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-bfcca236b177","א״ד","א״ד","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 5:8:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-761e504ec1f5","א״ל","א״ל","Unresolved","","No lexical entry yet","true","21","Migdal Oz on Mishneh Torah, Sales 4:7:1; Migdal Oz on Mishneh Torah, Sales 7:3:1; Migdal Oz on Mishneh Torah, Sales 7:4:1; Migdal Oz on Mishneh Torah, Sales 13:1:1; Migdal Oz on Mishneh Torah, Sales 22:8:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-c04999efe7eb","א״צ","א״צ","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Sales 5:9:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-37fabbdc860b","א״ר","א״ר","Unresolved","","No lexical entry yet","true","7","Migdal Oz on Mishneh Torah, Sales 4:7:1; Migdal Oz on Mishneh Torah, Sales 5:8:1; Migdal Oz on Mishneh Torah, Sales 11:16:1; Migdal Oz on Mishneh Torah, Sales 13:1:1; Migdal Oz on Mishneh Torah, Sales 28:11:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-900b7a2a674e","אא״כ","אא״כ","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Sales 3:8:1; Migdal Oz on Mishneh Torah, Sales 10:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-077125d2f19e","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-5b98dd198bfa","אבד","אבד","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:17:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-971873df60f2","אביהן","אביהנ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:11:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-0d73bfe453a2","אביי","אביי","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Sales 7:4:1; Migdal Oz on Mishneh Torah, Sales 13:15:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-ce15388f3463","אבין","אבינ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 7:4:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-d640e622b028","אגב","אגב","Unresolved","","No lexical entry yet","true","12","Migdal Oz on Mishneh Torah, Sales 3:8:1; Migdal Oz on Mishneh Torah, Sales 3:11:1; Migdal Oz on Mishneh Torah, Sales 6:13:2; Migdal Oz on Mishneh Torah, Sales 22:8:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-2442aa912650","אדא","אדא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-0d5312ae8d32","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 3:11:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-a3e7f37715a9","אדר״י","אדר״י","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 7:4:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-3911e9304bb7","אדרב","אדרב","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 10:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-a4017950e236","אדרבי","אדרבי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 23:6:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-29f866346eeb","אדרשב״ג","אדרשב״ג","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 23:6:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-16d6e4141b08","אהכי","אהכי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-804ef40b02e7","אהני","אהני","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Sales 13:11:1; Migdal Oz on Mishneh Torah, Sales 24:16:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-6c8a6094d216","אובין","אובינ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-826197df5e8a","אודיע","אודיע","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 22:15:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-f210aa633047","אוחזין","אוחזינ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 20:4:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-25710939b08d","אומדנא","אומדנא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Sales 13:1:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-6e1c6b216758","אונאה","אונאה","Unresolved","","No lexical entry yet","true","11","Migdal Oz on Mishneh Torah, Sales 1:17:2; Migdal Oz on Mishneh Torah, Sales 13:1:1; Migdal Oz on Mishneh Torah, Sales 13:15:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-b2109ce4ddb2","אונאת","אונאת","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Sales 13:17:1"
"migdal-oz-on-mishneh-torah-sales","Migdal Oz on Mishneh Torah, Sales","tok-e8fb3ce54737","אונס","אונס","Unresolved","","No lexical entry yet","true","3","Migdal Oz on Mishneh Torah, Sales 7:3:1; Migdal Oz on Mishneh Torah, Sales 10:1:1; Migdal Oz on Mishneh Torah, Sales 10:1:2"
