"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-fb01289efd5f","אבא","אבא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:3"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-e8c551e06cd2","אביה","אביה","Unresolved","","No lexical entry yet","true","8","Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:1; Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:3; Migdal Oz on Mishneh Torah, Virgin Maiden 2:13:1; Migdal Oz on Mishneh Torah, Virgin Maiden 2:15:1"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-bcd6b3068093","אביי","אביי","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Virgin Maiden 2:15:1"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-4058a0422da5","אבין","אבינ","Unresolved","","No lexical entry yet","true","2","Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:1; Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:3"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-8697aa9c25d1","אהא","אהא","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:3"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-a08e30c0a352","אהרוג","אהרוג","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Virgin Maiden 1:2:2"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-fbe71bedee1c","אומרות","אומרות","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Virgin Maiden 1:2:2"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-6b9b8e9b27f5","אונס","אונס","Unresolved","","No lexical entry yet","true","7","Migdal Oz on Mishneh Torah, Virgin Maiden 1:7:2; Migdal Oz on Mishneh Torah, Virgin Maiden 1:8:3"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-b7f5786d84b8","אותי","אותי","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Virgin Maiden 2:13:1"
"migdal-oz-on-mishneh-torah-virgin-maiden","Migdal Oz on Mishneh Torah, Virgin Maiden","tok-a0fb101150ea","אותך","אותכ","Unresolved","","No lexical entry yet","true","1","Migdal Oz on Mishneh Torah, Virgin Maiden 1:2:2"
