"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishnah-makhshirin","Mishnah Makhshirin","tok-9fd42eeadc51","אַבָּא","אבא","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 1:3"
"mishnah-makhshirin","Mishnah Makhshirin","tok-ad9ab49c30be","אֲגֻדָּה","אגדה","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 1:4"
"mishnah-makhshirin","Mishnah Makhshirin","tok-7e5f1012349c","אוֹכְלֵי","אוכלי","Unresolved","","No lexical entry yet","true","3","Mishnah Makhshirin 2:8; Mishnah Makhshirin 2:9"
"mishnah-makhshirin","Mishnah Makhshirin","tok-7d57c6cae48c","אֵימָתַי","אימתי","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 2:3"
"mishnah-makhshirin","Mishnah Makhshirin","tok-4d18ecb3978f","אֹכֶל","אכל","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 6:8"
"mishnah-makhshirin","Mishnah Makhshirin","tok-c4e75a3a1a09","אֳכָלִין","אכלינ","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 1:2"
"mishnah-makhshirin","Mishnah Makhshirin","tok-37cf56a8f11b","אֱלִיעֶזֶר","אליעזר","Unresolved","","No lexical entry yet","true","3","Mishnah Makhshirin 6:3; Mishnah Makhshirin 6:6; Mishnah Makhshirin 6:7"
"mishnah-makhshirin","Mishnah Makhshirin","tok-8f9e6bdab105","אֶלְעָזָר","אלעזר","Unresolved","","No lexical entry yet","true","4","Mishnah Makhshirin 4:1; Mishnah Makhshirin 4:5; Mishnah Makhshirin 6:6; Mishnah Makhshirin 6:7"
"mishnah-makhshirin","Mishnah Makhshirin","tok-b763d0dd4108","אִלְתִּית","אלתית","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 6:3"
"mishnah-makhshirin","Mishnah Makhshirin","tok-a08505f17d9c","אֲמַרְתֶּם","אמרתמ","Unresolved","","No lexical entry yet","true","2","Mishnah Makhshirin 6:8"
"mishnah-makhshirin","Mishnah Makhshirin","tok-085eaaa512fc","בַּאֲכִילָה","באכילה","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 6:4"
"mishnah-makhshirin","Mishnah Makhshirin","tok-21824125ad0c","בְּאַמְבָּטִי","באמבטי","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 2:5"
"mishnah-makhshirin","Mishnah Makhshirin","tok-e3568f1e223f","בְּאֶצְבָּעוֹ","באצבעו","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 1:6"
"mishnah-makhshirin","Mishnah Makhshirin","tok-47ccd1c8895f","בַּגַּג","בגג","Unresolved","","No lexical entry yet","true","1","Mishnah Makhshirin 3:6"
