"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishnah-orlah","Mishnah Orlah","tok-e5bb7ac18179","אֱגוֹז","אגוז","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 1:9"
"mishnah-orlah","Mishnah Orlah","tok-e88e7225efe8","אֱגוֹזֵי","אגוזי","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 3:7"
"mishnah-orlah","Mishnah Orlah","tok-cd4593cdf0c1","אֱגוֹזִים","אגוזימ","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 1:8"
"mishnah-orlah","Mishnah Orlah","tok-54dd310bf5ad","אוֹסֵר","אוסר","Unresolved","","No lexical entry yet","true","2","Mishnah Orlah 2:11; Mishnah Orlah 2:12"
"mishnah-orlah","Mishnah Orlah","tok-ae512979d3e1","אֱלִיעֶזֶר","אליעזר","Unresolved","","No lexical entry yet","true","4","Mishnah Orlah 1:7; Mishnah Orlah 2:1; Mishnah Orlah 2:11; Mishnah Orlah 2:13"
"mishnah-orlah","Mishnah Orlah","tok-8746b9772a8e","אֶלְעָזָר","אלעזר","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 1:4"
"mishnah-orlah","Mishnah Orlah","tok-d21440dc55d5","אִסּוּר","אסור","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 2:11"
"mishnah-orlah","Mishnah Orlah","tok-75c4f48ceb6a","אָסוּר","אסור","Unresolved","","No lexical entry yet","true","19","Mishnah Orlah 1:5; Mishnah Orlah 1:7; Mishnah Orlah 2:4; Mishnah Orlah 2:6; Mishnah Orlah 2:7"
"mishnah-orlah","Mishnah Orlah","tok-dcf1feb176ed","אֲסוּרוֹת","אסורות","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 1:8"
"mishnah-orlah","Mishnah Orlah","tok-de5d4b199a7f","אֲסוּרִים","אסורימ","Unresolved","","No lexical entry yet","true","1","Mishnah Orlah 1:8"
