"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishnah-peah","Mishnah Peah","tok-e94543bc676e","אַבָּא","אבא","Unresolved","","No lexical entry yet","true","2","Mishnah Peah 2:4; Mishnah Peah 8:5"
"mishnah-peah","Mishnah Peah","tok-74b145e8f5ec","אַבְעָיוֹת","אבעיות","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 4:5"
"mishnah-peah","Mishnah Peah","tok-b8828137dc34","אֱגוֹזִים","אגוזימ","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 4:1"
"mishnah-peah","Mishnah Peah","tok-430411722ba9","אוֹכֵל","אוכל","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 1:1"
"mishnah-peah","Mishnah Peah","tok-9af3494f4cf3","אוֹמְדִים","אומדימ","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 5:1"
"mishnah-peah","Mishnah Peah","tok-181fee855df0","אֶטֹּל","אטל","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 6:11"
"mishnah-peah","Mishnah Peah","tok-0434ac4c64ff","אֵיזֶהוּ","איזהו","Unresolved","","No lexical entry yet","true","2","Mishnah Peah 4:10; Mishnah Peah 7:3"
"mishnah-peah","Mishnah Peah","tok-bcef7053a4f9","אֵיזוֹהִי","איזוהי","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 7:4"
"mishnah-peah","Mishnah Peah","tok-2c74b5779f6c","אֵימָתַי","אימתי","Unresolved","","No lexical entry yet","true","2","Mishnah Peah 3:5; Mishnah Peah 5:5"
"mishnah-peah","Mishnah Peah","tok-bfb5a70b679b","אֹכֶל","אכל","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 1:4"
"mishnah-peah","Mishnah Peah","tok-468ef46c2cf3","אֱלִיעֶזֶר","אליעזר","Unresolved","","No lexical entry yet","true","7","Mishnah Peah 2:4; Mishnah Peah 3:6; Mishnah Peah 4:9; Mishnah Peah 5:2; Mishnah Peah 5:4"
"mishnah-peah","Mishnah Peah","tok-bf20d6dc0091","אֲמוּרָה","אמורה","Unresolved","","No lexical entry yet","true","1","Mishnah Peah 8:6"
"mishnah-peah","Mishnah Peah","tok-510fb8fad577","אֲמוּרִים","אמורימ","Unresolved","","No lexical entry yet","true","2","Mishnah Peah 7:1; Mishnah Peah 7:2"
