"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishnah-tamid","Mishnah Tamid","tok-07067db50ad1","א׳","א׳","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 7:4"
"mishnah-tamid","Mishnah Tamid","tok-1dfa7e0c955d","אַבָּא","אבא","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 3:8"
"mishnah-tamid","Mishnah Tamid","tok-1dc4125bd229","אֲבוּקוֹת","אבוקות","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 1:3"
"mishnah-tamid","Mishnah Tamid","tok-672899835434","אַבְטִינָס","אבטינס","Unresolved","","No lexical entry yet","true","2","Mishnah Tamid 1:1"
"mishnah-tamid","Mishnah Tamid","tok-a5decac47479","אֱגוֹז","אגוז","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 2:3"
"mishnah-tamid","Mishnah Tamid","tok-b3b45c5af800","אוֹחֵז","אוחז","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 5:5"
"mishnah-tamid","Mishnah Tamid","tok-1bb3088ff712","אוֹחֲזִים","אוחזימ","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 4:1"
"mishnah-tamid","Mishnah Tamid","tok-42f05d2cf06e","אוֹחֲזִין","אוחזינ","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 7:1"
"mishnah-tamid","Mishnah Tamid","tok-e8f481e39b57","אָחַז","אחז","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 7:3"
"mishnah-tamid","Mishnah Tamid","tok-436741b36a81","אֲחֵיהֶם","אחיהמ","Unresolved","","No lexical entry yet","true","1","Mishnah Tamid 7:2"
"mishnah-tamid","Mishnah Tamid","tok-889b6efe3f62","אֶחָיו","אחיו","Unresolved","","No lexical entry yet","true","3","Mishnah Tamid 1:1; Mishnah Tamid 2:1; Mishnah Tamid 7:1"
"mishnah-tamid","Mishnah Tamid","tok-6d368c2678d5","אֱלִיעֶזֶר","אליעזר","Unresolved","","No lexical entry yet","true","2","Mishnah Tamid 3:8; Mishnah Tamid 5:2"
