"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-134ad7329686","איכא","איכא","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:3:1; Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-bf4f920d7da3","אילנות","אילנות","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:6:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-9e7f7856e9e0","אימא","אימא","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-16338de6e1a4","איסור","איסור","Unresolved","","No lexical entry yet","true","13","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:6:1; Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-128fa55ffa54","איסורא","איסורא","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:3:1; Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-3ddbe81b4620","איסורי","איסורי","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-8b2ac88716dc","איריא","איריא","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-b804d91ad082","אית","אית","Unresolved","","No lexical entry yet","true","3","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-6440ef0ff7f0","איתא","איתא","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-a4dc6359322f","אליבא","אליבא","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-4e74eb01f694","אלקטנו","אלקטנו","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 5:21:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-40f99c3dbca7","אמירה","אמירה","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:6:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-9d6511da85ae","אמתני׳","אמתני׳","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 3:6:1; Mishneh LaMelech on Mishneh Torah, Diverse Species 5:21:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-cade3d8347a5","אסור","אסור","Unresolved","","No lexical entry yet","true","6","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:6:1; Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-96cc5381d6a2","אסורין","אסורינ","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:1:1; Mishneh LaMelech on Mishneh Torah, Diverse Species 1:6:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-b1f2cb90c5c9","אסירי","אסירי","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:1:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-eb65658cfa7c","אסר","אסר","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-e2569fc4f284","אפיפירות","אפיפירות","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 6:12:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-32953e1d190c","באזהרת","באזהרת","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-6bf637d33f91","באיסור","באיסור","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-684adbad9b5c","באכילה","באכילה","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-b5bd8a9d991c","בבגדי","בבגדי","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-1aeae8c2844e","בבכור","בבכור","Unresolved","","No lexical entry yet","true","3","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-903e60d46c8d","בבכורות","בבכורות","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-cc247130f943","בברייתא","בברייתא","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-cb039065c176","בגיזה","בגיזה","Unresolved","","No lexical entry yet","true","2","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-8c7e8aee2a5c","בדוחק","בדוחק","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:3:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-cc9298e5fbee","בה׳","בה׳","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-34f9e711463a","בהדיא","בהדיא","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 1:3:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-5c6ff64d95ac","בהו","בהו","Unresolved","","No lexical entry yet","true","5","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
"mishneh-lamelech-on-mishneh-torah-diverse-species","Mishneh LaMelech on Mishneh Torah, Diverse Species","tok-ae6214f63b84","בהומם","בהוממ","Unresolved","","No lexical entry yet","true","1","Mishneh LaMelech on Mishneh Torah, Diverse Species 9:11:1"
