"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-ff8f53895523","אָבַד","אבד","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 9:8"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-b30ee155f0d0","אַבְנוֹ","אבנו","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 13:3"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-330ea2bdf863","אוֹכֶלֶת","אוכלת","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:14"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-bd11de71068a","אוֹכַלְתָּן","אוכלתנ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:6"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-5c6ef485bb20","אוֹמְדִין","אומדינ","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Damages to Property 7:8; Mishneh Torah, Damages to Property 11:5; Mishneh Torah, Damages to Property 14:3"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-28ceb0d08cbc","אוֹמְרִין","אומרינ","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Damages to Property 7:7; Mishneh Torah, Damages to Property 7:8"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-6b8b33f38236","אוֹצִיא","אוציא","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 12:21"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-3817388161ab","אֲחוֹרֵי","אחורי","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 5:3"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-9c8ee7e7968c","אַחֵר""","אחר""","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 1:7"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-7ac27d9e3771","אַחֶרֶת","אחרת","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Damages to Property 3:5; Mishneh Torah, Damages to Property 14:4"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-471e478b5f7d","אֵיבָרֶיהָ","איבריה","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:11"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-205e10d2e34a","אֵיזֶהוּ","איזהו","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Damages to Property 6:1; Mishneh Torah, Damages to Property 9:7"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-dc837925f79e","אֵימוּרֵיהֶן","אימוריהנ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 8:2"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-bd020e59b2e0","אֵימוּרִין","אימורינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 8:3"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-7f11283a7189","אֵימָתַי","אימתי","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 12:7"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-696e5850ed60","אֵינִי","איני","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Damages to Property 9:6"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-fb9237562e5a","אֲכִילַת","אכילת","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 2:18"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-ba1bac7cdb16","אֲכִילָתָן","אכילתנ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 2:14"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-dc0d7a217b10","אָכַל","אכל","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:5"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-1949b8778b7a","אֹכֶל","אכל","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 2:14"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-e79c06271778","אֲכָלָהּ","אכלה","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:6"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-520520aae2c8","אָכְלָה","אכלה","Unresolved","","No lexical entry yet","true","7","Mishneh Torah, Damages to Property 3:3; Mishneh Torah, Damages to Property 3:4; Mishneh Torah, Damages to Property 3:9; Mishneh Torah, Damages to Property 4:13; Mishneh Torah, Damages to Property 4:14"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-82b197740926","אֳכָלִין","אכלינ","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Damages to Property 3:3; Mishneh Torah, Damages to Property 3:6"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-1df1b33d2142","אֲכָלָם","אכלמ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:5"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-56c834725fd0","אֲכָלָן","אכלנ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:5"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-03a51f7b5355","אֲכָלָתָם","אכלתמ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 3:1"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-795e2ff14a52","אֲכָלָתָן","אכלתנ","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Damages to Property 3:2; Mishneh Torah, Damages to Property 3:15"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-08848c91a972","אֹמֶד","אמד","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 14:3"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-2073bfcc5781","אָמוּד","אמוד","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Damages to Property 14:12"
"mishneh-torah-damages-to-property","Mishneh Torah, Damages to Property","tok-7f633e07dea1","אֲמוּרִים","אמורימ","Unresolved","","No lexical entry yet","true","10","Mishneh Torah, Damages to Property 1:7; Mishneh Torah, Damages to Property 2:10; Mishneh Torah, Damages to Property 2:18; Mishneh Torah, Damages to Property 4:4; Mishneh Torah, Damages to Property 9:8"
