"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-8c80c71d94e0","אֲבַעְבּוּעַ","אבעבוע","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 9:11"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-23f1ad4733a9","אֲגֻדָּה","אגדה","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 14:13"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-446ab1bc0dcc","אוֹחֵז","אוחז","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 6:10"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-a73b2d4062df","אוֹחֲזִין","אוחזינ","Unresolved","","No lexical entry yet","true","4","Mishneh Torah, Defilement of Foods 6:10"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-5be7d1d2399b","אוֹכֵל","אוכל","Unresolved","","No lexical entry yet","true","5","Mishneh Torah, Defilement of Foods 6:6; Mishneh Torah, Defilement of Foods 9:4; Mishneh Torah, Defilement of Foods 14:16; Mishneh Torah, Defilement of Foods 15:7"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-9965ef781d49","אוֹכְלִין","אוכלינ","Unresolved","","No lexical entry yet","true","4","Mishneh Torah, Defilement of Foods 1:6; Mishneh Torah, Defilement of Foods 10:3; Mishneh Torah, Defilement of Foods 16:11; Mishneh Torah, Defilement of Foods 16:12"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-fa074c24eef0","אוֹכֶלֶת","אוכלת","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 15:8"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-459018398b65","אוֹם","אומ","Unresolved","","No lexical entry yet","true","5","Mishneh Torah, Defilement of Foods 6:15; Mishneh Torah, Defilement of Foods 6:16; Mishneh Torah, Defilement of Foods 9:7"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-7636fb6668af","אוֹמְרִין","אומרינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 14:3"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-e1403b81beb5","אָחַז","אחז","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 6:9"
"mishneh-torah-defilement-of-foods","Mishneh Torah, Defilement of Foods","tok-c51f5b63285b","אֵיבָר","איבר","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Defilement of Foods 2:28"
