"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-4472242e9227","אֱגוֹז","אגוז","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 9:15"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-9de4aff882cc","אֲדֻמִּין","אדמינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 8:11"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-c816f14304f7","אוֹמְרִין","אומרינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 11:6"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-ac7b81e944c8","אֵיבָרִים","איברימ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 1:10"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-ce9ac85a4c24","אִילָנוֹת","אילנות","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 3:5"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-65900c199b26","אֵימָתַי","אימתי","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 4:10"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-c5d4c6add59c","אֳכָלִין","אכלינ","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Immersion Pools 3:18; Mishneh Torah, Immersion Pools 10:6"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-1cdc93249691","אֻכַּף","אכפ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 3:3"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-f4207036eca1","אַמְבְּטִי","אמבטי","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 4:9"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-b5d722c78bc6","אֲמוּרִים","אמורימ","Unresolved","","No lexical entry yet","true","7","Mishneh Torah, Immersion Pools 2:3; Mishneh Torah, Immersion Pools 2:22; Mishneh Torah, Immersion Pools 3:1; Mishneh Torah, Immersion Pools 3:26; Mishneh Torah, Immersion Pools 5:1"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-d8a4c4e024c5","אַמּוֹת","אמות","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Immersion Pools 4:1; Mishneh Torah, Immersion Pools 9:11"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-5ef2b766ef51","אִסְפְּלָנִית","אספלנית","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 2:9"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-fae28e812726","אֶצְבַּע","אצבע","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 1:2"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-db26992d793a","אֶצְבָּעוֹת","אצבעות","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Immersion Pools 8:6"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-295617955d0a","אַרְבָּעָה","ארבעה","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Immersion Pools 3:25; Mishneh Torah, Immersion Pools 6:13; Mishneh Torah, Immersion Pools 11:6"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-4fcbde148647","אַרְבָּעִים","ארבעימ","Unresolved","","No lexical entry yet","true","46","Mishneh Torah, Immersion Pools 4:1; Mishneh Torah, Immersion Pools 4:6; Mishneh Torah, Immersion Pools 4:7; Mishneh Torah, Immersion Pools 4:8; Mishneh Torah, Immersion Pools 4:10"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-6a465c9f0874","אֲרֻכִּים","ארכימ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 3:25"
"mishneh-torah-immersion-pools","Mishneh Torah, Immersion Pools","tok-b460897ee62e","אֶתְכֶם""","אתכמ""","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Immersion Pools 11:12"
