"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-5e95fa1d9b9a","אָבְדוּ","אבדו","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 6:22"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-0f46794d3f06","אָבִיהָ","אביה","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Ownerless Property and Gifts 6:22; Mishneh Torah, Ownerless Property and Gifts 12:12"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-83ab86580a07","אֲבִיהֶם","אביהמ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 10:5"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-824bb568b0fc","אֲבִיהֶן","אביהנ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 7:12"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-9aa18c695e94","אָבִיו","אביו","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Ownerless Property and Gifts 6:11; Mishneh Torah, Ownerless Property and Gifts 9:7; Mishneh Torah, Ownerless Property and Gifts 10:7"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-22b938740356","אֲבִיכֶן","אביכנ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 10:6"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-c47c516c7c08","אֱגוֹז","אגוז","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 4:7"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-aed5867f04f5","אוֹכֵל","אוכל","Unresolved","","No lexical entry yet","true","3","Mishneh Torah, Ownerless Property and Gifts 4:12; Mishneh Torah, Ownerless Property and Gifts 6:13; Mishneh Torah, Ownerless Property and Gifts 12:8"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-826ddce1987f","אוֹמְדִין","אומדינ","Unresolved","","No lexical entry yet","true","4","Mishneh Torah, Ownerless Property and Gifts 6:1; Mishneh Torah, Ownerless Property and Gifts 7:7; Mishneh Torah, Ownerless Property and Gifts 8:16; Mishneh Torah, Ownerless Property and Gifts 8:26"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-f3a4026ef089","אוֹמְרִין","אומרינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 10:13"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-cdf86e7f994c","אֲחוֹתוֹ","אחותו","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 6:20"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-891261ab9111","אֶחָיו","אחיו","Unresolved","","No lexical entry yet","true","4","Mishneh Torah, Ownerless Property and Gifts 6:2; Mishneh Torah, Ownerless Property and Gifts 6:4; Mishneh Torah, Ownerless Property and Gifts 6:6; Mishneh Torah, Ownerless Property and Gifts 9:5"
"mishneh-torah-ownerless-property-and-gifts","Mishneh Torah, Ownerless Property and Gifts","tok-c9973a712e4d","אַחֲרַיִךְ","אחריכ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Ownerless Property and Gifts 12:12"
