"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-c4a3be8fa68c","אָבָק","אבק","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 9:14"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-fd99e62ab867","אֲגֻדָּה","אגדה","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Red Heifer 11:4"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-99bd714d08de","אֲגָדוֹ","אגדו","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Red Heifer 11:4"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-92c95606cb84","אֱגוֹז","אגוז","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 6:8"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-e917af6d08df","אֲדֻמּוֹת","אדמות","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Red Heifer 3:4; Mishneh Torah, Red Heifer 4:1"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-69e4ac3eda77","אַדְמִימוּת","אדמימות","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 1:2"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-1b6ff2b369fd","אוֹגֵד","אוגד","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 11:4"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-fea7a92f0455","אוֹגְדוֹ","אוגדו","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 11:4"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-829402e0b6f4","אוֹכֵל","אוכל","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Red Heifer 8:2; Mishneh Torah, Red Heifer 13:2"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-df9554e7ffe5","אוֹמְרִין","אומרינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 3:2"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-71db8b4f122b","אוֹנֵן","אוננ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 4:14"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-0accebd8f770","אוֹסְפִין","אוספינ","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 9:10"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-5ef6bb5d0b37","אֵזוֹב","אזוב","Unresolved","","No lexical entry yet","true","13","Mishneh Torah, Red Heifer 3:2; Mishneh Torah, Red Heifer 4:16; Mishneh Torah, Red Heifer 11:1; Mishneh Torah, Red Heifer 11:4; Mishneh Torah, Red Heifer 11:5"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-21de57469ebb","אֲחוֹרָיו","אחוריו","Unresolved","","No lexical entry yet","true","2","Mishneh Torah, Red Heifer 4:6; Mishneh Torah, Red Heifer 13:6"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-a3e2e81e18b0","אָחֲזָה","אחזה","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 10:6"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-9bbbbd249524","אֶחָיו","אחיו","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 2:1"
"mishneh-torah-red-heifer","Mishneh Torah, Red Heifer","tok-899fda602cc3","אַחֲרוֹנָה","אחרונה","Unresolved","","No lexical entry yet","true","1","Mishneh Torah, Red Heifer 7:4"
