"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"moreh-beetzba","Moreh BeEtzba","tok-f85a978247aa","א׳","א׳","Unresolved","","No lexical entry yet","true","8","Moreh BeEtzba 1:1; Moreh BeEtzba 16:1; Moreh BeEtzba 24:1; Moreh BeEtzba 93:1; Moreh BeEtzba 112:1"
"moreh-beetzba","Moreh BeEtzba","tok-0089d96d5d0b","א״ה","א״ה","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 329:1"
"moreh-beetzba","Moreh BeEtzba","tok-6bd9dbfeb995","א״ח","א״ח","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 262:1"
"moreh-beetzba","Moreh BeEtzba","tok-841895e45f8a","א״י","א״י","Unresolved","","No lexical entry yet","true","2","Moreh BeEtzba 24:1; Moreh BeEtzba 79:1"
"moreh-beetzba","Moreh BeEtzba","tok-c31ab5196fde","א״ר","א״ר","Unresolved","","No lexical entry yet","true","2","Moreh BeEtzba 133:1"
"moreh-beetzba","Moreh BeEtzba","tok-0db60d5ce903","אבגית״ץ","אבגית״צ","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 66:1"
"moreh-beetzba","Moreh BeEtzba","tok-e7f57707fe5a","אבודרהם","אבודרהמ","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 136:1"
"moreh-beetzba","Moreh BeEtzba","tok-dcee461fb467","אבי״ע","אבי״ע","Unresolved","","No lexical entry yet","true","2","Moreh BeEtzba 137:1; Moreh BeEtzba 188:1"
"moreh-beetzba","Moreh BeEtzba","tok-c29e431230db","אביהם","אביהמ","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 45:1"
"moreh-beetzba","Moreh BeEtzba","tok-57c3997dcac3","אביו","אביו","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 331:1"
"moreh-beetzba","Moreh BeEtzba","tok-b3a67d7dddc7","אבילות","אבילות","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 221:4"
"moreh-beetzba","Moreh BeEtzba","tok-1eb655b176e7","אבק","אבק","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 97:1"
"moreh-beetzba","Moreh BeEtzba","tok-c777c532c873","אברי","אברי","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 204:1"
"moreh-beetzba","Moreh BeEtzba","tok-e4240d4a642a","אברכם","אברכמ","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 58:1"
"moreh-beetzba","Moreh BeEtzba","tok-f73c7702ce62","אדה״ר","אדה״ר","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 128:1"
"moreh-beetzba","Moreh BeEtzba","tok-623a585a94fc","אדום","אדומ","Unresolved","","No lexical entry yet","true","2","Moreh BeEtzba 135:1; Moreh BeEtzba 166:1"
"moreh-beetzba","Moreh BeEtzba","tok-5db188c52f7a","אדוניה","אדוניה","Unresolved","","No lexical entry yet","true","1","Moreh BeEtzba 320:1"
