"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-5d2cb50eb7f4","אביי","אביי","Unresolved","","No lexical entry yet","true","2","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-8fe7d0c6a0c3","אבילות","אבילות","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 3:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-560e8f4f137e","אגרושה","אגרושה","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:12:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-d5d3e76098d0","אדעתא","אדעתא","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-0426b1ddb642","אדר׳","אדר׳","Unresolved","","No lexical entry yet","true","4","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 5:7:1; Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-e9fc2146ff28","אדרבנן","אדרבננ","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 3:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-99bcf2f2c09b","אהא","אהא","Unresolved","","No lexical entry yet","true","2","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 5:7:1; Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-49490a9f5bda","אהדרא","אהדרא","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:7:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-fdba88c25456","אההוא","אההוא","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:12:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-0f7564e9a6e9","אהני","אהני","Unresolved","","No lexical entry yet","true","3","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1; Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:7:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-447b359c93f0","או״ח","או״ח","Unresolved","","No lexical entry yet","true","2","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-633f711b66b5","אוכל","אוכל","Unresolved","","No lexical entry yet","true","8","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:1:1; Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 3:4:1; Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 4:11:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-2529ac5438f1","אונס","אונס","Unresolved","","No lexical entry yet","true","4","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1; Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-0efa1be584de","אוסר","אוסר","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 3:4:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-7dda0023fce7","אופאה","אופאה","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-3565a1ccc471","אוקימתות","אוקימתות","Unresolved","","No lexical entry yet","true","2","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-626568f660a4","אזהרה","אזהרה","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-806d3223f5e3","אזלא","אזלא","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-c0991123fd20","אזלינן","אזליננ","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 2:11:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-c1f6c15eda60","אחריתי","אחריתי","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 6:7:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-c01695b7f2f4","אחרת","אחרת","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:1:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-10de6c434876","אחשביה","אחשביה","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 4:11:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-326c68370ec1","איברא","איברא","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 2:11:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-ff814b382f25","איגר","איגר","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1"
"nachal-eitan-on-mishneh-torah-leavened-and-unleavened-bread","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread","tok-ec5e8a98946b","איירו","איירו","Unresolved","","No lexical entry yet","true","1","Nachal Eitan on Mishneh Torah, Leavened and Unleavened Bread 1:3:1"
