"work_id","work_title","token_index_id","surface_word","normalized_word","status","strict_renderings","notes","not_a_translation","occurrence_count","example_refs"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-39c9553fd65d","א׳","א׳","Unresolved","","No lexical entry yet","true","8","Narboni on Guide for the Perplexed, Introduction, Publisher's Introduction:4; Narboni on Guide for the Perplexed, Introduction, Publisher's Introduction:6; Narboni on Guide for the Perplexed, Part 1 28:1; Narboni on Guide for the Perplexed, Part 1 59:1; Narboni on Guide for the Perplexed, Part 2 Introduction:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-0e59f236bf6c","אאמין","אאמינ","Unresolved","","No lexical entry yet","true","2","Narboni on Guide for the Perplexed, Part 3 17:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-1762a9643a5f","אאמינהו","אאמינהו","Unresolved","","No lexical entry yet","true","2","Narboni on Guide for the Perplexed, Part 3 17:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-8e3d03dabb1a","אאריך","אאריכ","Unresolved","","No lexical entry yet","true","4","Narboni on Guide for the Perplexed, Introduction, Author's Introduction:2; Narboni on Guide for the Perplexed, Part 1 54:1; Narboni on Guide for the Perplexed, Part 2 48:1; Narboni on Guide for the Perplexed, Part 3 29:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-b0472c3883c9","אב״ג","אב״ג","Unresolved","","No lexical entry yet","true","1","Narboni on Guide for the Perplexed, Part 1 62:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-60b234ce527c","אב״ס","אב״ס","Unresolved","","No lexical entry yet","true","1","Narboni on Guide for the Perplexed, Part 1 57:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-a713fdba9789","אב״ר","אב״ר","Unresolved","","No lexical entry yet","true","2","Narboni on Guide for the Perplexed, Part 1 57:1; Narboni on Guide for the Perplexed, Part 1 63:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-dc1f8a9c662a","אבא","אבא","Unresolved","","No lexical entry yet","true","2","Narboni on Guide for the Perplexed, Introduction, Author's Introduction:1; Narboni on Guide for the Perplexed, Part 2 46:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-e07bfff11e3a","אבאר","אבאר","Unresolved","","No lexical entry yet","true","5","Narboni on Guide for the Perplexed, Part 1 46:1; Narboni on Guide for the Perplexed, Part 1 73:1; Narboni on Guide for the Perplexed, Part 2 Introduction:1; Narboni on Guide for the Perplexed, Part 2 13:1; Narboni on Guide for the Perplexed, Part 2 19:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-d4bbe22e726e","אבדו","אבדו","Unresolved","","No lexical entry yet","true","3","Narboni on Guide for the Perplexed, Part 1 63:1; Narboni on Guide for the Perplexed, Part 2 30:1; Narboni on Guide for the Perplexed, Part 3 Introduction:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-8cbf0eaee4ab","אבדם","אבדמ","Unresolved","","No lexical entry yet","true","1","Narboni on Guide for the Perplexed, Part 3 12:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-5c0c2612ee42","אבדן","אבדנ","Unresolved","","No lexical entry yet","true","2","Narboni on Guide for the Perplexed, Part 1 71:1; Narboni on Guide for the Perplexed, Part 3 49:1"
"narboni-on-guide-for-the-perplexed","Narboni on Guide for the Perplexed","tok-5e5a81abf556","אבדת","אבדת","Unresolved","","No lexical entry yet","true","1","Narboni on Guide for the Perplexed, Part 3 49:1"
